Utah County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,59.6,1.5
199002,59.8,1.7
199003,59.7,1.6
199004,59.6,1.5
199005,59.4,1.3
199006,59.8,1.7
199007,59.5,1.4
199008,59.6,1.5
199009,59.9,1.8
199010,59.9,1.8
199011,59.8,1.7
199012,59.2,1.1
199101,58.7,0.6
199102,59.5,1.4
199103,59.0,0.9
199104,58.4,0.3
199105,58.1,0.0
199106,57.8,-0.3
199107,57.9,-0.2
199108,57.9,-0.2
199109,57.4,-0.7
199110,57.4,-0.7
199111,57.1,-1.0
199112,57.6,-0.5
199201,57.9,-0.2
199202,57.9,-0.2
199203,58.5,0.4
199204,59.5,1.4
199205,60.2,2.1
199206,60.4,2.3
199207,60.0,1.9
199208,60.1,2.0
199209,60.3,2.2
199210,60.5,2.4
199211,60.2,2.1
199212,59.9,1.8
199301,59.6,1.5
199302,58.8,0.7
199303,58.5,0.4
199304,57.7,-0.4
199305,57.5,-0.6
199306,57.1,-1.0
199307,56.9,-1.2
199308,56.5,-1.6
199309,56.4,-1.7
199310,56.0,-2.1
199311,56.2,-1.9
199312,56.6,-1.5
199401,57.1,-1.0
199402,57.4,-0.7
199403,57.8,-0.3
199404,58.1,0.0
199405,58.2,0.1
199406,59.1,1.0
199407,59.8,1.7
199408,60.4,2.3
199409,60.6,2.5
199410,60.5,2.4
199411,60.2,2.1
199412,60.3,2.2
199501,60.0,1.9
199502,60.9,2.8
199503,60.6,2.5
199504,60.3,2.2
199505,59.4,1.3
199506,58.4,0.3
199507,57.9,-0.2
199508,57.8,-0.3
199509,57.7,-0.4
199510,58.1,0.0
199511,59.3,1.2
199512,59.5,1.4
199601,59.5,1.4
199602,58.8,0.7
199603,58.9,0.8
199604,59.2,1.1
199605,59.7,1.6
199606,60.6,2.5
199607,60.9,2.8
199608,61.0,2.9
199609,60.6,2.5
199610,60.4,2.3
199611,60.0,1.9
199612,59.7,1.6
199701,59.6,1.5
199702,59.2,1.1
199703,59.5,1.4
199704,59.2,1.1
199705,59.5,1.4
199706,59.1,1.0
199707,58.8,0.7
199708,58.6,0.5
199709,58.7,0.6
199710,58.8,0.7
199711,58.7,0.6
199712,58.5,0.4
199801,58.9,0.8
199802,58.9,0.8
199803,58.5,0.4
199804,58.6,0.5
199805,58.2,0.1
199806,57.6,-0.5
199807,57.9,-0.2
199808,58.0,-0.1
199809,58.2,0.1
199810,58.0,-0.1
199811,58.1,0.0
199812,58.2,0.1
199901,58.2,0.1
199902,58.6,0.5
199903,59.0,0.9
199904,58.7,0.6
199905,58.6,0.5
199906,59.1,1.0
199907,58.9,0.8
199908,58.7,0.6
199909,58.5,0.4
199910,59.2,1.1
199911,60.0,1.9
199912,60.1,2.0
200001,60.0,1.9
200002,60.1,2.0
200003,59.8,1.7
200004,60.7,2.6
200005,61.2,3.1
200006,61.5,3.4
200007,61.9,3.8
200008,62.2,4.1
200009,62.4,4.3
200010,61.7,3.6
200011,60.1,2.0
200012,60.3,2.2
200101,60.0,1.9
200102,59.7,1.6
200103,59.8,1.7
200104,59.4,1.3
200105,59.5,1.4
200106,59.5,1.4
200107,59.4,1.3
200108,59.4,1.3
200109,59.9,1.8
200110,60.3,2.2
200111,61.2,3.1
200112,60.7,2.6
200201,60.6,2.5
200202,60.6,2.5
200203,60.1,2.0
200204,60.4,2.3
200205,60.2,2.1
200206,60.2,2.1
200207,60.5,2.4
200208,60.3,2.2
200209,59.6,1.5
200210,59.1,1.0
200211,58.8,0.7
200212,59.3,1.2
200301,60.2,2.1
200302,60.1,2.0
200303,60.4,2.3
200304,60.2,2.1
200305,60.2,2.1
200306,59.8,1.7
200307,59.9,1.8
200308,60.0,1.9
200309,60.2,2.1
200310,61.1,3.0
200311,60.8,2.7
200312,60.8,2.7
200401,59.8,1.7
200402,59.5,1.4
200403,60.1,2.0
200404,60.3,2.2
200405,60.2,2.1
200406,60.3,2.2
200407,59.8,1.7
200408,59.4,1.3
200409,59.2,1.1
200410,58.4,0.3
200411,58.8,0.7
200412,58.7,0.6
200501,59.4,1.3
200502,60.0,1.9
200503,59.4,1.3
200504,59.2,1.1
200505,59.1,1.0
200506,58.7,0.6
200507,59.0,0.9
200508,59.1,1.0
200509,59.2,1.1
200510,59.4,1.3
200511,59.7,1.6
200512,59.6,1.5
200601,59.4,1.3
200602,59.2,1.1
200603,59.0,0.9
200604,59.3,1.2
200605,59.6,1.5
200606,60.4,2.3
200607,60.3,2.2
200608,60.4,2.3
200609,60.1,2.0
200610,59.8,1.7
200611,59.8,1.7
200612,59.7,1.6
200701,59.1,1.0
200702,59.2,1.1
200703,59.9,1.8
200704,59.9,1.8
200705,59.9,1.8
200706,59.9,1.8
200707,60.0,1.9
200708,60.3,2.2
200709,60.6,2.5
200710,60.9,2.8
200711,61.2,3.1
200712,60.8,2.7
200801,60.9,2.8
200802,60.6,2.5
200803,59.8,1.7
200804,59.4,1.3
200805,58.9,0.8
200806,58.4,0.3
200807,58.3,0.2
200808,58.2,0.1
200809,58.2,0.1
200810,58.3,0.2
200811,58.2,0.1
200812,58.4,0.3
200901,58.9,0.8
200902,59.2,1.1
200903,59.4,1.3
200904,59.6,1.5
200905,60.0,1.9
200906,59.6,1.5
200907,59.5,1.4
200908,59.3,1.2
200909,59.6,1.5
200910,59.0,0.9
200911,59.1,1.0
200912,58.7,0.6
201001,58.6,0.5
201002,58.5,0.4
201003,58.4,0.3
201004,58.4,0.3
201005,57.7,-0.4
201006,58.0,-0.1
201007,58.0,-0.1
201008,58.0,-0.1
201009,58.1,0.0
201010,58.6,0.5
201011,58.0,-0.1
201012,58.7,0.6
201101,58.5,0.4
201102,58.4,0.3
201103,58.4,0.3
201104,58.2,0.1
201105,58.1,0.0
201106,58.0,-0.1
201107,57.8,-0.3
201108,58.1,0.0
201109,57.9,-0.2
201110,57.8,-0.3
201111,58.1,0.0
201112,57.8,-0.3
201201,58.3,0.2
201202,58.5,0.4
201203,59.0,0.9
201204,59.7,1.6
201205,60.5,2.4
201206,61.1,3.0
201207,61.3,3.2
201208,61.3,3.2
201209,61.4,3.3
201210,61.4,3.3
201211,61.9,3.8
201212,61.8,3.7
201301,60.9,2.8
201302,60.6,2.5
201303,60.3,2.2
201304,59.8,1.7
201305,59.6,1.5
201306,59.5,1.4
201307,59.7,1.6
201308,59.4,1.3
201309,59.1,1.0
201310,58.7,0.6
201311,58.5,0.4
201312,58.3,0.2
201401,59.0,0.9
201402,59.5,1.4
201403,59.6,1.5
201404,59.8,1.7
201405,59.9,1.8
201406,59.6,1.5
201407,59.6,1.5
201408,59.2,1.1
201409,59.5,1.4
201410,60.2,2.1
201411,60.0,1.9
201412,60.6,2.5
201501,60.7,2.6
201502,61.2,3.1
201503,61.7,3.6
201504,61.8,3.7
201505,61.4,3.3
201506,61.9,3.8
201507,61.5,3.4
201508,61.9,3.8
201509,62.1,4.0
201510,62.1,4.0
201511,61.8,3.7
201512,61.5,3.4
201601,61.0,2.9
201602,60.5,2.4
201603,60.1,2.0
201604,60.1,2.0
201605,60.3,2.2
201606,60.3,2.2
201607,60.7,2.6
201608,60.8,2.7
201609,60.4,2.3
201610,60.3,2.2
201611,61.0,2.9
201612,61.1,3.0
201701,61.0,2.9
201702,61.1,3.0
201703,61.4,3.3
201704,61.2,3.1
201705,61.4,3.3
201706,61.2,3.1
201707,61.3,3.2
201708,61.3,3.2
201709,61.1,3.0
201710,60.7,2.6
201711,60.8,2.7
201712,61.2,3.1
201801,62.0,3.9
201802,61.6,3.5
201803,61.1,3.0
201804,61.4,3.3
201805,61.5,3.4
201806,61.5,3.4
201807,61.6,3.5
201808,61.6,3.5
201809,62.3,4.2
201810,62.1,4.0
201811,61.3,3.2
201812,60.9,2.8
201901,60.3,2.2
201902,60.0,1.9
201903,59.9,1.8
201904,59.7,1.6
201905,58.9,0.8
201906,58.3,0.2
201907,58.1,0.0
201908,58.2,0.1
201909,57.8,-0.3
201910,57.6,-0.5
201911,58.0,-0.1
201912,58.1,0.0
202001,58.3,0.2
202002,58.5,0.4
202003,58.8,0.7
202004,58.9,0.8
202005,59.8,1.7
202006,60.0,1.9
202007,60.0,1.9
202008,60.4,2.3
202009,60.6,2.5
202010,61.5,3.4
202011,61.6,3.5
202012,61.6,3.5
202101,61.7,3.6
202102,61.5,3.4
202103,61.4,3.3
202104,61.4,3.3
202105,61.3,3.2
202106,62.0,3.9
202107,62.2,4.1
202108,61.6,3.5
202109,61.6,3.5
202110,60.9,2.8
202111,61.2,3.1
202112,61.3,3.2
202201,61.5,3.4
202202,61.5,3.4
202203,61.6,3.5
202204,61.5,3.4
202205,61.2,3.1
202206,60.7,2.6
202207,60.7,2.6
202208,60.8,2.7
202209,61.0,2.9
202210,61.4,3.3
202211,60.5,2.4
202212,60.2,2.1
202301,59.6,1.5
202302,59.4,1.3
202303,58.6,0.5
202304,58.4,0.3
202305,58.8,0.7
202306,58.2,0.1
202307,58.2,0.1
202308,58.0,-0.1
202309,57.6,-0.5
202310,57.5,-0.6
202311,58.2,0.1
202312,58.7,0.6
202401,59.1,1.0
202402,59.6,1.5
202403,60.2,2.1
