Utah County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.88
199002,-3.54,-3.92
199003,-3.72,-4.13
199004,-3.67,-3.98
199005,-3.53,-3.85
199006,-3.03,-3.34
199007,-2.97,-3.32
199008,-3.09,-3.41
199009,-2.90,-3.29
199010,-2.65,-2.93
199011,-2.52,-2.75
199012,-2.65,-2.80
199101,-2.88,-3.19
199102,-3.33,-3.71
199103,-3.07,-3.48
199104,0.50,0.19
199105,1.25,0.93
199106,1.22,0.91
199107,1.15,0.80
199108,1.24,0.92
199109,1.75,1.36
199110,1.63,1.35
199111,1.84,1.61
199112,-0.57,-0.72
199201,-1.27,-1.58
199202,-1.42,-1.80
199203,-2.05,-2.46
199204,-2.91,-3.22
199205,-2.90,-3.22
199206,-3.10,-3.41
199207,-2.98,-3.33
199208,-3.05,-3.37
199209,-2.97,-3.36
199210,0.14,-0.14
199211,0.52,0.29
199212,0.77,0.62
199301,1.96,1.65
199302,2.81,2.43
199303,2.72,2.31
199304,2.29,1.98
199305,2.83,2.51
199306,3.21,2.90
199307,3.70,3.35
199308,3.81,3.49
199309,3.34,2.95
199310,3.40,3.12
199311,-0.13,-0.36
199312,-0.58,-0.73
199401,-1.08,-1.39
199402,-0.53,-0.91
199403,-0.99,-1.40
199404,-0.66,-0.97
199405,-0.83,-1.15
199406,-1.46,-1.77
199407,-2.41,-2.76
199408,-2.17,-2.49
199409,-2.10,-2.49
199410,0.84,0.56
199411,1.64,1.41
199412,1.58,1.43
199501,2.29,1.98
199502,1.94,1.56
199503,2.45,2.04
199504,2.81,2.50
199505,4.56,4.24
199506,4.90,4.59
199507,5.48,5.13
199508,5.07,4.75
199509,4.48,4.09
199510,3.54,3.26
199511,2.52,2.29
199512,2.09,1.94
199601,2.54,2.23
199602,3.12,2.74
199603,3.26,2.85
199604,2.99,2.68
199605,0.04,-0.28
199606,-0.25,-0.56
199607,-0.81,-1.16
199608,-1.68,-2.00
199609,0.24,-0.15
199610,0.53,0.25
199611,1.08,0.85
199612,1.72,1.57
199701,3.33,3.02
199702,3.34,2.96
199703,2.24,1.83
199704,2.57,2.26
199705,2.38,2.06
199706,2.40,2.09
199707,2.19,1.84
199708,2.31,1.99
199709,3.12,2.73
199710,3.08,2.80
199711,2.63,2.40
199712,2.01,1.86
199801,2.28,1.97
199802,3.38,3.00
199803,3.35,2.94
199804,3.21,2.90
199805,3.05,2.73
199806,4.29,3.98
199807,5.25,4.90
199808,5.08,4.76
199809,4.61,4.22
199810,4.39,4.11
199811,3.78,3.55
199812,2.91,2.76
199901,2.73,2.42
199902,2.50,2.12
199903,1.54,1.13
199904,2.70,2.39
199905,3.26,2.94
199906,3.30,2.99
199907,3.72,3.37
199908,3.80,3.48
199909,-0.26,-0.65
199910,-1.07,-1.35
199911,-2.05,-2.28
199912,-2.44,-2.59
200001,-2.28,-2.59
200002,-1.59,-1.97
200003,-1.43,-1.84
200004,-1.93,-2.24
200005,-1.85,-2.17
200006,-2.11,-2.42
200007,-2.84,-3.19
200008,-2.53,-2.85
200009,-2.09,-2.48
200010,-1.23,-1.51
200011,-1.15,-1.38
200012,-1.34,-1.49
200101,-1.72,-2.03
200102,-1.92,-2.30
200103,-2.27,-2.68
200104,-1.62,-1.93
200105,-2.10,-2.42
200106,-2.55,-2.86
200107,-2.85,-3.20
200108,-2.95,-3.27
200109,-3.38,-3.77
200110,-3.41,-3.69
200111,-2.49,-2.72
200112,-2.24,-2.39
200201,-2.55,-2.86
200202,-2.97,-3.35
200203,-2.69,-3.10
200204,-2.64,-2.95
200205,-2.84,-3.16
200206,-3.21,-3.52
200207,-3.79,-4.14
200208,-4.41,-4.73
200209,-3.05,-3.44
200210,-2.67,-2.95
200211,-2.55,-2.78
200212,-2.78,-2.93
200301,-3.47,-3.78
200302,-3.61,-3.99
200303,-3.78,-4.19
200304,-3.49,-3.80
200305,-3.00,-3.32
200306,-2.43,-2.74
200307,-2.58,-2.93
200308,-2.57,-2.89
200309,-2.65,-3.04
200310,-3.26,-3.54
200311,0.44,0.21
200312,1.17,1.02
200401,1.02,0.71
