Utah County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.85
199002,-3.54,-3.88
199003,-3.72,-4.08
199004,-3.67,-4.05
199005,-3.53,-4.04
199006,-3.03,-3.45
199007,-2.97,-3.38
199008,-3.09,-3.52
199009,-2.90,-3.32
199010,-2.65,-3.06
199011,-2.52,-2.81
199012,-2.65,-2.84
199101,-2.88,-3.16
199102,-3.33,-3.67
199103,-3.07,-3.43
199104,-2.26,-2.64
199105,-1.23,-1.74
199106,-0.99,-1.41
199107,-0.84,-1.25
199108,1.24,0.81
199109,1.75,1.33
199110,1.63,1.22
199111,1.84,1.55
199112,1.08,0.89
199201,-1.27,-1.55
199202,-1.42,-1.76
199203,-2.05,-2.41
199204,-2.91,-3.29
199205,-2.90,-3.41
199206,-3.10,-3.52
199207,-2.98,-3.39
199208,-3.05,-3.48
199209,-2.97,-3.39
199210,-2.52,-2.93
199211,-1.87,-2.16
199212,-1.37,-1.56
199301,1.96,1.68
199302,2.81,2.47
199303,2.72,2.36
199304,2.29,1.91
199305,2.83,2.32
199306,3.21,2.79
199307,3.70,3.29
199308,3.81,3.38
199309,3.34,2.92
199310,3.40,2.99
199311,2.92,2.63
199312,2.16,1.97
199401,1.38,1.10
199402,1.67,1.33
199403,0.98,0.62
199404,1.11,0.73
199405,0.76,0.25
199406,-1.46,-1.88
199407,-2.41,-2.82
199408,-2.17,-2.60
199409,-2.10,-2.52
199410,-1.04,-1.45
199411,1.64,1.35
199412,1.58,1.39
199501,2.29,2.01
199502,1.94,1.60
199503,2.45,2.09
199504,2.81,2.43
199505,4.56,4.05
199506,4.90,4.48
199507,5.48,5.07
199508,5.07,4.64
199509,4.48,4.06
199510,3.54,3.13
199511,2.52,2.23
199512,2.09,1.90
199601,2.54,2.26
199602,3.12,2.78
199603,3.26,2.90
199604,2.99,2.61
199605,2.73,2.22
199606,2.19,1.77
199607,1.38,0.97
199608,-1.68,-2.11
199609,-1.27,-1.69
199610,-0.82,-1.23
199611,1.08,0.79
199612,1.72,1.53
199701,3.33,3.05
199702,3.34,3.00
199703,2.24,1.88
199704,2.57,2.19
199705,2.38,1.87
199706,2.40,1.98
199707,2.19,1.78
199708,2.31,1.88
199709,3.12,2.70
199710,3.08,2.67
199711,2.63,2.34
199712,2.01,1.82
199801,2.28,2.00
199802,3.38,3.04
199803,3.35,2.99
199804,3.21,2.83
199805,3.05,2.54
199806,4.29,3.87
199807,5.25,4.84
199808,5.08,4.65
199809,4.61,4.19
199810,4.39,3.98
199811,3.78,3.49
199812,2.91,2.72
199901,2.73,2.45
199902,2.50,2.16
199903,1.54,1.18
199904,2.70,2.32
199905,3.26,2.75
199906,3.30,2.88
199907,3.72,3.31
199908,3.80,3.37
199909,3.15,2.73
199910,1.99,1.58
199911,0.69,0.40
199912,-2.44,-2.63
200001,-2.28,-2.56
200002,-1.59,-1.93
200003,-1.43,-1.79
200004,-1.93,-2.31
200005,-1.85,-2.36
200006,-2.11,-2.53
200007,-2.84,-3.25
200008,-2.53,-2.96
200009,-2.09,-2.51
200010,-1.23,-1.64
200011,-1.15,-1.44
200012,-1.34,-1.53
200101,-1.72,-2.00
200102,-1.92,-2.26
200103,-2.27,-2.63
200104,-1.62,-2.00
200105,-2.10,-2.61
200106,-2.55,-2.97
200107,-2.85,-3.26
200108,-2.95,-3.38
200109,-3.38,-3.80
200110,-3.41,-3.82
200111,-2.49,-2.78
200112,-2.24,-2.43
200201,-2.55,-2.83
200202,-2.97,-3.31
200203,-2.69,-3.05
200204,-2.64,-3.02
200205,-2.84,-3.35
200206,-3.21,-3.63
200207,-3.79,-4.20
200208,-4.41,-4.84
200209,-3.05,-3.47
200210,-2.67,-3.08
200211,-2.55,-2.84
200212,-2.78,-2.97
200301,-3.47,-3.75
200302,-3.61,-3.95
200303,-3.78,-4.14
200304,-3.49,-3.87
200305,-3.00,-3.51
200306,-2.43,-2.85
200307,-2.58,-2.99
200308,-2.57,-3.00
200309,-2.65,-3.07
200310,-3.26,-3.67
200311,-2.48,-2.77
200312,-1.45,-1.64
200401,-1.33,-1.61
200402,1.82,1.48
200403,0.67,0.31
200404,0.58,0.20
200405,-1.09,-1.60
200406,-0.99,-1.41
200407,-1.11,-1.52
200408,-1.25,-1.68
200409,-1.39,-1.81
200410,1.85,1.44
200411,1.89,1.60
200412,2.06,1.87
200501,3.15,2.87
200502,3.39,3.05
200503,3.49,3.13
200504,3.45,3.07
200505,4.06,3.55
200506,4.05,3.63
200507,3.90,3.49
200508,3.15,2.72
200509,2.65,2.23
200510,2.47,2.06
200511,1.85,1.56
200512,1.77,1.58
200601,2.09,1.81
200602,1.91,1.57
200603,2.67,2.31
200604,2.58,2.20
200605,1.76,1.25
200606,1.09,0.67
200607,-1.53,-1.94
200608,-1.79,-2.22
200609,-0.95,-1.37
200610,1.12,0.71
200611,0.83,0.54
200612,-0.52,-0.71
200701,-1.18,-1.46
200702,-1.13,-1.47
200703,-1.68,-2.04
200704,-2.14,-2.52
200705,-2.34,-2.85
200706,-2.57,-2.99
200707,-3.03,-3.44
200708,-3.29,-3.72
200709,-2.50,-2.92
200710,-2.13,-2.54
200711,-2.87,-3.16
200712,-2.16,-2.35
200801,-1.57,-1.85
200802,-0.79,-1.13
200803,-0.86,-1.22
200804,-1.02,-1.40
200805,0.99,0.48
200806,1.00,0.58
200807,-0.06,-0.47
200808,-0.44,-0.87
200809,-0.37,-0.79
200810,-0.61,-1.02
200811,-0.93,-1.22
200812,0.11,-0.08
200901,0.70,0.42
200902,0.92,0.58
200903,0.75,0.39
200904,1.59,1.21
200905,1.40,0.89
200906,2.33,1.91
200907,2.36,1.95
200908,1.64,1.21
200909,1.40,0.98
200910,1.27,0.86
200911,-1.27,-1.56
200912,-1.28,-1.47
201001,-1.76,-2.04
201002,-2.34,-2.68
201003,-2.76,-3.12
201004,-1.98,-2.36
201005,-1.01,-1.52
201006,-0.60,-1.02
201007,1.38,0.97
201008,1.61,1.18
201009,0.81,0.39
201010,1.51,1.10
201011,1.97,1.68
201012,3.76,3.57
201101,3.45,3.17
201102,3.51,3.17
201103,3.34,2.98
201104,4.12,3.74
201105,5.21,4.70
201106,4.95,4.53
201107,5.44,5.03
201108,5.24,4.81
201109,4.52,4.10
201110,4.15,3.74
201111,3.64,3.35
201112,2.44,2.25
201201,2.00,1.72
201202,1.74,1.40
201203,0.92,0.56
201204,-1.79,-2.17
201205,-2.23,-2.74
201206,-2.92,-3.34
201207,-2.93,-3.34
201208,-3.34,-3.77
201209,-3.04,-3.46
201210,-3.15,-3.56
201211,-3.22,-3.51
201212,-2.54,-2.73
201301,-2.49,-2.77
201302,-2.78,-3.12
201303,-3.46,-3.82
201304,-2.97,-3.35
201305,-2.86,-3.37
201306,-3.21,-3.63
201307,-3.20,-3.61
201308,-3.14,-3.57
201309,-1.86,-2.28
201310,-1.61,-2.02
201311,-2.06,-2.35
201312,-2.25,-2.44
201401,-2.70,-2.98
201402,-2.60,-2.94
201403,-2.78,-3.14
201404,-2.63,-3.01
201405,-2.67,-3.18
201406,-2.70,-3.12
201407,-2.53,-2.94
201408,-1.08,-1.51
201409,2.27,1.85
201410,1.16,0.75
201411,0.69,0.40
201412,0.83,0.64
201501,-1.17,-1.45
201502,-2.13,-2.47
201503,-3.39,-3.75
201504,-3.41,-3.79
201505,-2.34,-2.85
201506,-2.67,-3.09
201507,-2.75,-3.16
201508,-2.37,-2.80
201509,-2.32,-2.74
201510,-2.54,-2.95
201511,-2.47,-2.76
201512,-2.04,-2.23
201601,-1.63,-1.91
201602,-1.74,-2.08
201603,-1.74,-2.10
201604,-1.66,-2.04
201605,-1.32,-1.83
201606,-1.55,-1.97
201607,-2.37,-2.78
201608,-2.98,-3.41
201609,-2.07,-2.49
201610,-2.24,-2.65
201611,-2.41,-2.70
201612,-1.83,-2.02
201701,1.85,1.57
201702,2.69,2.35
201703,2.30,1.94
201704,2.23,1.85
201705,1.56,1.05
201706,0.74,0.32
201707,-1.53,-1.94
201708,-1.89,-2.32
201709,-1.21,-1.63
201710,-1.77,-2.18
201711,-2.49,-2.78
201712,-3.14,-3.33
201801,-3.73,-4.01
201802,-4.27,-4.61
201803,-4.52,-4.88
201804,-4.11,-4.49
201805,-3.87,-4.38
201806,-4.37,-4.79
201807,-4.98,-5.39
201808,-4.74,-5.17
201809,-5.23,-5.65
201810,-3.77,-4.18
201811,-3.07,-3.36
201812,-2.80,-2.99
201901,-1.62,-1.90
201902,2.51,2.17
201903,3.46,3.10
201904,3.51,3.13
201905,4.59,4.08
201906,4.13,3.71
201907,3.83,3.42
