Utah County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.78
199002,-3.54,-3.90
199003,-3.72,-4.11
199004,-3.67,-4.07
199005,-3.53,-4.01
199006,-2.82,-3.22
199007,-2.97,-3.37
199008,-3.09,-3.49
199009,-2.90,-3.32
199010,-2.65,-3.03
199011,-2.52,-2.80
199012,-2.65,-2.80
199101,-2.88,-3.09
199102,-3.33,-3.69
199103,-3.07,-3.46
199104,-1.59,-1.99
199105,0.44,-0.04
199106,0.73,0.33
199107,0.86,0.46
199108,1.24,0.84
199109,1.75,1.33
199110,1.63,1.25
199111,1.84,1.56
199112,0.19,0.04
199201,-1.27,-1.48
199202,-1.42,-1.78
199203,-2.05,-2.44
199204,-2.91,-3.31
199205,-2.90,-3.38
199206,-3.10,-3.50
199207,-2.98,-3.38
199208,-3.05,-3.45
199209,-2.97,-3.39
199210,-2.28,-2.66
199211,-1.09,-1.37
199212,-0.20,-0.35
199301,1.96,1.75
199302,2.81,2.45
199303,2.72,2.33
199304,2.04,1.64
199305,2.83,2.35
199306,3.21,2.81
199307,3.70,3.30
199308,3.81,3.41
199309,3.19,2.77
199310,3.40,3.02
199311,2.71,2.43
199312,1.35,1.20
199401,-0.12,-0.33
199402,0.68,0.32
199403,-0.55,-0.94
199404,-0.13,-0.53
199405,-0.65,-1.13
199406,-1.46,-1.86
199407,-2.41,-2.81
199408,-2.12,-2.52
199409,-2.10,-2.52
199410,0.18,-0.20
199411,1.64,1.36
199412,1.58,1.43
199501,2.29,2.08
199502,1.73,1.37
199503,2.45,2.06
199504,2.81,2.41
199505,4.56,4.08
199506,4.90,4.50
199507,5.48,5.08
199508,5.07,4.67
199509,4.35,3.93
199510,2.82,2.44
199511,1.02,0.74
199512,0.43,0.28
199601,1.58,1.37
199602,2.93,2.57
199603,3.26,2.87
199604,2.99,2.59
199605,2.72,2.24
199606,1.80,1.40
199607,0.22,-0.18
199608,-1.68,-2.08
199609,-0.84,-1.26
199610,0.13,-0.25
199611,1.08,0.80
199612,1.72,1.57
199701,3.33,3.12
199702,3.34,2.98
199703,1.27,0.88
199704,2.22,1.82
199705,2.07,1.59
199706,2.33,1.93
199707,2.11,1.71
199708,2.31,1.91
199709,3.12,2.70
199710,3.08,2.70
199711,2.41,2.13
199712,1.30,1.15
199801,2.09,1.88
199802,3.38,3.02
199803,3.35,2.96
199804,3.21,2.81
199805,3.05,2.57
199806,4.29,3.89
199807,5.25,4.85
199808,5.08,4.68
199809,4.61,4.19
199810,4.39,4.01
199811,3.55,3.27
199812,2.06,1.91
199901,1.99,1.78
199902,1.78,1.42
199903,0.05,-0.34
199904,2.54,2.14
199905,3.26,2.78
199906,3.30,2.90
199907,3.72,3.32
199908,3.80,3.40
199909,2.79,2.37
199910,0.60,0.22
199911,-1.89,-2.17
199912,-2.44,-2.59
200001,-2.28,-2.49
200002,-0.92,-1.28
200003,-0.73,-1.12
200004,-1.93,-2.33
200005,-1.85,-2.33
200006,-2.11,-2.51
200007,-2.84,-3.24
200008,-2.45,-2.85
200009,-1.71,-2.13
200010,-0.01,-0.39
200011,-0.01,-0.29
200012,-0.55,-0.70
200101,-1.40,-1.61
200102,-1.92,-2.28
200103,-2.27,-2.66
200104,-1.00,-1.40
200105,-2.10,-2.58
200106,-2.55,-2.95
200107,-2.85,-3.25
200108,-2.95,-3.35
200109,-3.38,-3.80
200110,-3.41,-3.79
200111,-1.74,-2.02
200112,-1.46,-1.61
200201,-2.35,-2.56
200202,-2.97,-3.33
200203,-2.65,-3.04
200204,-2.64,-3.04
200205,-2.84,-3.32
200206,-3.21,-3.61
200207,-3.79,-4.19
200208,-4.41,-4.81
200209,-1.95,-2.37
200210,-1.47,-1.85
200211,-1.51,-1.79
200212,-2.23,-2.38
200301,-3.47,-3.68
200302,-3.61,-3.97
