Utah County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,14.83,-4.19
199002,15.00,-4.04
199003,14.94,-4.11
199004,15.49,-3.54
199005,15.81,-3.23
199006,16.66,-2.39
199007,16.55,-2.50
199008,16.01,-3.05
199009,15.59,-3.47
199010,15.89,-3.18
199011,16.29,-2.76
199012,17.33,-1.73
199101,17.08,-1.94
199102,15.86,-3.18
199103,16.24,-2.81
199104,17.06,-1.97
199105,18.60,-0.44
199106,17.91,-1.14
199107,17.62,-1.43
199108,18.42,-0.64
199109,19.29,0.23
199110,19.45,0.38
199111,20.09,1.04
199112,19.36,0.30
199201,18.71,-0.31
199202,19.75,0.71
199203,18.76,-0.29
199204,16.88,-2.15
199205,16.03,-3.01
199206,16.03,-3.02
199207,16.82,-2.23
199208,16.12,-2.94
199209,14.92,-4.14
199210,15.32,-3.75
199211,15.25,-3.80
199212,17.02,-2.04
199301,20.13,1.11
199302,21.21,2.17
199303,22.12,3.07
199304,22.97,3.94
199305,24.22,5.18
199306,25.12,6.07
199307,24.89,5.84
199308,25.21,6.15
199309,25.06,6.00
199310,25.13,6.06
199311,23.94,4.89
199312,22.40,3.34
199401,19.57,0.55
199402,19.39,0.35
199403,18.39,-0.66
199404,19.38,0.35
199405,17.63,-1.41
199406,15.99,-3.06
199407,15.23,-3.82
199408,15.85,-3.21
199409,16.27,-2.79
199410,17.16,-1.91
199411,18.92,-0.13
199412,19.52,0.46
199501,21.26,2.24
199502,19.74,0.70
199503,21.63,2.58
199504,21.99,2.96
199505,25.46,6.42
199506,27.31,8.26
199507,28.30,9.25
199508,27.30,8.24
199509,27.10,8.04
199510,24.62,5.55
199511,22.88,3.83
199512,23.41,4.35
199601,24.21,5.19
199602,25.70,6.66
199603,25.27,6.22
199604,24.40,5.37
199605,21.19,2.15
199606,19.77,0.72
199607,19.09,0.04
199608,18.50,-0.56
199609,19.05,-0.01
199610,20.59,1.52
199611,22.34,3.29
199612,23.46,4.40
199701,24.22,5.20
199702,23.12,4.08
199703,21.13,2.08
199704,21.80,2.77
199705,22.03,2.99
199706,22.89,3.84
199707,23.17,4.12
199708,24.62,5.56
199709,25.84,6.78
199710,25.74,6.67
199711,24.38,5.33
199712,22.47,3.41
199801,21.12,2.10
199802,23.11,4.07
199803,24.69,5.64
