Wasatch County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,41.5,1.5
199002,41.7,1.7
199003,41.6,1.6
199004,41.5,1.5
199005,41.3,1.3
199006,41.6,1.6
199007,41.4,1.4
199008,41.5,1.5
199009,41.9,1.9
199010,41.9,1.9
199011,41.8,1.8
199012,41.0,1.0
199101,40.8,0.8
199102,41.4,1.4
199103,41.0,1.0
199104,40.4,0.4
199105,40.3,0.3
199106,40.1,0.1
199107,40.1,0.1
199108,40.2,0.2
199109,39.8,-0.2
199110,39.9,-0.1
199111,39.7,-0.3
199112,40.5,0.5
199201,40.8,0.8
199202,40.8,0.8
199203,41.4,1.4
199204,42.2,2.2
199205,42.8,2.8
199206,42.8,2.8
199207,42.5,2.5
199208,42.5,2.5
199209,42.6,2.6
199210,42.8,2.8
199211,42.5,2.5
199212,42.0,2.0
199301,41.7,1.7
199302,41.1,1.1
199303,40.9,0.9
199304,40.2,0.2
199305,40.0,0.0
199306,39.7,-0.3
199307,39.5,-0.5
199308,39.2,-0.8
199309,39.0,-1.0
199310,38.7,-1.3
199311,38.8,-1.2
199312,39.2,-0.8
199401,39.6,-0.4
199402,39.6,-0.4
199403,39.8,-0.2
199404,40.1,0.1
199405,40.1,0.1
199406,40.8,0.8
199407,41.5,1.5
199408,42.0,2.0
199409,42.3,2.3
199410,42.2,2.2
199411,42.1,2.1
199412,42.1,2.1
199501,41.9,1.9
199502,42.8,2.8
199503,42.5,2.5
199504,42.2,2.2
199505,41.6,1.6
199506,40.9,0.9
199507,40.5,0.5
199508,40.3,0.3
199509,40.2,0.2
199510,40.3,0.3
199511,41.3,1.3
199512,41.5,1.5
199601,41.5,1.5
199602,41.0,1.0
199603,41.0,1.0
199604,41.1,1.1
199605,41.5,1.5
199606,42.1,2.1
199607,42.5,2.5
199608,42.5,2.5
199609,42.1,2.1
199610,42.1,2.1
199611,41.7,1.7
199612,41.4,1.4
199701,41.4,1.4
199702,41.0,1.0
199703,41.1,1.1
199704,40.9,0.9
199705,41.1,1.1
199706,40.9,0.9
199707,40.5,0.5
199708,40.5,0.5
199709,40.7,0.7
199710,40.8,0.8
199711,40.7,0.7
199712,40.6,0.6
199801,40.9,0.9
199802,41.1,1.1
199803,40.9,0.9
199804,41.0,1.0
199805,40.8,0.8
199806,40.3,0.3
199807,40.6,0.6
199808,40.7,0.7
199809,40.8,0.8
199810,40.8,0.8
199811,40.8,0.8
199812,40.9,0.9
199901,40.9,0.9
199902,41.0,1.0
199903,41.3,1.3
199904,41.1,1.1
199905,40.9,0.9
199906,41.3,1.3
199907,41.1,1.1
199908,41.0,1.0
199909,40.7,0.7
199910,40.9,0.9
199911,41.5,1.5
199912,41.6,1.6
200001,41.6,1.6
200002,41.8,1.8
200003,41.6,1.6
200004,42.3,2.3
200005,42.8,2.8
200006,43.0,3.0
200007,43.3,3.3
200008,43.6,3.6
200009,43.8,3.8
200010,43.5,3.5
200011,42.3,2.3
200012,42.4,2.4
200101,42.1,2.1
200102,41.8,1.8
200103,42.0,2.0
200104,41.7,1.7
200105,41.7,1.7
200106,41.8,1.8
200107,41.7,1.7
200108,41.6,1.6
200109,42.0,2.0
200110,42.1,2.1
200111,43.0,3.0
200112,42.6,2.6
200201,42.4,2.4
200202,42.2,2.2
200203,41.6,1.6
200204,41.7,1.7
200205,41.4,1.4
200206,41.5,1.5
200207,41.7,1.7
200208,41.5,1.5
200209,41.1,1.1
200210,40.7,0.7
200211,40.5,0.5
200212,40.8,0.8
200301,41.7,1.7
200302,41.7,1.7
200303,42.2,2.2
200304,42.0,2.0
200305,42.1,2.1
200306,41.8,1.8
200307,41.8,1.8
200308,41.9,1.9
200309,42.0,2.0
200310,42.7,2.7
200311,42.5,2.5
200312,42.6,2.6
200401,41.8,1.8
200402,41.7,1.7
200403,42.1,2.1
200404,42.3,2.3
200405,42.3,2.3
200406,42.4,2.4
200407,41.9,1.9
200408,41.5,1.5
200409,41.4,1.4
200410,40.9,0.9
200411,41.2,1.2
200412,41.2,1.2
200501,41.8,1.8
200502,42.2,2.2
200503,41.7,1.7
200504,41.5,1.5
200505,41.5,1.5
200506,41.2,1.2
200507,41.4,1.4
200508,41.5,1.5
200509,41.6,1.6
200510,41.7,1.7
200511,41.9,1.9
