Wasatch County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,71,33
199002,71,33
199003,71,33
199004,71,33
199005,71,33
199006,80,42
199007,47,8
199008,53,14
199009,61,22
199010,61,22
199011,61,22
199012,61,22
199101,61,23
199102,61,23
199103,61,23
199104,61,23
199105,61,23
199106,52,14
199107,52,13
199108,59,20
199109,51,12
199110,51,12
199111,51,12
199112,51,12
199201,51,13
199202,51,13
199203,51,13
199204,51,13
199205,51,13
199206,56,18
199207,33,-6
199208,35,-4
199209,35,-4
199210,35,-4
199211,35,-4
199212,35,-4
199301,35,-3
199302,35,-3
199303,35,-3
199304,35,-3
199305,35,-3
199306,30,-8
199307,24,-15
199308,0,-39
199309,0,-39
199310,0,-39
199311,0,-39
199312,0,-39
199401,0,-38
199402,0,-38
199403,0,-38
199404,0,-38
199405,0,-38
199406,21,-17
199407,78,39
199408,132,93
199409,132,93
199410,132,93
199411,132,93
199412,132,93
199501,132,94
199502,132,94
199503,132,94
199504,132,94
199505,132,94
199506,111,73
199507,62,23
199508,39,0
199509,39,0
199510,39,0
199511,39,0
199512,39,0
199601,39,1
199602,39,1
199603,39,1
199604,39,1
199605,39,1
199606,54,16
199607,91,52
199608,90,51
199609,90,51
199610,90,51
199611,90,51
199612,90,51
199701,90,52
199702,90,52
199703,90,52
199704,90,52
199705,90,52
199706,82,44
199707,45,6
199708,35,-4
199709,35,-4
199710,35,-4
199711,35,-4
199712,35,-4
199801,35,-3
199802,35,-3
199803,35,-3
199804,35,-3
199805,35,-3
199806,28,-10
199807,69,30
199808,74,35
199809,74,35
199810,74,35
199811,74,35
199812,74,35
199901,74,36
199902,74,36
199903,74,36
199904,74,36
199905,74,36
199906,74,36
199907,48,9
199908,37,-2
199909,37,-2
199910,37,-2
199911,37,-2
199912,37,-2
200001,37,-1
200002,37,-1
200003,37,-1
200004,37,-1
200005,37,-1
200006,47,9
200007,85,46
200008,125,86
200009,125,86
200010,125,86
200011,125,86
200012,125,86
200101,125,87
200102,125,87
200103,125,87
200104,125,87
200105,125,87
200106,126,88
200107,110,71
200108,107,68
200109,115,76
200110,115,76
200111,115,76
200112,115,76
200201,115,77
200202,115,77
200203,115,77
200204,115,77
200205,115,77
200206,119,81
200207,166,127
200208,133,94
200209,125,86
200210,125,86
200211,125,86
200212,125,86
200301,125,87
200302,125,87
200303,125,87
200304,125,87
200305,125,87
200306,110,72
200307,112,73
200308,131,92
200309,131,92
200310,131,92
200311,131,92
200312,131,92
200401,131,93
200402,131,93
200403,131,93
200404,131,93
200405,131,93
200406,138,100
200407,63,24
200408,26,-13
200409,26,-13
200410,26,-13
200411,26,-13
200412,26,-13
200501,26,-12
200502,26,-12
200503,26,-12
200504,26,-12
200505,26,-12
200506,19,-19
200507,48,9
200508,57,18
200509,57,18
200510,57,18
200511,57,18
200512,57,18
200601,57,19
200602,57,19
200603,57,19
200604,57,19
200605,57,19
200606,71,33
200607,85,46
200608,87,48
200609,87,48
200610,87,48
200611,87,48
200612,87,48
200701,87,49
200702,87,49
200703,87,49
200704,87,49
200705,87,49
200706,87,49
200707,103,64
200708,128,89
200709,128,89
200710,128,89
200711,128,89
200712,128,89
200801,128,90
200802,128,90
200803,128,90
200804,128,90
200805,128,90
200806,114,76
200807,76,37
200808,60,21
200809,60,21
