Wasatch County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,8611,-514
199002,8544,-580
199003,8577,-548
199004,8601,-523
199005,8662,-462
199006,8570,-554
199007,8608,-515
199008,8578,-543
199009,8459,-661
199010,8451,-668
199011,8499,-623
199012,8777,-345
199101,8875,-250
199102,8653,-471
199103,8818,-307
199104,9021,-103
199105,9067,-57
199106,9127,3
199107,9126,3
199108,9104,-17
199109,9230,110
199110,9207,88
199111,9264,142
199112,8991,-131
199201,8870,-255
199202,8872,-252
199203,8654,-471
199204,8360,-764
199205,8139,-985
199206,8131,-993
199207,8213,-910
199208,8210,-911
199209,8178,-942
199210,8103,-1016
199211,8231,-891
199212,8415,-707
199301,8498,-627
199302,8723,-401
199303,8801,-324
199304,9046,-78
199305,9099,-25
199306,9204,80
199307,9282,159
199308,9376,255
199309,9432,312
199310,9566,447
199311,9535,413
199312,9383,261
199401,9239,114
199402,9210,86
199403,9157,32
199404,9062,-62
199405,9031,-93
199406,8807,-317
199407,8615,-508
199408,8477,-644
199409,8378,-742
199410,8400,-719
199411,8460,-662
199412,8435,-687
199501,8506,-619
199502,8223,-901
199503,8321,-804
199504,8429,-695
199505,8672,-452
199506,8904,-220
199507,9007,-116
199508,9037,-84
199509,9072,-48
199510,9034,-85
199511,8679,-443
199512,8586,-536
199601,8599,-526
199602,8773,-351
199603,8770,-355
199604,8731,-393
199605,8585,-539
199606,8378,-746
199607,8287,-836
199608,8288,-833
199609,8398,-722
199610,8414,-705
199611,8549,-573
199612,8656,-466
199701,8675,-450
199702,8801,-323
199703,8751,-374
199704,8833,-291
199705,8768,-356
199706,8836,-288
199707,8923,-200
199708,8945,-176
199709,8857,-263
199710,8836,-283
199711,8853,-269
199712,8909,-213
199801,8795,-330
199802,8714,-410
199803,8806,-319
199804,8751,-373
199805,8851,-273
199806,9020,-104
199807,8928,-195
199808,8916,-205
199809,8864,-256
199810,8881,-238
199811,8862,-260
199812,8842,-280
199901,8846,-279
199902,8802,-322
199903,8695,-430
199904,8767,-357
199905,8829,-295
199906,8699,-425
199907,8735,-388
199908,8767,-354
199909,8894,-226
199910,8783,-336
199911,8586,-536
199912,8553,-569
200001,8554,-571
200002,8466,-658
200003,8553,-572
200004,8298,-826
200005,8116,-1008
