Wasatch County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,53.6,1.5
199002,53.7,1.6
199003,53.6,1.5
199004,53.5,1.4
199005,53.3,1.2
199006,53.7,1.6
199007,53.3,1.2
199008,53.5,1.4
199009,53.8,1.7
199010,53.8,1.7
199011,53.7,1.6
199012,53.0,0.9
199101,52.8,0.7
199102,53.6,1.5
199103,53.1,1.0
199104,52.5,0.4
199105,52.3,0.2
199106,52.1,0.0
199107,52.1,0.0
199108,52.1,0.0
199109,51.7,-0.4
199110,51.8,-0.3
199111,51.5,-0.6
199112,52.2,0.1
199201,52.5,0.4
199202,52.4,0.3
199203,53.0,0.9
199204,54.0,1.9
199205,54.7,2.6
199206,54.7,2.6
199207,54.4,2.3
199208,54.5,2.4
199209,54.7,2.6
199210,54.8,2.7
199211,54.6,2.5
199212,54.0,1.9
199301,53.6,1.5
199302,52.9,0.8
199303,52.7,0.6
199304,51.9,-0.2
199305,51.7,-0.4
199306,51.3,-0.8
199307,51.2,-0.9
199308,50.8,-1.3
199309,50.7,-1.4
199310,50.2,-1.9
199311,50.4,-1.7
199312,50.9,-1.2
199401,51.3,-0.8
199402,51.5,-0.6
199403,51.8,-0.3
199404,52.1,0.0
199405,52.2,0.1
199406,53.0,0.9
199407,53.8,1.7
199408,54.4,2.3
199409,54.6,2.5
199410,54.5,2.4
199411,54.2,2.1
199412,54.2,2.1
199501,54.0,1.9
199502,54.9,2.8
199503,54.5,2.4
199504,54.2,2.1
199505,53.3,1.2
199506,52.4,0.3
199507,51.9,-0.2
199508,51.7,-0.4
199509,51.7,-0.4
199510,52.0,-0.1
199511,53.1,1.0
199512,53.4,1.3
199601,53.3,1.2
199602,52.8,0.7
199603,52.9,0.8
199604,53.1,1.0
199605,53.6,1.5
199606,54.4,2.3
199607,54.8,2.7
199608,54.9,2.8
199609,54.5,2.4
199610,54.4,2.3
199611,54.0,1.9
199612,53.6,1.5
199701,53.6,1.5
199702,53.2,1.1
199703,53.5,1.4
199704,53.2,1.1
199705,53.5,1.4
199706,53.1,1.0
199707,52.8,0.7
199708,52.4,0.3
199709,52.6,0.5
199710,52.7,0.6
199711,52.5,0.4
199712,52.5,0.4
199801,52.8,0.7
199802,52.9,0.8
199803,52.5,0.4
199804,52.7,0.6
199805,52.2,0.1
199806,51.7,-0.4
199807,52.0,-0.1
199808,52.2,0.1
199809,52.4,0.3
199810,52.2,0.1
199811,52.2,0.1
199812,52.3,0.2
199901,52.3,0.2
199902,52.6,0.5
199903,52.9,0.8
199904,52.6,0.5
199905,52.5,0.4
199906,53.0,0.9
199907,52.8,0.7
199908,52.6,0.5
199909,52.4,0.3
199910,53.1,1.0
199911,54.0,1.9
199912,54.1,2.0
200001,54.0,1.9
200002,54.2,2.1
200003,53.9,1.8
200004,54.8,2.7
200005,55.3,3.2
200006,55.6,3.5
200007,55.9,3.8
200008,56.3,4.2
200009,56.4,4.3
200010,55.7,3.6
200011,54.2,2.1
200012,54.3,2.2
200101,54.1,2.0
200102,53.8,1.7
200103,53.9,1.8
200104,53.4,1.3
200105,53.5,1.4
200106,53.6,1.5
200107,53.4,1.3
200108,53.5,1.4
200109,53.9,1.8
200110,54.3,2.2
200111,55.1,3.0
200112,54.7,2.6
200201,54.5,2.4
200202,54.6,2.5
200203,54.2,2.1
200204,54.4,2.3
200205,54.1,2.0
200206,54.1,2.0
200207,54.5,2.4
200208,54.3,2.2
200209,53.6,1.5
200210,53.2,1.1
200211,53.0,0.9
200212,53.3,1.2
200301,54.2,2.1
200302,54.0,1.9
200303,54.3,2.2
200304,54.0,1.9
200305,54.1,2.0
200306,53.6,1.5
200307,53.6,1.5
200308,53.7,1.6
200309,53.9,1.8
200310,54.8,2.7
200311,54.4,2.3
200312,54.5,2.4
200401,53.7,1.6
200402,53.6,1.5
200403,54.3,2.2
200404,54.5,2.4
200405,54.4,2.3
200406,54.5,2.4
200407,53.9,1.8
200408,53.5,1.4
200409,53.3,1.2
200410,52.5,0.4
200411,52.9,0.8
200412,53.0,0.9
200501,53.4,1.3
200502,53.9,1.8
200503,53.3,1.2
200504,53.2,1.1
200505,53.2,1.1
200506,52.7,0.6
200507,53.0,0.9
200508,53.1,1.0
200509,53.2,1.1
200510,53.6,1.5
200511,53.8,1.7
200512,53.6,1.5
200601,53.4,1.3
200602,53.2,1.1
200603,53.0,0.9
200604,53.2,1.1
200605,53.5,1.4
200606,54.2,2.1
200607,54.2,2.1
200608,54.3,2.2
200609,54.0,1.9
200610,53.7,1.6
200611,53.6,1.5
200612,53.7,1.6
200701,53.3,1.2
200702,53.4,1.3
200703,54.1,2.0
200704,54.1,2.0
200705,54.0,1.9
200706,54.0,1.9
200707,54.1,2.0
200708,54.4,2.3
200709,54.6,2.5
200710,54.9,2.8
200711,55.3,3.2
200712,54.9,2.8
200801,54.8,2.7
200802,54.5,2.4
200803,53.7,1.6
200804,53.2,1.1
200805,52.7,0.6
200806,52.3,0.2
200807,52.1,0.0
200808,52.0,-0.1
200809,52.1,0.0
200810,52.2,0.1
200811,52.0,-0.1
200812,52.2,0.1
200901,52.9,0.8
200902,53.1,1.0
200903,53.3,1.2
200904,53.5,1.4
200905,53.9,1.8
200906,53.6,1.5
200907,53.4,1.3
200908,53.2,1.1
200909,53.5,1.4
200910,52.9,0.8
200911,53.0,0.9
200912,52.7,0.6
201001,52.6,0.5
201002,52.4,0.3
201003,52.4,0.3
201004,52.4,0.3
201005,51.7,-0.4
201006,52.1,0.0
201007,52.1,0.0
201008,52.0,-0.1
201009,52.1,0.0
201010,52.7,0.6
201011,52.0,-0.1
201012,52.7,0.6
201101,52.5,0.4
201102,52.4,0.3
201103,52.3,0.2
201104,52.0,-0.1
201105,52.0,-0.1
201106,51.9,-0.2
201107,51.7,-0.4
201108,52.0,-0.1
201109,51.8,-0.3
201110,51.8,-0.3
201111,52.0,-0.1
201112,51.9,-0.2
201201,52.3,0.2
201202,52.5,0.4
201203,53.0,0.9
201204,53.7,1.6
201205,54.5,2.4
201206,55.1,3.0
201207,55.2,3.1
201208,55.4,3.3
201209,55.4,3.3
201210,55.5,3.4
201211,56.0,3.9
201212,55.6,3.5
201301,55.0,2.9
201302,54.9,2.8
201303,54.7,2.6
201304,54.1,2.0
201305,54.0,1.9
201306,54.0,1.9
201307,54.1,2.0
201308,53.9,1.8
201309,53.5,1.4
201310,53.2,1.1
201311,53.0,0.9
201312,53.0,0.9
201401,53.6,1.5
201402,53.9,1.8
201403,53.9,1.8
201404,54.1,2.0
201405,54.2,2.1
201406,53.8,1.7
201407,53.8,1.7
201408,53.4,1.3
201409,53.8,1.7
201410,54.4,2.3
201411,54.2,2.1
201412,54.6,2.5
201501,54.8,2.7
201502,55.3,3.2
201503,55.7,3.6
201504,55.9,3.8
201505,55.5,3.4
201506,56.0,3.9
201507,55.5,3.4
201508,55.9,3.8
201509,56.1,4.0
201510,56.1,4.0
201511,55.9,3.8
201512,55.6,3.5
201601,55.0,2.9
201602,54.8,2.7
201603,54.3,2.2
201604,54.4,2.3
201605,54.5,2.4
201606,54.5,2.4
201607,55.0,2.9
201608,55.1,3.0
201609,54.7,2.6
201610,54.6,2.5
201611,55.2,3.1
201612,55.2,3.1
201701,55.1,3.0
201702,55.0,2.9
201703,55.4,3.3
201704,55.1,3.0
201705,55.2,3.1
201706,55.0,2.9
201707,55.0,2.9
201708,55.1,3.0
201709,54.8,2.7
201710,54.5,2.4
201711,54.6,2.5
201712,55.1,3.0
201801,55.7,3.6
201802,55.3,3.2
201803,54.8,2.7
201804,55.1,3.0
201805,55.3,3.2
201806,55.3,3.2
201807,55.4,3.3
201808,55.4,3.3
201809,56.2,4.1
201810,56.0,3.9
201811,55.3,3.2
201812,54.8,2.7
201901,54.3,2.2
201902,54.0,1.9
201903,53.8,1.7
201904,53.7,1.6
201905,52.9,0.8
201906,52.4,0.3
201907,52.1,0.0
201908,52.1,0.0
201909,51.6,-0.5
201910,51.4,-0.7
201911,51.7,-0.4
201912,51.7,-0.4
202001,51.8,-0.3
202002,52.2,0.1
202003,52.5,0.4
202004,52.6,0.5
202005,53.4,1.3
202006,53.5,1.4
202007,53.6,1.5
202008,54.0,1.9
202009,54.4,2.3
202010,55.3,3.2
202011,55.4,3.3
202012,55.7,3.6
202101,55.7,3.6
202102,55.5,3.4
202103,55.4,3.3
202104,55.4,3.3
202105,55.3,3.2
202106,56.0,3.9
202107,56.2,4.1
202108,55.6,3.5
202109,55.5,3.4
202110,54.9,2.8
202111,55.2,3.1
202112,55.2,3.1
202201,55.4,3.3
202202,55.5,3.4
202203,55.6,3.5
202204,55.5,3.4
202205,55.1,3.0
202206,54.7,2.6
202207,54.6,2.5
202208,54.7,2.6
202209,54.9,2.8
202210,55.4,3.3
202211,54.5,2.4
202212,54.2,2.1
202301,53.6,1.5
202302,53.5,1.4
202303,52.7,0.6
202304,52.6,0.5
202305,53.0,0.9
202306,52.5,0.4
202307,52.5,0.4
202308,52.3,0.2
202309,51.9,-0.2
202310,51.8,-0.3
202311,52.4,0.3
202312,52.9,0.8
202401,53.2,1.1
202402,53.5,1.4
202403,54.1,2.0
