Wasatch County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,29.4,1.5
199002,29.6,1.7
199003,29.6,1.7
199004,29.5,1.6
199005,29.4,1.5
199006,29.6,1.7
199007,29.5,1.6
199008,29.6,1.7
199009,30.0,2.1
199010,30.0,2.1
199011,29.9,2.0
199012,29.1,1.2
199101,28.7,0.8
199102,29.3,1.4
199103,28.8,0.9
199104,28.3,0.4
199105,28.3,0.4
199106,28.2,0.3
199107,28.1,0.2
199108,28.3,0.4
199109,28.0,0.1
199110,28.0,0.1
199111,28.0,0.1
199112,28.7,0.8
199201,29.0,1.1
199202,29.2,1.3
199203,29.8,1.9
199204,30.4,2.5
199205,30.9,3.0
199206,30.9,3.0
199207,30.7,2.8
199208,30.6,2.7
199209,30.6,2.7
199210,30.8,2.9
199211,30.4,2.5
199212,30.0,2.1
199301,29.9,2.0
199302,29.2,1.3
199303,29.1,1.2
199304,28.5,0.6
199305,28.4,0.5
199306,28.2,0.3
199307,27.9,0.0
199308,27.6,-0.3
199309,27.4,-0.5
199310,27.2,-0.7
199311,27.1,-0.8
199312,27.5,-0.4
199401,27.8,-0.1
199402,27.8,-0.1
199403,27.8,-0.1
199404,28.1,0.2
199405,28.1,0.2
199406,28.6,0.7
199407,29.2,1.3
199408,29.6,1.7
199409,30.0,2.1
199410,30.0,2.1
199411,30.0,2.1
199412,30.1,2.2
199501,29.9,2.0
199502,30.7,2.8
199503,30.6,2.7
199504,30.3,2.4
199505,29.9,2.0
199506,29.3,1.4
199507,29.0,1.1
199508,28.9,1.0
199509,28.8,0.9
199510,28.6,0.7
199511,29.5,1.6
199512,29.7,1.8
199601,29.7,1.8
199602,29.2,1.3
199603,29.1,1.2
199604,29.1,1.2
199605,29.4,1.5
199606,29.8,1.9
199607,30.1,2.2
199608,30.0,2.1
199609,29.8,1.9
199610,29.8,1.9
199611,29.5,1.6
199612,29.3,1.4
199701,29.2,1.3
199702,28.8,0.9
