Wasatch County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.35
199002,-2.82,-3.04
199003,-2.71,-2.98
199004,-2.77,-3.00
199005,-2.61,-2.95
199006,-2.12,-2.33
199007,-2.00,-2.21
199008,-2.21,-2.39
199009,-1.93,-2.13
199010,-1.92,-2.17
199011,-1.94,-2.12
199012,-2.18,-2.22
199101,-2.47,-2.60
199102,-2.78,-3.00
199103,0.56,0.29
199104,0.80,0.57
199105,1.24,0.90
199106,1.16,0.95
199107,0.98,0.77
199108,1.27,1.09
199109,1.67,1.47
199110,1.46,1.21
199111,1.57,1.39
199112,-0.68,-0.72
199201,-1.45,-1.58
199202,-1.36,-1.58
199203,-1.98,-2.25
199204,-2.81,-3.04
199205,-2.73,-3.07
199206,-2.67,-2.88
199207,-2.38,-2.59
199208,-2.36,-2.54
199209,-2.45,-2.65
199210,0.03,-0.22
199211,0.08,-0.10
199212,0.35,0.31
199301,1.44,1.31
199302,2.06,1.84
199303,1.91,1.64
199304,1.61,1.38
199305,1.96,1.62
199306,2.40,2.19
199307,2.94,2.73
199308,3.10,2.92
199309,2.57,2.37
199310,2.78,2.53
199311,-0.18,-0.36
199312,-0.77,-0.81
199401,-1.22,-1.35
199402,-0.48,-0.70
199403,-1.14,-1.41
199404,-1.01,-1.24
199405,-1.19,-1.53
199406,-1.81,-2.02
199407,-2.67,-2.88
199408,-2.43,-2.61
199409,-2.35,-2.55
199410,0.78,0.53
199411,1.28,1.10
199412,1.04,1.00
199501,1.52,1.39
199502,1.06,0.84
199503,1.97,1.70
199504,2.12,1.89
199505,3.92,3.58
199506,4.26,4.05
199507,4.65,4.44
199508,4.20,4.02
199509,3.59,3.39
199510,2.81,2.56
199511,2.00,1.82
199512,1.64,1.60
199601,2.77,2.64
199602,2.89,2.67
199603,2.91,2.64
199604,0.02,-0.21
199605,-0.07,-0.41
199606,-0.32,-0.53
199607,-0.79,-1.00
199608,-1.66,-1.84
199609,0.36,0.16
199610,0.56,0.31
199611,0.99,0.81
199612,2.09,2.05
199701,3.30,3.17
199702,2.71,2.49
199703,1.61,1.34
199704,1.91,1.68
199705,1.72,1.38
199706,1.82,1.61
199707,1.65,1.44
199708,2.06,1.88
199709,2.99,2.79
199710,3.01,2.76
199711,2.74,2.56
199712,2.06,2.02
199801,2.73,2.60
199802,3.17,2.95
199803,3.07,2.80
199804,2.73,2.50
199805,2.72,2.38
199806,3.82,3.61
199807,4.17,3.96
199808,4.06,3.88
199809,3.71,3.51
199810,3.46,3.21
199811,3.06,2.88
199812,2.16,2.12
199901,2.26,2.13
199902,2.19,1.97
199903,1.12,0.85
199904,2.14,1.91
199905,2.73,2.39
199906,2.57,2.36
199907,2.78,2.57
199908,2.97,2.79
199909,-0.17,-0.37
199910,-1.01,-1.26
199911,-2.16,-2.34
199912,-2.70,-2.74
200001,-2.50,-2.63
200002,-1.60,-1.82
200003,-1.59,-1.86
200004,-2.27,-2.50
200005,-2.38,-2.72
200006,-2.56,-2.77
200007,-3.18,-3.39
200008,-2.88,-3.06
200009,-2.50,-2.70
200010,-1.78,-2.03
200011,-1.84,-2.02
200012,-1.94,-1.98
200101,-2.27,-2.40
200102,-2.36,-2.58
200103,-2.72,-2.99
200104,-2.09,-2.32
200105,-2.57,-2.91
200106,-2.99,-3.20
200107,-3.22,-3.43
200108,-3.17,-3.35
200109,-3.57,-3.77
200110,-3.56,-3.81
200111,-2.85,-3.03
200112,-2.72,-2.76
200201,-3.03,-3.16
200202,-3.39,-3.61
200203,-3.11,-3.38
200204,-3.27,-3.50
200205,-3.38,-3.72
200206,-3.73,-3.94
200207,-4.11,-4.32
200208,-4.69,-4.87
200209,-3.18,-3.38
200210,-2.71,-2.96
200211,-2.58,-2.76
200212,-2.76,-2.80
200301,-3.27,-3.40
200302,-3.09,-3.31
200303,-2.84,-3.11
200304,-2.85,-3.08
200305,-2.39,-2.73
200306,-1.87,-2.08
200307,-2.00,-2.21
200308,-1.81,-1.99
200309,-2.00,-2.20
200310,-2.67,-2.92
200311,-2.17,-2.35
200312,-1.55,-1.59
200401,-1.68,-1.81
200402,-1.27,-1.49
200403,-2.36,-2.63
200404,-2.39,-2.62
200405,-2.53,-2.87
200406,-2.24,-2.45
200407,-2.04,-2.25
200408,-1.94,-2.12
200409,-1.89,-2.09
200410,1.97,1.72
200411,2.11,1.93
200412,2.32,2.28
200501,3.16,3.03
200502,2.90,2.68
200503,2.79,2.52
200504,2.50,2.27
200505,2.84,2.50
200506,2.84,2.63
200507,-0.09,-0.30
200508,-0.51,-0.69
200509,-0.60,-0.80
200510,-0.82,-1.07
200511,-0.97,-1.15
200512,0.38,0.34
200601,1.03,0.90
200602,0.60,0.38
200603,1.23,0.96
200604,-0.05,-0.28
200605,-0.65,-0.99
200606,-1.00,-1.21
200607,-1.40,-1.61
200608,-1.57,-1.75
200609,0.49,0.29
200610,0.98,0.73
200611,0.95,0.77
200612,-0.38,-0.42
200701,-0.96,-1.09
200702,-0.77,-0.99
200703,-1.39,-1.66
200704,-1.91,-2.14
200705,-2.14,-2.48
200706,-2.33,-2.54
200707,-2.63,-2.84
200708,-2.79,-2.97
200709,-2.04,-2.24
200710,-1.73,-1.98
200711,-2.52,-2.70
200712,0.11,0.07
200801,0.87,0.74
200802,1.27,1.05
200803,-0.33,-0.60
200804,-0.53,-0.76
200805,-0.24,-0.58
200806,-0.40,-0.61
200807,-0.70,-0.91
200808,-0.97,-1.15
200809,-0.89,-1.09
200810,-1.26,-1.51
200811,-1.62,-1.80
200812,0.07,0.03
200901,0.41,0.28
200902,0.29,0.07
200903,0.20,-0.07
200904,1.03,0.80
200905,0.79,0.45
200906,1.74,1.53
200907,1.75,1.54
200908,-0.26,-0.44
200909,-0.29,-0.49
200910,-0.23,-0.48
200911,-1.09,-1.27
200912,-1.27,-1.31
201001,-1.53,-1.66
201002,-2.00,-2.22
201003,-2.09,-2.36
201004,0.53,0.30
201005,1.12,0.78
201006,1.27,1.06
