Wasatch County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.50
199002,-2.82,-3.18
199003,-2.71,-3.13
199004,-2.77,-3.15
199005,-2.61,-3.04
199006,-2.12,-2.48
199007,-2.00,-2.29
199008,-2.21,-2.54
199009,-1.93,-2.28
199010,-1.92,-2.26
199011,-1.94,-2.16
199012,-2.18,-2.33
199101,-2.47,-2.75
199102,-2.78,-3.14
199103,-1.94,-2.36
199104,-1.44,-1.82
199105,-0.77,-1.20
199106,-0.64,-1.00
199107,-0.64,-0.93
199108,1.27,0.94
199109,1.67,1.32
199110,1.46,1.12
199111,1.57,1.35
199112,0.73,0.58
199201,-1.45,-1.73
199202,-1.36,-1.72
199203,-1.98,-2.40
199204,-2.81,-3.19
199205,-2.73,-3.16
199206,-2.67,-3.03
199207,-2.38,-2.67
199208,-2.36,-2.69
199209,-2.45,-2.80
199210,-2.17,-2.51
199211,-1.90,-2.12
199212,-1.42,-1.57
199301,1.44,1.16
199302,2.06,1.70
199303,1.91,1.49
199304,1.61,1.23
199305,1.96,1.53
199306,2.40,2.04
199307,2.94,2.65
199308,3.10,2.77
199309,2.57,2.22
199310,2.78,2.44
199311,2.31,2.09
199312,1.47,1.32
199401,0.78,0.50
199402,1.32,0.96
199403,-1.14,-1.56
199404,-1.01,-1.39
199405,-1.19,-1.62
199406,-1.81,-2.17
199407,-2.67,-2.96
199408,-2.43,-2.76
199409,-2.35,-2.70
199410,-1.33,-1.67
199411,-0.61,-0.83
199412,-0.66,-0.81
199501,1.52,1.24
199502,1.06,0.70
199503,1.97,1.55
199504,2.12,1.74
199505,3.92,3.49
199506,4.26,3.90
199507,4.65,4.36
199508,4.20,3.87
199509,3.59,3.24
199510,2.81,2.47
199511,2.00,1.78
199512,1.64,1.49
199601,2.77,2.49
199602,2.89,2.53
199603,2.91,2.49
199604,2.63,2.25
199605,2.29,1.86
199606,1.79,1.43
199607,1.11,0.82
199608,-1.66,-1.99
199609,-1.13,-1.48
199610,-0.78,-1.12
199611,0.99,0.77
199612,2.09,1.94
199701,3.30,3.02
199702,2.71,2.35
199703,1.61,1.19
199704,1.91,1.53
199705,1.72,1.29
199706,1.82,1.46
199707,1.65,1.36
199708,2.06,1.73
199709,2.99,2.64
199710,3.01,2.67
199711,2.74,2.52
199712,2.06,1.91
