Wasatch County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.40
199002,-2.68,-2.96
199003,-2.71,-3.04
199004,-2.77,-3.06
199005,-2.61,-2.94
199006,-1.78,-2.02
199007,-1.71,-1.95
199008,-2.21,-2.47
199009,-1.79,-2.10
199010,-1.92,-2.23
199011,-1.94,-2.15
199012,-2.18,-2.25
199101,-2.47,-2.65
199102,-2.78,-3.06
199103,-1.18,-1.51
199104,-0.28,-0.57
199105,0.98,0.65
199106,1.06,0.82
199107,0.89,0.65
199108,1.27,1.01
199109,1.67,1.36
199110,1.34,1.03
199111,1.57,1.36
199112,-0.40,-0.47
199201,-1.45,-1.63
199202,-1.36,-1.64
199203,-1.98,-2.31
199204,-2.81,-3.10
199205,-2.73,-3.06
199206,-2.67,-2.91
199207,-2.29,-2.53
199208,-2.36,-2.62
199209,-2.45,-2.76
199210,-2.07,-2.38
199211,-1.66,-1.87
199212,-0.76,-0.83
199301,1.44,1.26
199302,2.06,1.78
199303,1.91,1.58
199304,1.41,1.12
199305,1.96,1.63
199306,2.40,2.16
199307,2.94,2.70
199308,3.10,2.84
199309,2.26,1.95
199310,2.78,2.47
199311,2.02,1.81
199312,0.37,0.30
199401,-0.95,-1.13
199402,0.35,0.07
199403,-1.14,-1.47
199404,-0.89,-1.18
199405,-1.19,-1.52
199406,-1.81,-2.05
199407,-2.67,-2.91
199408,-2.41,-2.67
199409,-2.35,-2.66
199410,-0.23,-0.54
199411,1.21,1.00
199412,0.92,0.85
199501,1.52,1.34
199502,0.51,0.23
199503,1.97,1.64
199504,2.12,1.83
199505,3.92,3.59
199506,4.26,4.02
199507,4.65,4.41
199508,4.17,3.91
199509,3.30,2.99
199510,2.01,1.70
199511,0.58,0.37
199512,0.07,0.00
199601,2.50,2.32
199602,2.89,2.61
199603,2.91,2.58
199604,2.60,2.31
199605,2.11,1.78
199606,1.22,0.98
199607,-0.11,-0.35
199608,-1.66,-1.92
199609,-0.51,-0.82
199610,0.22,-0.09
199611,0.99,0.78
199612,2.09,2.02
199701,3.30,3.12
199702,2.36,2.08
199703,0.21,-0.12
199704,1.05,0.76
199705,0.85,0.52
199706,1.23,0.99
199707,1.03,0.79
199708,1.97,1.71
199709,2.99,2.68
199710,3.01,2.70
199711,2.72,2.51
199712,1.48,1.41
199801,2.73,2.55
199802,3.17,2.89
199803,3.07,2.74
199804,2.63,2.34
199805,2.72,2.39
199806,3.82,3.58
199807,4.17,3.93
199808,4.06,3.80
199809,3.71,3.40
199810,3.46,3.15
199811,2.94,2.73
199812,1.28,1.21
199901,1.74,1.56
199902,1.79,1.51
199903,-0.26,-0.59
199904,1.95,1.66
199905,2.73,2.40
199906,2.57,2.33
199907,2.78,2.54
199908,2.97,2.71
199909,2.23,1.92
199910,0.01,-0.30
199911,-2.16,-2.37
199912,-2.70,-2.77
200001,-2.50,-2.68
200002,-0.70,-0.98
200003,-0.86,-1.19
200004,-2.27,-2.56
200005,-2.38,-2.71
200006,-2.56,-2.80
200007,-3.18,-3.42
200008,-2.84,-3.10
200009,-2.31,-2.62
200010,-0.96,-1.27
200011,-1.27,-1.48
200012,-1.65,-1.72
200101,-2.27,-2.45
200102,-2.36,-2.64
200103,-2.72,-3.05
200104,-1.58,-1.87
200105,-2.57,-2.90
200106,-2.99,-3.23
200107,-3.22,-3.46
200108,-3.17,-3.43
200109,-3.57,-3.88
200110,-3.56,-3.87
200111,-2.38,-2.59
200112,-2.39,-2.46
200201,-3.03,-3.21
200202,-3.39,-3.67
200203,-3.11,-3.44
200204,-3.27,-3.56
200205,-3.38,-3.71
200206,-3.73,-3.97
200207,-4.11,-4.35
200208,-4.69,-4.95
200209,-1.96,-2.27
200210,-1.32,-1.63
200211,-1.34,-1.55
200212,-1.96,-2.03
200301,-3.22,-3.40
200302,-3.09,-3.37
200303,-2.84,-3.17
200304,-2.85,-3.14
200305,-2.12,-2.45
200306,-1.21,-1.45
200307,-1.67,-1.91
200308,-1.45,-1.71
200309,-2.00,-2.31
200310,-2.67,-2.98
200311,-1.81,-2.02
200312,-0.64,-0.71
200401,-1.10,-1.28
200402,-0.38,-0.66
200403,-2.36,-2.69
200404,-2.39,-2.68
200405,-2.53,-2.86
200406,-2.14,-2.38
200407,-1.90,-2.14
200408,-1.89,-2.15
200409,-1.89,-2.20
200410,1.97,1.66
200411,2.11,1.90
200412,2.32,2.25
200501,3.16,2.98
200502,2.90,2.62
200503,2.79,2.46
200504,2.43,2.14
200505,2.84,2.51
200506,2.84,2.60
200507,2.28,2.04
200508,1.00,0.74
200509,0.48,0.17
200510,-0.29,-0.60
200511,-0.84,-1.05
200512,-0.07,-0.14
200601,1.08,0.90
200602,0.23,-0.05
200603,1.43,1.10
200604,1.08,0.79
200605,-0.48,-0.81
200606,-1.00,-1.24
200607,-1.40,-1.64
200608,-1.57,-1.83
200609,-0.07,-0.38
200610,0.98,0.67
200611,0.95,0.74
200612,0.47,0.40
200701,-0.96,-1.14
200702,-0.77,-1.05
200703,-1.39,-1.72
200704,-1.91,-2.20
200705,-2.14,-2.47
200706,-2.33,-2.57
200707,-2.63,-2.87
200708,-2.79,-3.05
200709,-1.40,-1.71
200710,-0.91,-1.22
200711,-2.52,-2.73
200712,-1.95,-2.02
200801,0.08,-0.10
200802,1.27,0.99
200803,0.13,-0.20
200804,-0.53,-0.82
200805,-0.24,-0.57
200806,-0.40,-0.64
200807,-0.70,-0.94
200808,-0.97,-1.23
200809,-0.89,-1.20
200810,-1.26,-1.57
200811,-1.62,-1.83
200812,-1.20,-1.27
200901,-0.12,-0.30
200902,-0.19,-0.47
200903,-0.20,-0.53
200904,1.03,0.74
200905,0.40,0.07
200906,1.74,1.50
200907,1.75,1.51
200908,0.86,0.60
200909,0.53,0.22
200910,0.45,0.14
200911,-1.09,-1.30
200912,-1.27,-1.34
201001,-1.53,-1.71
201002,-2.00,-2.28
201003,-2.09,-2.42
201004,-0.56,-0.85
201005,1.10,0.77
201006,1.27,1.03
201007,1.28,1.04
201008,1.80,1.54
201009,0.17,-0.14
201010,2.05,1.74
201011,2.54,2.33
201012,4.44,4.37
201101,3.30,3.12
201102,3.47,3.19
201103,3.33,3.00
201104,4.42,4.13
201105,5.34,5.01
201106,4.73,4.49
201107,5.27,5.03
201108,4.83,4.57
201109,3.70,3.39
201110,3.25,2.94
201111,2.49,2.28
201112,0.28,0.21
201201,-0.77,-0.95
201202,-1.22,-1.50
201203,-2.14,-2.47
201204,-2.48,-2.77
201205,-2.68,-3.01
201206,-3.12,-3.36
201207,-2.90,-3.14
201208,-3.06,-3.32
201209,-2.82,-3.13
201210,-3.02,-3.33
201211,-3.20,-3.41
201212,-2.79,-2.86
201301,-3.00,-3.18
201302,-3.48,-3.76
201303,-4.04,-4.37
201304,-3.27,-3.56
201305,-3.44,-3.77
201306,-3.81,-4.05
201307,-3.55,-3.79
201308,-3.34,-3.60
201309,-1.04,-1.35
201310,-0.55,-0.86
201311,-1.74,-1.95
201312,-2.44,-2.51
201401,-2.80,-2.98
201402,-1.31,-1.59
201403,-1.64,-1.97
201404,-1.91,-2.20
201405,-2.27,-2.60
201406,-2.46,-2.70
201407,-2.40,-2.64
201408,0.90,0.64
201409,2.65,2.34
201410,0.76,0.45
201411,0.18,-0.03
201412,0.19,0.12
201501,-0.80,-0.98
201502,-1.70,-1.98
201503,-2.63,-2.96
201504,-2.87,-3.16
201505,-0.08,-0.41
201506,-0.60,-0.84
201507,-0.03,-0.27
201508,0.52,0.26
201509,0.36,0.05
201510,-0.59,-0.90
201511,-1.23,-1.44
201512,-0.95,-1.02
201601,-0.53,-0.71
201602,-1.42,-1.70
201603,-1.76,-2.09
201604,-1.68,-1.97
201605,-0.66,-0.99
201606,-1.55,-1.79
201607,-2.12,-2.36
201608,-2.64,-2.90
201609,-0.36,-0.67
201610,-0.67,-0.98
201611,-1.74,-1.95
201612,-0.55,-0.62
201701,2.60,2.42
201702,3.35,3.07
201703,2.13,1.80
201704,1.84,1.55
201705,0.58,0.25
201706,-0.76,-1.00
201707,-1.54,-1.78
201708,-1.97,-2.23
201709,-0.39,-0.70
201710,-1.80,-2.11
201711,-2.39,-2.60
201712,-3.04,-3.11
201801,-3.68,-3.86
201802,-4.18,-4.46
201803,-3.76,-4.09
201804,-3.63,-3.92
201805,-3.40,-3.73
201806,-3.76,-4.00
201807,-4.18,-4.42
201808,-4.07,-4.33
201809,-4.68,-4.99
201810,-2.38,-2.69
201811,-1.35,-1.56
201812,-1.84,-1.91
201901,0.11,-0.07
201902,1.73,1.45
201903,2.63,2.30
201904,2.45,2.16
201905,3.55,3.22
201906,2.84,2.60
201907,2.04,1.80
201908,0.43,0.17
201909,1.10,0.79
201910,0.49,0.18
201911,-0.22,-0.43
201912,-0.46,-0.53
202001,-0.27,-0.45
202002,-0.89,-1.17
202003,-0.94,-1.27
202004,-1.59,-1.88
202005,-2.24,-2.57
202006,-1.26,-1.50
202007,-2.18,-2.42
202008,-3.10,-3.36
202009,-3.60,-3.91
202010,-4.20,-4.51
202011,-4.35,-4.56
202012,-4.80,-4.87
202101,-5.29,-5.47
202102,-5.07,-5.35
202103,-4.87,-5.20
202104,-4.84,-5.13
202105,-4.94,-5.27
202106,-5.13,-5.37
202107,-4.75,-4.99
202108,-0.72,-0.98
202109,-1.06,-1.37
202110,1.05,0.74
202111,-0.41,-0.62
202112,1.40,1.33
202201,0.52,0.34
202202,-0.88,-1.16
202203,-1.32,-1.65
202204,-1.38,-1.67
202205,-1.25,-1.58
202206,-1.25,-1.49
202207,-1.59,-1.83
202208,-0.65,-0.91
