Wasatch County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.45,-1.74
199002,0.21,0.00
199003,-0.53,-0.74
199004,-1.04,-1.11
199005,-0.38,-0.54
199006,0.66,0.72
199007,-0.28,-0.34
199008,-1.25,-1.38
199009,0.17,-0.04
199010,-0.58,-0.70
199011,-0.66,-0.60
199012,-1.31,-1.18
199101,-1.55,-1.84
199102,-1.70,-1.91
199103,1.67,1.46
199104,0.90,0.83
199105,1.56,1.40
199106,0.15,0.21
199107,-0.20,-0.26
199108,1.18,1.05
199109,1.59,1.38
199110,-0.10,-0.22
199111,0.76,0.82
199112,-2.03,-1.90
199201,-2.52,-2.81
199202,-0.17,-0.38
199203,-2.27,-2.48
199204,-3.13,-3.20
199205,-0.60,-0.76
199206,-0.66,-0.60
199207,0.05,-0.01
199208,-0.69,-0.82
199209,-1.00,-1.21
199210,0.08,-0.04
199211,0.16,0.22
199212,0.85,0.98
199301,3.37,3.08
199302,2.32,2.11
199303,0.16,-0.05
199304,-0.29,-0.36
199305,1.53,1.37
199306,1.93,1.99
199307,2.35,2.29
199308,1.39,1.26
199309,-0.62,-0.83
199310,1.42,1.30
199311,-0.55,-0.49
199312,-1.82,-1.69
199401,-1.60,-1.89
199402,1.85,1.64
199403,-2.12,-2.33
199404,0.03,-0.04
199405,-0.86,-1.02
199406,-2.21,-2.15
199407,-3.15,-3.21
199408,-0.11,-0.24
199409,-0.52,-0.73
199410,2.35,2.23
199411,1.74,1.80
199412,-0.34,-0.21
199501,1.76,1.47
199502,-0.90,-1.11
199503,3.05,2.84
199504,1.07,1.00
199505,6.06,5.90
199506,2.21,2.27
199507,2.51,2.45
199508,0.08,-0.05
199509,-0.54,-0.75
199510,-1.22,-1.34
199511,-1.56,-1.50
199512,-0.46,-0.33
199601,3.89,3.60
199602,1.21,1.00
199603,0.96,0.75
199604,0.06,-0.01
199605,-0.21,-0.37
199606,-0.79,-0.73
199607,-1.50,-1.56
199608,-2.85,-2.98
199609,1.08,0.87
199610,0.70,0.58
199611,1.47,1.53
199612,3.62,3.75
199701,4.28,3.99
199702,-0.74,-0.95
199703,-2.48,-2.69
199704,1.40,1.33
199705,0.02,-0.14
199706,0.84,0.90
199707,0.04,-0.02
199708,1.76,1.63
199709,3.43,3.22
199710,0.99,0.87
199711,0.10,0.16
199712,-1.19,-1.06
199801,2.67,2.38
199802,2.14,1.93
199803,0.70,0.49
199804,-0.08,-0.15
199805,0.82,0.66
199806,4.14,4.20
199807,2.23,2.17
199808,0.97,0.84
199809,0.20,-0.01
199810,0.40,0.28
199811,-0.14,-0.08
199812,-1.76,-1.63
199901,0.99,0.70
199902,0.47,0.26
199903,-2.53,-2.74
199904,3.41,3.34
199905,2.43,2.27
199906,0.38,0.44
199907,1.41,1.35
199908,1.44,1.31
199909,-0.50,-0.71
199910,-2.58,-2.70
199911,-3.77,-3.71
199912,-2.29,-2.16
200001,-0.23,-0.52
200002,1.93,1.72
200003,-0.47,-0.68
200004,-2.54,-2.61
200005,-1.01,-1.17
200006,-1.29,-1.23
200007,-2.66,-2.72
200008,-0.06,-0.19
200009,0.23,0.02
200010,1.40,1.28
200011,-0.73,-0.67
200012,-0.87,-0.74
200101,-1.61,-1.90
200102,-0.94,-1.15
200103,-1.83,-2.04
200104,1.06,0.99
200105,-2.08,-2.24
200106,-2.05,-1.99
200107,-1.63,-1.69
200108,-0.84,-0.97
200109,-2.16,-2.37
200110,-1.09,-1.21
200111,1.04,1.10
200112,-0.50,-0.37
200201,-1.78,-2.07
200202,-2.01,-2.22
200203,-0.20,-0.41
200204,-1.44,-1.51
200205,-1.34,-1.50
200206,-2.08,-2.02
200207,-2.30,-2.36
200208,-3.03,-3.16
200209,3.08,2.87
200210,0.42,0.30
200211,-0.44,-0.38
200212,-1.32,-1.19
200301,-2.38,-2.67
