Wasatch County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,20.71,-4.33
199002,20.82,-4.24
199003,20.32,-4.76
199004,20.87,-4.18
199005,21.27,-3.79
199006,21.99,-3.07
199007,21.83,-3.23
199008,21.09,-3.99
199009,20.87,-4.21
199010,21.05,-4.04
199011,21.35,-3.70
199012,22.80,-2.27
199101,21.91,-3.13
199102,20.19,-4.87
199103,21.30,-3.78
199104,21.85,-3.20
199105,22.99,-2.07
199106,22.46,-2.60
199107,22.30,-2.76
199108,23.73,-1.35
199109,24.25,-0.83
199110,24.54,-0.55
199111,25.34,0.29
199112,24.23,-0.84
199201,23.28,-1.76
199202,24.51,-0.55
199203,22.51,-2.57
199204,20.80,-4.25
199205,20.44,-4.62
199206,20.29,-4.77
199207,20.98,-4.08
199208,19.93,-5.15
199209,18.47,-6.61
199210,18.94,-6.15
199211,18.63,-6.42
199212,21.31,-3.76
199301,25.25,0.21
199302,27.01,1.95
199303,28.23,3.15
199304,29.29,4.24
199305,30.14,5.08
199306,31.29,6.23
199307,31.50,6.44
199308,31.83,6.75
199309,31.58,6.50
199310,31.92,6.83
199311,30.70,5.65
199312,28.16,3.09
199401,24.79,-0.25
199402,24.44,-0.62
199403,23.21,-1.87
199404,23.84,-1.21
199405,22.34,-2.72
199406,20.27,-4.79
199407,18.92,-6.14
199408,19.52,-5.56
199409,20.32,-4.76
199410,21.27,-3.82
199411,23.23,-1.82
199412,24.10,-0.97
199501,26.27,1.23
199502,24.33,-0.73
199503,27.23,2.15
199504,27.53,2.48
199505,31.38,6.32
199506,33.62,8.56
199507,35.07,10.01
199508,33.86,8.78
199509,33.38,8.30
199510,30.66,5.57
199511,29.09,4.04
199512,30.06,4.99
199601,32.16,7.12
199602,33.62,8.56
199603,32.27,7.19
199604,31.71,6.66
199605,28.01,2.95
199606,26.50,1.44
199607,25.43,0.37
199608,24.71,-0.37
199609,25.85,0.77
199610,27.40,2.31
199611,29.12,4.07
199612,31.80,6.73
199701,31.58,6.54
199702,30.13,5.07
199703,28.15,3.07
199704,28.76,3.71
199705,29.10,4.04
199706,30.04,4.98
199707,30.27,5.21
199708,32.55,7.47
199709,33.90,8.82
199710,33.70,8.61
199711,32.08,7.03
199712,27.94,2.87
199801,26.74,1.70
199802,28.88,3.82
199803,30.69,5.61
199804,29.86,4.81
199805,30.10,5.04
199806,31.88,6.82
199807,32.54,7.48
199808,31.53,6.45
199809,29.48,4.40
199810,29.22,4.13
199811,29.33,4.28
199812,29.09,4.02
199901,28.24,3.20
199902,27.00,1.94
199903,25.23,0.15
199904,27.43,2.38
199905,28.30,3.24
199906,26.06,1.00
199907,26.11,1.05
199908,26.73,1.65
199909,26.17,1.09
199910,24.37,-0.72
199911,22.80,-2.25
199912,23.47,-1.60
200001,23.85,-1.19
200002,24.99,-0.07
200003,26.01,0.93
200004,22.78,-2.27
200005,21.27,-3.79
200006,20.67,-4.39
200007,19.36,-5.70
200008,19.36,-5.72
200009,20.27,-4.81
200010,23.12,-1.97
200011,24.38,-0.67
200012,24.69,-0.38
200101,22.26,-2.78
200102,20.07,-4.99
200103,19.50,-5.58
200104,21.63,-3.42
200105,20.76,-4.30
200106,20.43,-4.63
200107,21.23,-3.83
200108,20.69,-4.39
200109,19.43,-5.65
200110,17.84,-7.25
200111,19.93,-5.12
200112,20.24,-4.83
200201,19.97,-5.07
200202,19.18,-5.88
200203,19.92,-5.16
200204,18.29,-6.76
200205,18.46,-6.60
200206,18.26,-6.80
200207,18.00,-7.06
200208,16.64,-8.44
200209,19.63,-5.45
200210,20.02,-5.07
200211,18.19,-6.86
200212,17.46,-7.61
200301,17.28,-7.76
200302,18.46,-6.60
200303,18.52,-6.56
200304,18.63,-6.42
200305,19.96,-5.10
200306,21.42,-3.64
200307,20.90,-4.16
200308,22.53,-2.55
200309,19.85,-5.23
200310,18.60,-6.49
200311,20.02,-5.03
200312,22.23,-2.84
200401,22.94,-2.10
200402,23.77,-1.29
200403,22.28,-2.80
200404,22.65,-2.40
200405,21.48,-3.58
200406,21.28,-3.78
200407,22.21,-2.85
200408,21.60,-3.48
200409,21.87,-3.21
200410,27.48,2.39
200411,25.92,0.87
200412,25.11,0.04
200501,28.16,3.12
200502,27.80,2.74
200503,29.73,4.65
200504,30.04,4.99
200505,31.98,6.92
200506,32.05,6.99
200507,31.21,6.15
200508,30.75,5.67
200509,30.84,5.76
200510,26.16,1.07
200511,26.62,1.57
200512,27.65,2.58
200601,26.78,1.74
200602,25.90,0.84
200603,26.88,1.80
200604,27.04,1.99
200605,24.88,-0.18
200606,24.25,-0.81
200607,24.87,-0.19
200608,25.35,0.27
200609,26.45,1.37
200610,27.95,2.86
200611,27.97,2.92
200612,25.42,0.35
200701,22.61,-2.43
200702,23.54,-1.52
200703,21.43,-3.65
200704,20.13,-4.92
200705,20.44,-4.62
200706,20.32,-4.74
200707,20.25,-4.81
200708,20.22,-4.86
200709,20.36,-4.72
200710,19.62,-5.47
200711,17.99,-7.06
200712,20.22,-4.85
200801,23.72,-1.32
200802,24.62,-0.44
200803,24.74,-0.34
200804,24.77,-0.28
200805,25.61,0.55
200806,25.54,0.48
200807,25.03,-0.03
200808,24.93,-0.15
200809,23.97,-1.11
200810,22.81,-2.28
200811,24.20,-0.85
200812,23.95,-1.12
200901,22.89,-2.15
200902,21.61,-3.45
200903,22.14,-2.94
200904,24.96,-0.09
200905,24.65,-0.41
200906,27.03,1.97
200907,27.23,2.17
200908,26.93,1.85
200909,26.90,1.82
200910,27.36,2.27
200911,25.88,0.83
200912,24.97,-0.10
201001,23.73,-1.31
201002,22.50,-2.56
201003,22.04,-3.04
201004,21.25,-3.80
201005,22.10,-2.96
201006,20.64,-4.42
201007,20.92,-4.14
201008,22.60,-2.48
201009,21.53,-3.55
201010,24.44,-0.65
201011,27.09,2.04
201012,31.95,6.88
201101,31.37,6.33
201102,33.41,8.35
201103,34.24,9.16
201104,35.88,10.83
201105,37.42,12.36
201106,36.79,11.73
201107,38.38,13.32
201108,37.17,12.09
201109,37.67,12.59
201110,35.14,10.05
201111,33.89,8.84
201112,26.99,1.92
201201,27.62,2.58
201202,26.49,1.43
201203,25.42,0.34
201204,22.04,-3.01
201205,19.00,-6.06
201206,18.18,-6.88
201207,17.49,-7.57
201208,17.32,-7.76
201209,18.03,-7.05
201210,17.14,-7.95
201211,17.34,-7.71
201212,20.17,-4.90
201301,19.73,-5.31
201302,18.46,-6.60
201303,17.66,-7.42
201304,18.48,-6.57
201305,18.69,-6.37
201306,18.56,-6.50
201307,18.59,-6.47
201308,19.02,-6.06
201309,20.57,-4.51
201310,21.39,-3.70
201311,20.16,-4.89
201312,18.68,-6.39
201401,18.70,-6.34
201402,21.62,-3.44
201403,22.95,-2.13
201404,22.43,-2.62
201405,22.34,-2.72
201406,22.83,-2.23
201407,22.39,-2.67
201408,24.67,-0.41
201409,25.73,0.65
201410,24.18,-0.91
201411,25.24,0.19
201412,26.35,1.28
201501,25.86,0.82
201502,22.98,-2.08
201503,22.00,-3.08
201504,21.58,-3.47
201505,24.29,-0.77
201506,24.53,-0.53
201507,24.69,-0.37
201508,22.71,-2.37
201509,19.96,-5.12
201510,20.90,-4.19
201511,20.48,-4.57
201512,20.79,-4.28
201601,22.35,-2.69
201602,22.83,-2.23
201603,23.95,-1.13
201604,25.00,-0.05
201605,23.46,-1.60
201606,23.12,-1.94
201607,21.80,-3.26
201608,20.55,-4.53
201609,22.32,-2.76
201610,22.78,-2.31
201611,22.96,-2.09
201612,24.01,-1.06
201701,28.35,3.31
201702,31.87,6.81
201703,32.20,7.12
201704,31.99,6.94
201705,30.59,5.53
201706,30.64,5.58
201707,31.59,6.53
201708,31.90,6.82
201709,31.22,6.14
201710,29.81,4.72
201711,29.71,4.66
201712,26.63,1.56
201801,21.23,-3.81
201802,17.80,-7.26
201803,17.75,-7.33
201804,17.55,-7.50
201805,18.36,-6.70
201806,17.90,-7.16
201807,17.41,-7.65
201808,17.99,-7.09
201809,15.49,-9.59
201810,18.95,-6.14
201811,20.04,-5.01
201812,20.09,-4.98
201901,22.33,-2.71
201902,25.19,0.13
201903,26.77,1.69
201904,27.46,2.41
201905,29.79,4.73
201906,30.54,5.48
201907,30.44,5.38
201908,29.60,4.52
201909,31.89,6.81
201910,29.00,3.91
201911,28.28,3.23
201912,29.76,4.69
202001,28.51,3.47
202002,25.97,0.91
202003,24.25,-0.83
202004,22.35,-2.70
202005,18.82,-6.24
202006,20.29,-4.77
202007,19.91,-5.15
202008,19.36,-5.72
202009,17.36,-7.72
202010,16.76,-8.33
202011,16.51,-8.54
202012,14.90,-10.17
202101,13.82,-11.22
202102,14.72,-10.34
202103,14.10,-10.98
202104,14.66,-10.39
202105,14.85,-10.21
202106,13.13,-11.93
202107,14.99,-10.07
202108,19.58,-5.50
202109,20.08,-5.00
202110,23.68,-1.41
202111,22.63,-2.42
202112,26.52,1.45
202201,26.05,1.01
202202,24.16,-0.90
202203,24.18,-0.90
202204,24.56,-0.49
202205,25.29,0.23
202206,25.76,0.70
202207,24.47,-0.59
202208,22.23,-2.85
202209,23.54,-1.54
202210,20.89,-4.20
202211,22.59,-2.46
202212,22.13,-2.94
202301,26.43,1.39
202302,28.09,3.03
202303,32.27,7.19
202304,32.02,6.97
202305,32.09,7.03
202306,32.42,7.36
202307,32.19,7.13
202308,32.46,7.38
202309,32.26,7.18
202310,32.64,7.55
202311,31.76,6.71
202312,29.00,3.93
202401,27.42,2.38
202402,29.47,4.41
202403,26.88,1.80
