Washington County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,56.7,1.8
199002,56.7,1.8
199003,56.6,1.7
199004,56.3,1.4
199005,56.1,1.2
199006,56.2,1.3
199007,56.1,1.2
199008,56.2,1.3
199009,56.3,1.4
199010,56.4,1.5
199011,56.3,1.4
199012,55.6,0.7
199101,55.4,0.5
199102,56.1,1.2
199103,55.4,0.5
199104,54.9,0.0
199105,54.7,-0.2
199106,54.2,-0.7
199107,54.2,-0.7
199108,54.3,-0.6
199109,54.2,-0.7
199110,54.4,-0.5
199111,54.3,-0.6
199112,54.9,0.0
199201,55.0,0.1
199202,54.8,-0.1
199203,55.2,0.3
199204,55.9,1.0
199205,56.5,1.6
199206,56.7,1.8
199207,56.4,1.5
199208,56.5,1.6
199209,56.5,1.6
199210,56.6,1.7
199211,56.3,1.4
199212,56.0,1.1
199301,56.0,1.1
199302,55.5,0.6
199303,55.7,0.8
199304,55.3,0.4
199305,55.2,0.3
199306,55.1,0.2
199307,55.1,0.2
199308,54.9,0.0
199309,54.8,-0.1
199310,54.5,-0.4
199311,54.5,-0.4
199312,54.9,0.0
199401,55.1,0.2
199402,55.1,0.2
199403,55.2,0.3
199404,55.2,0.3
199405,55.1,0.2
199406,55.8,0.9
199407,56.1,1.2
199408,56.5,1.6
199409,56.6,1.7
199410,56.5,1.6
199411,56.2,1.3
199412,56.3,1.4
199501,56.2,1.3
199502,57.1,2.2
199503,56.7,1.8
199504,56.4,1.5
199505,55.9,1.0
199506,55.1,0.2
199507,54.9,0.0
199508,54.8,-0.1
199509,54.8,-0.1
199510,55.1,0.2
199511,56.2,1.3
199512,56.4,1.5
199601,56.5,1.6
199602,56.2,1.3
199603,56.4,1.5
199604,56.8,1.9
199605,57.4,2.5
199606,58.2,3.3
199607,58.5,3.6
199608,58.6,3.7
199609,58.3,3.4
199610,58.0,3.1
199611,57.6,2.7
199612,57.4,2.5
199701,57.2,2.3
199702,56.8,1.9
199703,57.1,2.2
199704,56.7,1.8
199705,56.9,2.0
199706,56.6,1.7
199707,56.2,1.3
199708,56.0,1.1
199709,56.1,1.2
199710,56.2,1.3
199711,56.3,1.4
199712,56.0,1.1
199801,56.3,1.4
199802,56.1,1.2
199803,55.6,0.7
199804,55.4,0.5
199805,54.7,-0.2
199806,54.3,-0.6
199807,54.5,-0.4
199808,54.6,-0.3
199809,54.5,-0.4
199810,54.3,-0.6
199811,54.2,-0.7
199812,54.3,-0.6
199901,54.4,-0.5
199902,54.8,-0.1
199903,55.1,0.2
199904,55.0,0.1
199905,55.2,0.3
199906,55.5,0.6
199907,55.3,0.4
199908,55.1,0.2
199909,55.2,0.3
199910,55.7,0.8
199911,56.2,1.3
199912,56.3,1.4
200001,56.3,1.4
200002,56.4,1.5
200003,56.2,1.3
200004,57.1,2.2
200005,57.6,2.7
200006,58.0,3.1
200007,58.2,3.3
200008,58.3,3.4
200009,58.4,3.5
200010,58.0,3.1
200011,57.0,2.1
200012,57.2,2.3
200101,56.9,2.0
200102,56.6,1.7
200103,56.8,1.9
200104,56.3,1.4
200105,56.4,1.5
200106,56.3,1.4
200107,56.2,1.3
200108,56.3,1.4
200109,56.5,1.6
200110,57.0,2.1
200111,57.7,2.8
200112,57.2,2.3
200201,57.2,2.3
200202,57.3,2.4
200203,57.0,2.1
200204,57.4,2.5
200205,57.1,2.2
200206,57.2,2.3
200207,57.6,2.7
200208,57.5,2.6
200209,57.3,2.4
200210,56.8,1.9
200211,56.6,1.7
200212,56.8,1.9
200301,57.6,2.7
200302,57.4,2.5
200303,57.6,2.7
200304,57.0,2.1
200305,57.1,2.2
200306,56.9,2.0
200307,57.0,2.1
200308,57.0,2.1
200309,57.2,2.3
200310,57.9,3.0
200311,57.7,2.8
200312,57.8,2.9
200401,57.0,2.1
200402,56.8,1.9
200403,57.4,2.5
200404,57.7,2.8
200405,57.7,2.8
200406,57.7,2.8
200407,57.3,2.4
200408,57.1,2.2
200409,56.8,1.9
200410,56.0,1.1
200411,56.0,1.1
200412,56.1,1.2
200501,56.5,1.6
200502,56.9,2.0
200503,56.2,1.3
200504,56.0,1.1
200505,55.9,1.0
200506,55.5,0.6
200507,55.7,0.8
200508,55.7,0.8
200509,55.7,0.8
200510,55.9,1.0
200511,56.4,1.5
200512,56.4,1.5
200601,56.2,1.3
200602,56.2,1.3
200603,55.9,1.0
200604,56.1,1.2
200605,56.4,1.5
200606,57.0,2.1
200607,56.9,2.0
200608,57.1,2.2
200609,57.0,2.1
200610,56.7,1.8
200611,56.7,1.8
200612,56.5,1.6
200701,56.1,1.2
200702,56.1,1.2
200703,56.9,2.0
200704,57.1,2.2
200705,57.0,2.1
200706,56.9,2.0
200707,57.0,2.1
200708,57.1,2.2
200709,57.4,2.5
200710,57.5,2.6
200711,57.8,2.9
200712,57.5,2.6
200801,57.6,2.7
200802,57.4,2.5
200803,57.0,2.1
200804,56.7,1.8
200805,56.2,1.3
200806,56.0,1.1
200807,55.9,1.0
200808,55.9,1.0
200809,56.0,1.1
200810,56.1,1.2
200811,56.0,1.1
200812,56.1,1.2
200901,56.5,1.6
200902,56.6,1.7
200903,56.6,1.7
200904,56.6,1.7
200905,57.3,2.4
200906,57.0,2.1
200907,57.0,2.1
200908,56.9,2.0
200909,57.0,2.1
200910,56.6,1.7
200911,56.5,1.6
200912,56.4,1.5
201001,56.2,1.3
201002,56.1,1.2
201003,56.0,1.1
201004,55.9,1.0
201005,55.0,0.1
201006,55.3,0.4
201007,55.4,0.5
201008,55.3,0.4
201009,55.3,0.4
201010,55.7,0.8
201011,55.2,0.3
201012,55.9,1.0
201101,55.8,0.9
201102,55.6,0.7
201103,55.8,0.9
201104,55.8,0.9
201105,55.8,0.9
201106,55.6,0.7
201107,55.3,0.4
201108,55.6,0.7
201109,55.5,0.6
201110,55.4,0.5
201111,55.5,0.6
201112,55.1,0.2
201201,55.3,0.4
201202,55.5,0.6
201203,55.6,0.7
201204,55.9,1.0
201205,56.6,1.7
201206,57.0,2.1
201207,57.0,2.1
201208,57.0,2.1
201209,57.0,2.1
201210,57.1,2.2
201211,57.5,2.6
201212,57.5,2.6
201301,56.9,2.0
201302,56.7,1.8
201303,57.0,2.1
201304,56.9,2.0
201305,56.7,1.8
201306,56.8,1.9
201307,57.0,2.1
201308,56.8,1.9
201309,56.4,1.5
201310,56.0,1.1
201311,55.7,0.8
201312,55.5,0.6
201401,56.3,1.4
201402,56.9,2.0
201403,56.7,1.8
201404,56.7,1.8
201405,56.8,1.9
201406,56.6,1.7
201407,56.5,1.6
201408,56.3,1.4
201409,56.7,1.8
201410,57.3,2.4
201411,57.4,2.5
201412,57.8,2.9
201501,57.7,2.8
201502,57.9,3.0
201503,58.2,3.3
201504,58.2,3.3
201505,57.8,2.9
201506,58.0,3.1
201507,57.7,2.8
201508,58.1,3.2
201509,58.2,3.3
201510,58.2,3.3
201511,57.8,2.9
201512,57.5,2.6
201601,57.1,2.2
201602,56.9,2.0
201603,56.7,1.8
201604,56.7,1.8
201605,56.8,1.9
201606,56.9,2.0
201607,57.2,2.3
201608,57.1,2.2
201609,56.7,1.8
201610,56.7,1.8
201611,57.2,2.3
201612,57.3,2.4
201701,57.2,2.3
201702,57.1,2.2
201703,57.2,2.3
201704,57.2,2.3
201705,57.4,2.5
201706,57.3,2.4
201707,57.3,2.4
201708,57.4,2.5
201709,57.4,2.5
201710,57.2,2.3
201711,57.4,2.5
201712,57.7,2.8
201801,58.2,3.3
201802,58.0,3.1
201803,57.5,2.6
201804,57.8,2.9
201805,57.9,3.0
201806,57.8,2.9
201807,57.9,3.0
201808,58.0,3.1
201809,58.4,3.5
201810,58.2,3.3
201811,57.5,2.6
201812,57.3,2.4
201901,56.8,1.9
201902,56.3,1.4
201903,56.3,1.4
201904,56.1,1.2
201905,55.4,0.5
201906,55.0,0.1
201907,54.8,-0.1
201908,54.8,-0.1
201909,54.6,-0.3
201910,54.4,-0.5
201911,54.6,-0.3
201912,54.6,-0.3
202001,54.8,-0.1
202002,55.4,0.5
202003,55.4,0.5
202004,55.4,0.5
202005,56.3,1.4
202006,56.4,1.5
202007,56.6,1.7
202008,56.8,1.9
202009,57.0,2.1
202010,57.8,2.9
202011,57.9,3.0
202012,57.9,3.0
202101,57.8,2.9
202102,57.9,3.0
202103,57.8,2.9
202104,58.0,3.1
202105,57.9,3.0
202106,58.3,3.4
202107,58.4,3.5
202108,58.2,3.3
202109,58.1,3.2
202110,57.5,2.6
202111,57.9,3.0
202112,58.0,3.1
202201,58.1,3.2
202202,57.9,3.0
202203,58.2,3.3
202204,58.0,3.1
202205,57.9,3.0
202206,57.6,2.7
202207,57.6,2.7
202208,57.5,2.6
202209,57.6,2.7
202210,58.0,3.1
202211,57.1,2.2
202212,57.0,2.1
202301,56.7,1.8
202302,56.5,1.6
202303,55.9,1.0
202304,55.7,0.8
202305,55.8,0.9
202306,55.3,0.4
202307,55.5,0.6
202308,55.4,0.5
202309,54.9,0.0
202310,54.9,0.0
202311,55.4,0.5
202312,55.8,0.9
202401,56.0,1.1
202402,56.5,1.6
202403,57.1,2.2
