Washington County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,1175,130
199002,1175,130
199003,1175,130
199004,1155,110
199005,1134,89
199006,1173,128
199007,1125,79
199008,1151,104
199009,1188,139
199010,1194,145
199011,1194,145
199012,1194,145
199101,1194,149
199102,1194,149
199103,1194,149
199104,1178,133
199105,1158,113
199106,1039,-6
199107,1033,-13
199108,1070,23
199109,1048,-1
199110,1061,12
199111,1061,12
199112,1061,12
199201,1061,16
199202,1061,16
199203,1061,16
199204,1089,44
199205,1149,104
199206,1197,152
199207,1103,57
199208,1120,73
199209,1144,95
199210,1147,98
199211,1147,98
199212,1147,98
199301,1147,102
199302,1147,102
199303,1147,102
199304,1128,83
199305,1120,75
199306,1077,32
199307,1081,35
199308,1027,-20
199309,993,-56
199310,971,-78
199311,971,-78
199312,971,-78
199401,971,-74
199402,971,-74
199403,971,-74
199404,970,-75
199405,955,-90
199406,1151,106
199407,1290,244
199408,1415,368
199409,1452,403
199410,1448,399
199411,1448,399
199412,1448,399
199501,1448,403
199502,1448,403
199503,1448,403
199504,1440,395
199505,1399,354
199506,1168,123
199507,1074,28
199508,1050,3
199509,1062,13
199510,1075,26
199511,1075,26
199512,1075,26
199601,1075,30
199602,1075,30
199603,1075,30
199604,1087,42
199605,1158,113
199606,1355,310
199607,1475,429
199608,1508,461
199609,1429,380
199610,1417,368
199611,1417,368
199612,1417,368
199701,1417,372
199702,1417,372
199703,1417,372
199704,1405,360
199705,1440,395
199706,1330,285
199707,1192,146
199708,1114,67
199709,1151,102
199710,1153,104
199711,1153,104
199712,1153,104
199801,1153,108
199802,1153,108
199803,1153,108
199804,1153,108
199805,1051,6
199806,962,-83
199807,1021,-25
199808,1065,18
199809,1032,-17
199810,1028,-21
199811,1028,-21
199812,1028,-21
199901,1028,-17
199902,1028,-17
199903,1028,-17
199904,1028,-17
199905,1044,-1
199906,1119,74
199907,1043,-3
199908,963,-84
199909,988,-61
199910,1019,-30
199911,1019,-30
199912,1019,-30
200001,1019,-26
200002,1019,-26
200003,1019,-26
200004,1045,0
200005,1131,86
200006,1243,198
200007,1329,283
200008,1386,339
200009,1409,360
200010,1382,333
200011,1382,333
200012,1382,333
200101,1382,337
200102,1382,337
200103,1382,337
200104,1363,318
200105,1377,332
200106,1351,306
200107,1316,270
200108,1342,295
200109,1416,367
200110,1446,397
200111,1446,397
200112,1446,397
200201,1446,401
200202,1446,401
200203,1446,401
200204,1461,416
200205,1392,347
200206,1449,404
200207,1587,541
200208,1570,523
200209,1485,436
200210,1454,405
200211,1454,405
200212,1454,405
200301,1454,409
200302,1454,409
200303,1454,409
200304,1432,387
200305,1445,400
200306,1393,348
200307,1410,364
200308,1427,380
200309,1482,433
200310,1548,499
200311,1548,499
200312,1548,499
200401,1548,503
200402,1548,503
200403,1558,513
200404,1567,522
200405,1565,520
200406,1561,516
200407,1432,386
200408,1342,295
200409,1253,204
200410,1186,137
200411,1186,137
200412,1186,137
200501,1186,141
200502,1186,141
200503,1176,131
200504,1172,127
200505,1154,109
200506,1040,-5
200507,1122,76
200508,1090,43
200509,1100,51
200510,1109,60
200511,1109,60
200512,1109,60
200601,1109,64
200602,1109,64
200603,1109,64
200604,1113,68
200605,1170,125
200606,1345,300
200607,1323,277
200608,1397,350
200609,1366,317
200610,1357,308
200611,1357,308
200612,1357,308
200701,1357,312
200702,1357,312
200703,1362,317
200704,1367,322
200705,1347,302
200706,1311,266
