Washington County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,4162,-550
199002,4161,-551
199003,4220,-493
199004,4306,-404
199005,4344,-366
199006,4338,-372
199007,4338,-372
199008,4338,-372
199009,4326,-383
199010,4283,-426
199011,4348,-364
199012,4609,-102
199101,4666,-46
199102,4436,-276
199103,4674,-39
199104,4850,140
199105,4924,214
199106,4958,248
199107,4958,248
199108,4958,248
199109,4964,255
199110,4912,203
199111,4946,234
199112,4743,32
199201,4707,-5
199202,4772,60
199203,4605,-108
199204,4369,-341
199205,4234,-476
199206,4213,-497
199207,4213,-497
199208,4213,-497
199209,4207,-502
199210,4198,-511
199211,4286,-426
199212,4409,-302
199301,4415,-297
199302,4569,-143
199303,4504,-209
199304,4633,-77
199305,4642,-68
199306,4660,-50
199307,4660,-50
199308,4660,-50
199309,4670,-39
199310,4772,63
199311,4759,47
199312,4629,-82
199401,4532,-180
199402,4545,-167
199403,4494,-219
199404,4499,-211
199405,4519,-191
199406,4478,-232
199407,4478,-232
199408,4478,-232
199409,4467,-242
199410,4511,-198
199411,4610,-102
199412,4570,-141
199501,4629,-83
199502,4329,-383
199503,4471,-242
199504,4568,-142
199505,4698,-12
199506,4765,55
199507,4765,55
199508,4765,55
199509,4763,54
199510,4662,-47
199511,4283,-429
199512,4215,-496
199601,4172,-540
199602,4267,-445
199603,4202,-511
199604,4060,-650
199605,3894,-816
199606,3833,-877
199607,3833,-877
199608,3833,-877
199609,3861,-848
199610,3952,-757
199611,4105,-607
199612,4163,-548
199701,4236,-476
199702,4373,-339
199703,4278,-435
199704,4397,-313
199705,4362,-348
199706,4377,-333
199707,4377,-333
199708,4377,-333
199709,4359,-350
199710,4341,-368
199711,4315,-397
199712,4408,-303
199801,4306,-406
199802,4366,-346
199803,4545,-168
199804,4597,-113
199805,4773,63
199806,4821,111
199807,4821,111
199808,4821,111
199809,4837,128
199810,4881,172
199811,4933,221
199812,4878,167
199901,4858,146
199902,4735,23
199903,4618,-95
199904,4662,-48
199905,4598,-112
199906,4554,-156
199907,4554,-156
199908,4554,-156
199909,4541,-168
199910,4369,-340
199911,4187,-525
199912,4161,-550
200001,4154,-558
200002,4133,-579
200003,4213,-500
200004,3917,-793
200005,3806,-904
200006,3788,-922
200007,3788,-922
