Washington County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,69.7,2.4
199002,69.6,2.3
199003,69.3,2.0
199004,68.9,1.6
199005,68.7,1.4
199006,68.8,1.5
199007,68.6,1.3
199008,68.7,1.4
199009,68.7,1.4
199010,68.9,1.6
199011,68.6,1.3
199012,67.8,0.5
199101,67.6,0.3
199102,68.5,1.2
199103,67.7,0.4
199104,67.2,-0.1
199105,67.0,-0.3
199106,66.5,-0.8
199107,66.5,-0.8
199108,66.7,-0.6
199109,66.6,-0.7
199110,66.7,-0.6
199111,66.6,-0.7
199112,67.0,-0.3
199201,67.1,-0.2
199202,66.6,-0.7
199203,67.0,-0.3
199204,67.7,0.4
199205,68.2,0.9
199206,68.4,1.1
199207,68.1,0.8
199208,68.1,0.8
199209,68.2,0.9
199210,68.2,0.9
199211,68.0,0.7
199212,67.6,0.3
199301,67.3,0.0
199302,66.7,-0.6
199303,67.1,-0.2
199304,66.7,-0.6
199305,66.7,-0.6
199306,66.5,-0.8
199307,66.6,-0.7
199308,66.4,-0.9
199309,66.4,-0.9
199310,66.1,-1.2
199311,66.1,-1.2
199312,66.6,-0.7
199401,67.2,-0.1
199402,67.3,0.0
199403,67.5,0.2
199404,67.4,0.1
199405,67.3,0.0
199406,68.0,0.7
199407,68.4,1.1
199408,68.7,1.4
199409,68.8,1.5
199410,68.6,1.3
199411,68.3,1.0
199412,68.3,1.0
199501,67.7,0.4
199502,68.9,1.6
199503,68.3,1.0
199504,68.0,0.7
199505,67.5,0.2
199506,66.6,-0.7
199507,66.4,-0.9
199508,66.3,-1.0
199509,66.4,-0.9
199510,66.9,-0.4
199511,68.1,0.8
199512,68.5,1.2
199601,68.9,1.6
199602,68.4,1.1
199603,68.8,1.5
199604,69.4,2.1
199605,70.2,2.9
199606,71.1,3.8
199607,71.3,4.0
199608,71.5,4.2
199609,71.2,3.9
199610,70.7,3.4
199611,70.1,2.8
199612,69.8,2.5
199701,69.4,2.1
199702,69.0,1.7
199703,69.4,2.1
199704,68.9,1.6
199705,69.1,1.8
199706,68.7,1.4
199707,68.4,1.1
199708,68.0,0.7
199709,68.0,0.7
199710,68.1,0.8
199711,68.2,0.9
199712,68.0,0.7
199801,68.4,1.1
199802,68.0,0.7
199803,67.3,0.0
199804,67.1,-0.2
199805,66.2,-1.1
199806,65.8,-1.5
199807,65.9,-1.4
199808,66.1,-1.2
199809,66.0,-1.3
199810,65.8,-1.5
199811,65.6,-1.7
199812,65.9,-1.4
199901,66.1,-1.2
199902,66.7,-0.6
199903,67.2,-0.1
199904,67.0,-0.3
199905,67.3,0.0
199906,67.7,0.4
199907,67.3,0.0
199908,67.1,-0.2
199909,67.3,0.0
199910,68.2,0.9
199911,68.9,1.6
199912,69.0,1.7
200001,68.9,1.6
200002,68.8,1.5
200003,68.5,1.2
200004,69.6,2.3
