Washington County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,43.7,1.2
199002,43.8,1.3
199003,43.8,1.3
199004,43.6,1.1
199005,43.4,0.9
199006,43.6,1.1
199007,43.5,1.0
199008,43.6,1.1
199009,43.9,1.4
199010,44.0,1.5
199011,43.9,1.4
199012,43.3,0.8
199101,43.2,0.7
199102,43.6,1.1
199103,43.2,0.7
199104,42.6,0.1
199105,42.3,-0.2
199106,42.0,-0.5
199107,41.9,-0.6
199108,41.9,-0.6
199109,41.8,-0.7
199110,42.1,-0.4
199111,42.1,-0.4
199112,42.7,0.2
199201,42.8,0.3
199202,42.9,0.4
199203,43.4,0.9
199204,44.1,1.6
199205,44.8,2.3
199206,44.9,2.4
199207,44.8,2.3
199208,44.8,2.3
199209,44.9,2.4
199210,44.9,2.4
199211,44.6,2.1
199212,44.4,1.9
199301,44.7,2.2
199302,44.3,1.8
199303,44.3,1.8
199304,43.9,1.4
199305,43.8,1.3
199306,43.6,1.1
199307,43.6,1.1
199308,43.5,1.0
199309,43.3,0.8
199310,42.9,0.4
199311,43.0,0.5
199312,43.2,0.7
199401,43.1,0.6
199402,42.9,0.4
199403,42.9,0.4
199404,43.0,0.5
199405,42.9,0.4
199406,43.6,1.1
199407,43.9,1.4
199408,44.2,1.7
199409,44.4,1.9
199410,44.3,1.8
199411,44.1,1.6
199412,44.3,1.8
199501,44.6,2.1
199502,45.3,2.8
199503,45.1,2.6
199504,44.8,2.3
199505,44.4,1.9
199506,43.6,1.1
199507,43.3,0.8
199508,43.3,0.8
199509,43.3,0.8
199510,43.4,0.9
199511,44.3,1.8
199512,44.3,1.8
199601,44.1,1.6
199602,44.0,1.5
199603,43.9,1.4
199604,44.2,1.7
199605,44.6,2.1
199606,45.2,2.7
199607,45.6,3.1
199608,45.6,3.1
199609,45.4,2.9
199610,45.3,2.8
199611,45.0,2.5
199612,45.0,2.5
199701,45.0,2.5
