Washington County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.69,-3.89
199002,-3.37,-3.65
199003,-3.59,-3.91
199004,-3.28,-3.61
199005,-3.25,-3.67
199006,-3.32,-3.77
199007,-3.20,-3.61
199008,-3.03,-3.49
199009,-2.32,-2.83
199010,-2.46,-2.91
199011,-2.22,-2.45
199012,-2.21,-2.33
199101,-2.41,-2.61
199102,-2.79,-3.07
199103,0.83,0.51
199104,-0.32,-0.65
199105,-0.20,-0.62
199106,-0.03,-0.48
199107,-0.32,-0.73
199108,-0.72,-1.18
199109,0.48,-0.03
199110,0.66,0.21
199111,-0.03,-0.26
199112,-0.26,-0.38
199201,-0.52,-0.72
199202,0.57,0.29
199203,1.98,1.66
199204,1.22,0.89
199205,1.61,1.19
199206,1.52,1.07
199207,1.26,0.85
199208,1.46,1.00
199209,0.78,0.27
199210,1.33,0.88
199211,0.68,0.45
199212,1.02,0.90
199301,3.45,3.25
199302,5.09,4.81
199303,-0.09,-0.41
199304,-0.34,-0.67
199305,0.11,-0.31
199306,0.38,-0.07
199307,-0.53,-0.94
199308,-0.30,-0.76
199309,-0.93,-1.44
199310,-0.74,-1.19
199311,-0.57,-0.80
199312,-0.90,-1.02
199401,-1.59,-1.79
199402,0.60,0.32
199403,0.06,-0.26
199404,0.55,0.22
199405,0.53,0.11
199406,-0.20,-0.65
199407,-0.88,-1.29
199408,-1.10,-1.56
199409,-1.19,-1.70
199410,0.36,-0.09
199411,1.11,0.88
199412,1.12,1.00
199501,2.49,2.29
199502,2.21,1.93
199503,3.72,3.40
199504,3.84,3.51
199505,4.56,4.14
199506,5.84,5.39
199507,6.09,5.68
199508,-0.31,-0.77
199509,-0.53,-1.04
199510,-1.16,-1.61
199511,-1.56,-1.79
199512,-1.99,-2.11
199601,-2.45,-2.65
199602,-2.20,-2.48
199603,-2.54,-2.86
199604,-2.99,-3.32
199605,-3.39,-3.81
199606,-4.12,-4.57
199607,-4.27,-4.68
199608,-4.83,-5.29
199609,-0.01,-0.52
199610,0.19,-0.26
199611,0.81,0.58
199612,0.96,0.84
199701,1.97,1.77
199702,-0.16,-0.44
199703,-0.97,-1.29
199704,-0.93,-1.26
199705,-0.88,-1.30
199706,-0.95,-1.40
199707,-1.36,-1.77
199708,0.59,0.13
199709,2.77,2.26
199710,2.30,1.85
199711,2.02,1.79
199712,1.49,1.37
199801,1.05,0.85
199802,2.39,2.11
199803,2.57,2.25
199804,2.97,2.64
199805,3.33,2.91
199806,4.21,3.76
199807,5.56,5.15
199808,5.01,4.55
199809,6.03,5.52
199810,6.29,5.84
199811,5.79,5.56
199812,-0.56,-0.68
199901,-1.17,-1.37
199902,-1.54,-1.82
199903,-2.27,-2.59
199904,-1.68,-2.01
199905,-2.07,-2.49
199906,-1.84,-2.29
199907,-0.99,-1.40
199908,-0.75,-1.21
199909,-1.01,-1.52
199910,-1.63,-2.08
199911,-2.28,-2.51
199912,-2.82,-2.94
200001,-3.08,-3.28
200002,-1.99,-2.27
200003,-1.84,-2.16
200004,-2.18,-2.51
200005,-2.53,-2.95
200006,-2.90,-3.35
200007,-3.68,-4.09
200008,0.84,0.38
200009,0.21,-0.30
200010,1.66,1.21
200011,1.48,1.25
200012,0.72,0.60
200101,0.72,0.52
200102,0.77,0.49
200103,0.64,0.32
200104,0.94,0.61
200105,-0.18,-0.60
200106,-0.40,-0.85
200107,-0.95,-1.36
200108,-0.88,-1.34
200109,-1.52,-2.03
200110,-1.99,-2.44
200111,-2.10,-2.33
200112,-2.04,-2.16
200201,-2.66,-2.86
200202,-3.32,-3.60
200203,-3.69,-4.01
200204,-4.47,-4.80
200205,-5.37,-5.79
200206,-6.23,-6.68
200207,-6.85,-7.26
200208,-7.28,-7.74
200209,-6.12,-6.63
200210,-5.34,-5.79
200211,-4.91,-5.14
200212,-4.77,-4.89
200301,-5.38,-5.58
200302,-4.47,-4.75
200303,-4.14,-4.46
200304,-3.46,-3.79
200305,-3.50,-3.92
200306,-3.77,-4.22
200307,-4.41,-4.82
200308,-4.42,-4.88
200309,-4.37,-4.88
200310,-4.73,-5.18
200311,-4.25,-4.48
200312,-3.52,-3.64
200401,-3.62,-3.82
200402,-2.19,-2.47
200403,-2.88,-3.20
200404,-2.28,-2.61
200405,-2.24,-2.66
200406,-2.29,-2.74
200407,-2.52,-2.93
200408,-2.53,-2.99
200409,-2.36,-2.87
200410,3.10,2.65
200411,3.88,3.65
200412,4.46,4.34
200501,6.62,6.42
200502,7.21,6.93
200503,6.81,6.49
200504,7.10,6.77
200505,6.87,6.45
200506,7.30,6.85
200507,6.94,6.53
200508,7.15,6.69
200509,-0.42,-0.93
200510,0.41,-0.04
200511,-0.58,-0.81
200512,-1.09,-1.21
200601,-1.57,-1.77
200602,-2.28,-2.56
200603,-1.17,-1.49
200604,-1.11,-1.44
200605,-1.63,-2.05
200606,-2.12,-2.57
200607,-2.12,-2.53
200608,-2.83,-3.29
200609,-2.71,-3.22
200610,-1.69,-2.14
200611,-2.20,-2.43
200612,-2.25,-2.37
200701,-2.65,-2.85
200702,-2.96,-3.24
200703,-3.62,-3.94
200704,-3.74,-4.07
200705,-4.65,-5.07
200706,-5.39,-5.84
200707,-5.32,-5.73
200708,-4.83,-5.29
200709,-3.83,-4.34
200710,-4.07,-4.52
200711,-4.31,-4.54
200712,-2.96,-3.08
200801,-1.92,-2.12
200802,-1.28,-1.56
200803,-1.75,-2.07
200804,-2.05,-2.38
200805,-1.69,-2.11
200806,-1.40,-1.85
200807,-1.33,-1.74
200808,-1.71,-2.17
200809,-2.17,-2.68
200810,-2.20,-2.65
200811,-1.98,-2.21
200812,-1.19,-1.31
200901,-1.14,-1.34
200902,-0.70,-0.98
200903,-1.33,-1.65
200904,-1.37,-1.70
200905,-1.53,-1.95
200906,-1.66,-2.11
200907,-2.13,-2.54
200908,-2.84,-3.30
200909,-2.98,-3.49
200910,-3.14,-3.59
200911,-3.35,-3.58
200912,0.40,0.28
201001,1.38,1.18
201002,1.90,1.62
201003,1.76,1.44
201004,1.73,1.40
201005,1.69,1.27
201006,2.02,1.57
201007,-0.35,-0.76
201008,-0.38,-0.84
201009,-1.08,-1.59
201010,1.39,0.94
201011,1.46,1.23
201012,3.91,3.79
201101,3.40,3.20
201102,3.58,3.30
201103,3.15,2.83
201104,3.08,2.75
201105,3.55,3.13
201106,3.95,3.50
201107,3.79,3.38
201108,-0.83,-1.29
201109,-0.78,-1.29
201110,-0.10,-0.55
201111,-0.36,-0.59
201112,-0.80,-0.92
201201,-1.35,-1.55
201202,-1.40,-1.68
201203,-1.80,-2.12
201204,-1.95,-2.28
201205,-2.94,-3.36
201206,-3.80,-4.25
201207,-3.09,-3.50
201208,-1.88,-2.34
201209,-1.47,-1.98
201210,-1.21,-1.66
201211,-1.64,-1.87
201212,-1.41,-1.53
201301,-1.58,-1.78
201302,-1.91,-2.19
201303,-2.33,-2.65
201304,-2.64,-2.97
201305,-3.15,-3.57
201306,-3.86,-4.31
201307,-3.58,-3.99
201308,-2.74,-3.20
201309,-0.94,-1.45
201310,-0.95,-1.40
201311,-0.82,-1.05
201312,-1.01,-1.13
201401,-1.67,-1.87
201402,-2.25,-2.53
201403,-2.69,-3.01
201404,-2.96,-3.29
201405,-3.55,-3.97
201406,-4.44,-4.89
201407,-4.38,-4.79
201408,1.25,0.79
201409,3.19,2.68
201410,-0.76,-1.21
201411,-1.16,-1.39
201412,-1.27,-1.39
201501,-1.66,-1.86
201502,-1.94,-2.22
201503,-2.11,-2.43
201504,-2.19,-2.52
201505,-1.46,-1.88
201506,-1.87,-2.32
201507,-1.80,-2.21
201508,-1.82,-2.28
201509,-1.64,-2.15
201510,-1.17,-1.62
201511,-1.08,-1.31
201512,-1.08,-1.20
201601,-0.64,-0.84
201602,-1.08,-1.36
201603,-1.45,-1.77
201604,0.86,0.53
201605,-0.11,-0.53
201606,-0.13,-0.58
201607,-0.64,-1.05
201608,0.69,0.23
201609,0.87,0.36
201610,0.39,-0.06
201611,0.15,-0.08
201612,1.08,0.96
201701,2.33,2.13
201702,2.20,1.92
201703,1.57,1.25
201704,1.18,0.85
201705,1.22,0.80
