Washington County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.69,-4.17
199002,-3.37,-3.85
199003,-3.59,-4.02
199004,-3.28,-3.71
199005,-3.25,-3.76
199006,-3.32,-3.86
199007,-3.20,-3.83
199008,-3.03,-3.77
199009,-2.32,-3.08
199010,-2.46,-3.23
199011,-2.22,-2.88
199012,-2.21,-2.77
199101,-2.41,-2.89
199102,-2.79,-3.27
199103,-1.67,-2.10
199104,-1.81,-2.24
199105,-1.54,-2.05
199106,-1.24,-1.78
199107,-1.40,-2.03
199108,-1.69,-2.43
199109,-1.04,-1.80
199110,-0.70,-1.47
199111,-0.66,-1.32
199112,-0.82,-1.38
199201,-1.03,-1.51
199202,0.57,0.09
199203,1.98,1.55
199204,1.22,0.79
199205,1.61,1.10
199206,1.52,0.98
199207,1.26,0.63
199208,1.46,0.72
199209,0.78,0.02
199210,1.33,0.56
199211,0.68,0.02
199212,1.02,0.46
199301,3.45,2.97
199302,5.09,4.61
199303,4.47,4.04
199304,3.76,3.33
199305,3.48,2.97
199306,3.40,2.86
199307,2.52,1.89
199308,2.43,1.69
199309,1.52,0.76
199310,1.46,0.69
199311,1.40,0.74
199312,0.87,0.31
199401,-1.59,-2.07
199402,-0.83,-1.31
199403,-1.22,-1.65
199404,-0.59,-1.02
199405,0.53,0.02
199406,-0.20,-0.74
199407,-0.88,-1.51
199408,-1.10,-1.84
199409,-1.19,-1.95
199410,-0.71,-1.48
199411,1.11,0.45
199412,1.12,0.56
199501,2.49,2.01
199502,2.21,1.73
199503,3.72,3.29
199504,3.84,3.41
199505,4.56,4.05
199506,5.84,5.30
199507,6.09,5.46
199508,5.16,4.42
199509,4.37,3.61
199510,3.24,2.47
199511,2.39,1.73
199512,1.54,0.98
199601,0.72,0.24
199602,0.64,0.16
199603,-2.54,-2.97
199604,-2.99,-3.42
199605,-3.39,-3.90
199606,-4.12,-4.66
199607,-4.27,-4.90
199608,-4.83,-5.57
199609,-4.34,-5.10
199610,-3.70,-4.47
199611,-2.69,-3.35
199612,-2.17,-2.73
199701,-0.84,-1.32
199702,-0.92,-1.40
199703,-1.65,-2.08
199704,-1.54,-1.97
199705,-1.43,-1.94
199706,-1.44,-1.98
199707,-1.80,-2.43
199708,-1.03,-1.77
199709,2.77,2.01
199710,2.30,1.53
199711,2.02,1.36
199712,1.49,0.93
199801,1.05,0.57
199802,2.39,1.91
199803,2.57,2.14
199804,2.97,2.54
199805,3.33,2.82
199806,4.21,3.67
199807,5.56,4.93
199808,5.01,4.27
199809,6.03,5.27
199810,6.29,5.52
199811,5.79,5.13
199812,4.63,4.07
199901,3.49,3.01
199902,2.64,2.16
199903,1.48,1.05
199904,1.68,1.25
199905,0.94,0.43
199906,0.87,0.33
199907,1.43,0.80
199908,1.43,0.69
199909,0.94,0.18
199910,-1.63,-2.40
199911,-2.28,-2.94
199912,-2.82,-3.38
200001,-3.08,-3.56
200002,-1.99,-2.47
200003,-1.84,-2.27
200004,-2.18,-2.61
200005,-2.53,-3.04
200006,-2.90,-3.44
200007,-3.68,-4.31
200008,-2.46,-3.20
200009,-2.75,-3.51
200010,-1.00,-1.77
200011,-0.90,-1.56
200012,-1.42,-1.98
