Washington County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.69,-3.92
199002,-3.37,-3.74
199003,-3.59,-3.91
199004,-3.28,-3.63
199005,-3.25,-3.69
199006,-3.32,-3.82
199007,-3.20,-3.79
199008,-3.03,-3.73
199009,-1.78,-2.44
199010,-2.31,-2.92
199011,-2.04,-2.47
199012,-2.21,-2.46
199101,-2.41,-2.64
199102,-2.79,-3.16
199103,-0.56,-0.88
199104,-1.08,-1.43
199105,-0.67,-1.11
199106,-0.19,-0.69
199107,-0.67,-1.26
199108,-1.31,-2.01
199109,-0.08,-0.74
199110,0.51,-0.10
199111,0.46,0.03
199112,0.04,-0.21
199201,-0.40,-0.63
199202,0.57,0.20
199203,1.98,1.66
199204,0.37,0.02
199205,1.42,0.98
199206,1.35,0.85
199207,0.88,0.29
199208,1.46,0.76
199209,-0.16,-0.82
199210,1.32,0.71
199211,-0.28,-0.71
199212,0.70,0.45
199301,3.45,3.22
199302,5.09,4.72
199303,4.31,3.99
199304,3.25,2.90
199305,3.05,2.61
199306,3.21,2.71
199307,1.67,1.08
199308,1.75,1.05
199309,0.10,-0.56
199310,0.16,-0.45
199311,0.23,-0.20
199312,-0.61,-0.86
199401,-1.59,-1.82
199402,0.17,-0.20
199403,-0.90,-1.22
199404,0.49,0.14
199405,0.53,0.09
199406,0.27,-0.23
199407,-0.88,-1.47
199408,-1.10,-1.80
199409,-1.19,-1.85
199410,0.06,-0.55
199411,1.11,0.68
199412,1.12,0.87
199501,2.49,2.26
199502,2.12,1.75
199503,3.72,3.40
199504,3.84,3.49
199505,4.56,4.12
199506,5.84,5.34
199507,6.09,5.50
199508,4.76,4.06
199509,3.65,2.99
199510,1.74,1.13
199511,0.35,-0.08
199512,-1.02,-1.27
199601,-2.30,-2.53
199602,-2.13,-2.50
199603,-2.54,-2.86
199604,-2.99,-3.34
199605,-3.39,-3.83
199606,-4.12,-4.62
199607,-4.27,-4.86
199608,-4.83,-5.53
199609,-4.29,-4.95
199610,-3.38,-3.99
199611,-1.59,-2.02
199612,-0.81,-1.06
199701,1.67,1.44
199702,1.26,0.89
199703,-0.33,-0.65
199704,-0.31,-0.66
199705,-0.28,-0.72
199706,-0.44,-0.94
199707,-1.02,-1.61
199708,0.22,-0.48
199709,2.77,2.11
199710,2.01,1.40
199711,1.61,1.18
199712,0.63,0.38
199801,-0.16,-0.39
199802,2.39,2.02
199803,2.57,2.25
199804,2.97,2.62
199805,3.33,2.89
199806,4.21,3.71
199807,5.56,4.97
199808,4.99,4.29
199809,6.03,5.37
199810,6.29,5.68
199811,5.79,5.36
199812,3.95,3.70
199901,2.04,1.81
199902,0.66,0.29
199903,-1.33,-1.65
199904,-0.63,-0.98
199905,-1.74,-2.18
199906,-1.59,-2.09
199907,-0.37,-0.96
199908,-0.18,-0.88
199909,-0.78,-1.44
199910,-1.63,-2.24
199911,-2.28,-2.71
199912,-2.82,-3.07
200001,-3.08,-3.31
200002,-0.98,-1.35
200003,-0.87,-1.19
200004,-1.80,-2.15
200005,-2.53,-2.97
200006,-2.90,-3.40
200007,-3.68,-4.27
200008,-1.40,-2.10
200009,-2.30,-2.96
200010,1.15,0.54
200011,1.11,0.68
200012,-0.10,-0.35
200101,0.15,-0.08
200102,0.44,0.07
200103,0.37,0.05
200104,0.94,0.59
200105,0.66,0.22
200106,-0.40,-0.90
200107,-0.95,-1.54
200108,-0.88,-1.58
200109,-1.52,-2.18
200110,-1.99,-2.60
200111,-2.10,-2.53
200112,-2.04,-2.29
200201,-2.66,-2.89
200202,-3.32,-3.69
200203,-3.69,-4.01
200204,-4.47,-4.82
200205,-5.37,-5.81
200206,-6.23,-6.73
200207,-6.85,-7.44
200208,-7.28,-7.98
200209,-5.62,-6.28
200210,-4.64,-5.25
200211,-4.28,-4.71
200212,-4.48,-4.73
200301,-5.38,-5.61
200302,-4.02,-4.39
