Washington County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,8.53,-6.57
199002,9.20,-5.93
199003,9.07,-6.08
199004,10.53,-4.58
199005,10.66,-4.45
199006,11.33,-3.78
199007,12.09,-3.01
199008,11.33,-3.79
199009,12.66,-2.46
199010,12.21,-2.93
199011,13.18,-1.96
199012,14.16,-0.98
199101,13.60,-1.50
199102,12.69,-2.44
199103,15.47,0.32
199104,14.15,-0.96
199105,13.83,-1.28
199106,13.44,-1.67
199107,12.67,-2.43
199108,12.29,-2.83
199109,12.36,-2.76
199110,13.46,-1.68
199111,13.36,-1.78
199112,13.44,-1.70
199201,13.79,-1.31
199202,16.18,1.05
199203,17.78,2.63
199204,17.75,2.64
199205,18.56,3.45
199206,18.35,3.24
199207,18.68,3.58
199208,19.68,4.56
199209,18.27,3.15
199210,18.92,3.78
199211,17.89,2.75
199212,19.19,4.05
199301,24.74,9.64
199302,26.71,11.58
199303,23.02,7.87
199304,23.27,8.16
199305,22.23,7.12
199306,22.71,7.60
199307,21.90,6.80
199308,21.66,6.54
199309,21.44,6.32
199310,20.37,5.23
199311,21.49,6.35
199312,19.83,4.69
199401,13.45,-1.65
199402,11.37,-3.76
199403,10.89,-4.26
199404,12.50,-2.61
199405,12.82,-2.29
199406,12.47,-2.64
199407,13.04,-2.06
199408,12.67,-2.45
199409,13.41,-1.71
199410,13.78,-1.36
199411,14.86,-0.28
199412,15.74,0.60
199501,19.75,4.65
199502,18.17,3.04
199503,22.72,7.57
199504,22.25,7.14
199505,23.39,8.28
199506,24.66,9.55
199507,24.20,9.10
199508,23.80,8.68
199509,23.68,8.56
199510,22.14,7.00
199511,20.55,5.41
199512,19.57,4.43
199601,16.06,0.96
199602,16.89,1.76
199603,12.08,-3.07
199604,10.80,-4.31
199605,9.67,-5.44
199606,8.15,-6.96
199607,9.17,-5.93
199608,8.67,-6.45
199609,8.96,-6.16
199610,10.25,-4.89
199611,11.99,-3.15
199612,13.28,-1.86
199701,15.99,0.89
199702,14.35,-0.78
199703,13.57,-1.58
199704,14.05,-1.06
199705,13.74,-1.37
199706,14.03,-1.08
199707,13.35,-1.75
199708,15.31,0.19
199709,18.50,3.38
199710,17.69,2.55
199711,16.51,1.37
199712,15.45,0.31
199801,13.32,-1.78
199802,17.38,2.25
199803,19.86,4.71
199804,20.88,5.77
199805,21.54,6.43
199806,22.16,7.05
199807,23.93,8.83
199808,22.50,7.38
199809,21.34,6.22
199810,23.16,8.02
199811,23.26,8.12
199812,22.65,7.51
199901,21.82,6.72
199902,18.01,2.88
199903,15.68,0.53
199904,15.71,0.60
199905,14.87,-0.24
199906,15.49,0.38
199907,15.63,0.53
199908,16.35,1.23
199909,13.86,-1.26
199910,11.62,-3.52
199911,10.43,-4.71
199912,10.33,-4.81
200001,11.01,-4.09
200002,13.92,-1.21
200003,15.45,0.30
200004,14.09,-1.02
200005,14.03,-1.08
200006,12.67,-2.44
200007,10.39,-4.71
200008,11.57,-3.55
200009,11.35,-3.77
200010,14.70,-0.44
200011,15.25,0.11
200012,15.33,0.19
200101,15.91,0.81
200102,13.91,-1.22
200103,14.03,-1.12
200104,15.12,0.01
200105,15.07,-0.04
200106,15.05,-0.06
200107,15.48,0.38
200108,14.28,-0.84
200109,14.12,-1.00
200110,10.95,-4.19
200111,11.08,-4.06
200112,12.13,-3.01
200201,10.41,-4.69
200202,8.61,-6.52
200203,7.15,-8.00
200204,5.81,-9.30
200205,5.60,-9.51
200206,5.45,-9.66
200207,5.26,-9.84
200208,3.79,-11.33
200209,5.29,-9.83
200210,6.28,-8.86
200211,6.50,-8.64
200212,6.09,-9.05
200301,6.14,-8.96
200302,8.93,-6.20
200303,10.24,-4.91
200304,11.39,-3.72
200305,11.74,-3.37
200306,11.73,-3.38
200307,11.77,-3.33
200308,12.71,-2.41
200309,11.64,-3.48
200310,10.51,-4.63
200311,10.54,-4.60
200312,11.91,-3.23
200401,12.26,-2.84
200402,13.18,-1.95
200403,11.63,-3.52
200404,11.94,-3.17
200405,11.81,-3.30
200406,11.91,-3.20
200407,12.30,-2.80
200408,12.35,-2.77
200409,12.64,-2.48
200410,18.56,3.42
200411,20.10,4.96
200412,20.48,5.34
200501,25.90,10.80
200502,25.95,10.82
200503,28.17,13.02
200504,28.98,13.87
200505,29.65,14.54
200506,30.71,15.60
200507,30.63,15.53
200508,32.15,17.03
200509,31.66,16.54
200510,27.40,12.26
200511,25.15,10.01
200512,23.15,8.01
200601,18.19,3.09
200602,14.63,-0.50
200603,16.17,1.02
200604,14.71,-0.40
200605,13.98,-1.13
200606,13.05,-2.06
200607,13.85,-1.25
200608,11.53,-3.59
200609,11.88,-3.24
200610,12.30,-2.84
200611,12.02,-3.12
200612,12.53,-2.61
200701,12.03,-3.07
200702,12.62,-2.51
200703,9.05,-6.10
200704,9.26,-5.85
200705,9.22,-5.89
200706,9.05,-6.06
200707,8.94,-6.16
200708,10.25,-4.87
200709,11.31,-3.81
200710,9.17,-5.97
200711,9.48,-5.66
200712,11.82,-3.32
200801,14.01,-1.09
200802,15.27,0.14
200803,15.14,-0.01
200804,13.96,-1.15
200805,14.62,-0.49
200806,14.79,-0.32
200807,14.54,-0.56
