Wayne County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.9,2.3
199002,52.2,2.6
199003,52.1,2.5
199004,51.9,2.3
199005,51.7,2.1
199006,52.0,2.4
199007,51.9,2.3
199008,52.0,2.4
199009,52.2,2.6
199010,52.2,2.6
199011,52.0,2.4
199012,51.3,1.7
199101,50.8,1.2
199102,51.0,1.4
199103,50.4,0.8
199104,49.8,0.2
199105,49.7,0.1
199106,49.3,-0.3
199107,49.2,-0.4
199108,49.3,-0.3
199109,49.1,-0.5
199110,49.3,-0.3
199111,49.1,-0.5
199112,49.4,-0.2
199201,49.3,-0.3
199202,49.2,-0.4
199203,49.7,0.1
199204,50.5,0.9
199205,50.9,1.3
199206,50.9,1.3
199207,50.7,1.1
199208,50.8,1.2
199209,50.9,1.3
199210,51.0,1.4
199211,50.8,1.2
199212,50.7,1.1
199301,51.3,1.7
199302,51.0,1.4
199303,51.0,1.4
199304,50.4,0.8
199305,50.3,0.7
199306,50.2,0.6
199307,50.2,0.6
199308,50.1,0.5
199309,49.9,0.3
199310,49.4,-0.2
199311,49.5,-0.1
199312,49.8,0.2
199401,50.0,0.4
199402,50.0,0.4
199403,50.2,0.6
199404,50.3,0.7
199405,50.4,0.8
199406,51.0,1.4
199407,51.4,1.8
199408,51.8,2.2
199409,52.0,2.4
199410,52.0,2.4
199411,52.0,2.4
199412,52.2,2.6
199501,52.1,2.5
199502,52.9,3.3
199503,52.7,3.1
199504,52.4,2.8
199505,51.9,2.3
199506,51.0,1.4
199507,50.7,1.1
199508,50.6,1.0
199509,50.6,1.0
199510,50.8,1.2
199511,51.5,1.9
199512,51.8,2.2
199601,51.8,2.2
199602,51.5,1.9
199603,51.6,2.0
199604,51.8,2.2
199605,52.4,2.8
199606,53.1,3.5
199607,53.5,3.9
199608,53.5,3.9
199609,53.1,3.5
199610,53.0,3.4
199611,52.6,3.0
199612,52.4,2.8
199701,52.2,2.6
199702,51.7,2.1
199703,51.9,2.3
199704,51.5,1.9
199705,51.5,1.9
199706,51.2,1.6
199707,50.9,1.3
199708,50.6,1.0
199709,50.7,1.1
199710,50.8,1.2
199711,50.8,1.2
199712,50.6,1.0
199801,50.9,1.3
199802,51.0,1.4
199803,50.6,1.0
199804,50.7,1.1
199805,50.4,0.8
199806,50.0,0.4
199807,50.3,0.7
199808,50.6,1.0
199809,50.8,1.2
199810,50.7,1.1
199811,50.7,1.1
199812,50.7,1.1
199901,50.9,1.3
199902,51.2,1.6
199903,51.6,2.0
199904,51.5,1.9
199905,51.4,1.8
199906,51.6,2.0
199907,51.4,1.8
199908,51.0,1.4
199909,50.7,1.1
199910,51.1,1.5
199911,51.5,1.9
199912,51.7,2.1
200001,51.7,2.1
200002,51.8,2.2
200003,51.4,1.8
200004,52.3,2.7
200005,52.9,3.3
200006,53.1,3.5
200007,53.4,3.8
200008,53.9,4.3
200009,54.1,4.5
200010,53.9,4.3
200011,52.8,3.2
200012,52.9,3.3
200101,52.4,2.8
200102,52.1,2.5
200103,52.2,2.6
200104,51.9,2.3
200105,51.8,2.2
200106,51.7,2.1
200107,51.6,2.0
200108,51.4,1.8
200109,51.6,2.0
200110,51.9,2.3
200111,52.7,3.1
200112,52.3,2.7
200201,52.3,2.7
200202,52.2,2.6
200203,51.8,2.2
200204,52.1,2.5
200205,52.0,2.4
200206,52.2,2.6
200207,52.5,2.9
200208,52.5,2.9
200209,52.1,2.5
200210,51.7,2.1
200211,51.3,1.7
