Wayne County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,752,116
199002,752,116
199003,752,116
199004,747,111
199005,732,95
199006,831,194
199007,771,133
199008,810,170
199009,842,201
199010,842,201
199011,842,201
199012,842,201
199101,842,206
199102,842,206
199103,842,206
199104,836,200
199105,829,192
199106,725,88
199107,706,68
199108,711,71
199109,675,34
199110,675,34
199111,675,34
199112,675,34
199201,675,39
199202,675,39
199203,675,39
199204,687,51
199205,713,76
199206,715,78
199207,643,5
199208,650,10
199209,675,34
199210,681,40
199211,681,40
199212,681,40
199301,681,45
199302,681,45
199303,681,45
199304,669,33
199305,655,18
199306,638,1
199307,665,27
199308,618,-22
199309,587,-54
199310,581,-60
199311,581,-60
199312,581,-60
199401,581,-55
199402,581,-55
199403,581,-55
199404,581,-55
199405,587,-50
199406,754,117
199407,879,241
199408,1032,392
199409,1060,419
199410,1060,419
199411,1060,419
199412,1060,419
199501,1060,424
199502,1060,424
199503,1060,424
199504,1060,424
199505,1034,397
199506,829,192
199507,703,65
199508,673,33
199509,674,33
199510,674,33
199511,674,33
199512,674,33
199601,674,38
199602,674,38
199603,674,38
199604,674,38
199605,719,82
199606,869,232
199607,1010,372
199608,1008,368
199609,957,316
199610,957,316
199611,957,316
199612,957,316
199701,957,321
199702,957,321
199703,957,321
199704,957,321
199705,948,311
199706,886,249
199707,750,112
199708,637,-3
199709,656,15
199710,656,15
199711,656,15
199712,656,15
199801,656,20
199802,656,20
199803,656,20
199804,656,20
199805,633,-4
199806,559,-78
199807,669,31
199808,776,136
199809,799,158
199810,799,158
199811,799,158
199812,799,158
199901,799,163
199902,799,163
199903,799,163
199904,799,163
199905,795,158
199906,840,203
199907,764,126
199908,614,-26
199909,578,-63
199910,578,-63
199911,578,-63
199912,578,-63
200001,578,-58
200002,578,-58
200003,578,-58
200004,588,-48
200005,638,1
200006,708,71
200007,795,157
200008,969,329
200009,1006,365
200010,1006,365
200011,1006,365
200012,1006,365
200101,1006,370
200102,1006,370
200103,1006,370
200104,996,360
200105,978,341
200106,973,336
200107,916,278
200108,856,216
200109,899,258
200110,904,263
200111,904,263
200112,904,263
200201,904,268
200202,904,268
200203,904,268
200204,913,277
200205,898,261
200206,958,321
200207,1066,428
200208,1074,434
200209,1005,364
200210,1000,359
200211,1000,359
200212,1000,359
200301,1000,364
200302,1000,364
200303,1000,364
200304,991,355
200305,998,361
200306,915,278
200307,981,343
200308,1014,374
200309,1042,401
200310,1055,414
200311,1055,414
200312,1055,414
200401,1055,419
200402,1055,419
200403,1055,419
200404,1055,419
200405,1056,419
200406,1046,409
200407,869,231
200408,771,131
200409,740,99
200410,727,86
200411,727,86
200412,727,86
200501,727,91
200502,727,91
200503,727,91
200504,727,91
200505,717,80
200506,655,18
200507,738,100
200508,705,65
200509,720,79
200510,720,79
200511,720,79
200512,720,79
200601,720,84
200602,720,84
200603,720,84
200604,720,84
200605,743,106
200606,888,251
200607,894,256
200608,927,287
200609,891,250
200610,891,250
200611,891,250
200612,891,250
200701,891,255
200702,891,255
200703,891,255
200704,891,255
200705,873,236
200706,846,209
200707,874,236
200708,973,333
200709,1017,376
200710,1017,376
200711,1017,376
200712,1017,376
200801,1017,381
200802,1017,381
200803,1017,381
200804,1017,381
200805,996,359
200806,941,304
200807,905,267
200808,883,243
200809,882,241
200810,882,241
200811,882,241
200812,882,241
200901,882,246
200902,882,246
200903,882,246
200904,882,246
200905,927,290
200906,874,237
200907,859,221
200908,800,160
200909,819,178
200910,819,178
200911,819,178
200912,819,178
201001,819,183
201002,819,183
201003,819,183
201004,819,183
201005,766,129
201006,844,207
201007,804,166
201008,762,122
201009,774,133
201010,774,133
201011,774,133
201012,774,133
201101,774,138
201102,774,138
201103,774,138
201104,774,138
201105,774,137
201106,739,102
201107,695,57
201108,833,193
201109,816,175
201110,816,175
201111,816,175
201112,816,175
201201,816,180
201202,816,180
201203,816,180
201204,823,187
201205,867,230
201206,980,343
201207,1014,376
201208,1000,360
201209,1012,371
201210,1012,371
201211,1012,371
201212,1012,371
201301,1012,376
201302,1012,376
201303,1012,376
201304,1005,369
201305,982,345
201306,989,352
201307,1034,396
201308,949,309
201309,912,271
201310,912,271
201311,912,271
201312,912,271
201401,912,276
201402,912,276
201403,912,276
201404,912,276
201405,906,269
201406,819,182
201407,841,203
201408,787,147
201409,844,203
201410,850,209
201411,850,209
201412,850,209
201501,850,214
201502,850,214
201503,850,214
201504,850,214
201505,844,207
201506,893,256
201507,730,92
201508,807,167
201509,820,179
201510,821,180
201511,821,180
201512,821,180
201601,821,185
201602,821,185
201603,821,185
201604,821,185
201605,824,187
201606,883,246
201607,995,357
201608,953,313
201609,881,240
201610,880,239
201611,880,239
201612,880,239
201701,880,244
201702,880,244
201703,880,244
201704,880,244
201705,885,248
201706,862,225
201707,899,261
201708,951,311
201709,952,311
201710,946,305
201711,946,305
201712,946,305
201801,946,310
201802,946,310
201803,946,310
201804,951,315
201805,973,336
201806,965,328
201807,1005,367
201808,1065,425
201809,1151,510
201810,1151,510
201811,1151,510
201812,1151,510
201901,1151,515
201902,1151,515
201903,1151,515
201904,1152,516
201905,1113,476
201906,974,337
201907,892,254
201908,901,261
201909,869,228
201910,869,228
201911,869,228
201912,869,228
202001,869,233
202002,869,233
202003,869,233
202004,863,227
202005,917,280
202006,964,327
202007,957,319
202008,1043,403
202009,1015,374
202010,1021,380
202011,1021,380
202012,1021,380
202101,1021,385
202102,1021,385
202103,1021,385
202104,1021,385
202105,995,358
202106,1118,481
202107,1195,557
202108,1033,393
202109,1053,412
202110,1047,406
202111,1047,406
202112,1047,406
202201,1047,411
202202,1047,411
202203,1047,411
202204,1047,411
202205,1039,402
202206,956,319
202207,930,292
202208,963,323
202209,1013,372
202210,1013,372
202211,1013,372
202212,1013,372
202301,1013,377
202302,1013,377
202303,1013,377
202304,1013,377
202305,1025,388
202306,925,288
202307,987,349
202308,974,334
202309,908,267
202310,908,267
202311,908,267
202312,908,267
202401,908,272
202402,908,272
202403,908,272
