Wayne County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,65.0,3.3
199002,65.4,3.7
199003,65.2,3.5
199004,64.8,3.1
199005,64.6,2.9
199006,65.0,3.3
199007,64.7,3.0
199008,64.9,3.1
199009,64.9,3.1
199010,64.8,3.0
199011,64.4,2.6
199012,63.7,1.9
199101,63.1,1.4
199102,63.4,1.7
199103,62.8,1.1
199104,62.2,0.5
199105,62.1,0.4
199106,61.6,-0.1
199107,61.5,-0.2
199108,61.5,-0.3
199109,61.4,-0.4
199110,61.6,-0.2
199111,61.4,-0.4
199112,61.4,-0.4
199201,61.4,-0.3
199202,61.0,-0.7
199203,61.5,-0.2
199204,62.3,0.6
199205,62.7,1.0
199206,62.7,1.0
199207,62.5,0.8
199208,62.6,0.8
199209,62.8,1.0
199210,62.8,1.0
199211,62.6,0.8
199212,62.6,0.8
199301,63.1,1.4
199302,62.8,1.1
199303,62.9,1.2
199304,62.3,0.6
199305,62.2,0.5
199306,62.1,0.4
199307,62.3,0.6
199308,62.1,0.3
199309,62.1,0.3
199310,61.5,-0.3
199311,61.6,-0.2
199312,61.9,0.1
199401,62.4,0.7
199402,62.5,0.8
199403,62.8,1.1
199404,62.9,1.2
199405,63.0,1.3
199406,63.7,2.0
199407,64.1,2.4
199408,64.5,2.7
199409,64.6,2.8
199410,64.6,2.8
199411,64.5,2.7
199412,64.5,2.7
199501,64.2,2.5
199502,65.1,3.4
199503,64.7,3.0
199504,64.3,2.6
199505,63.7,2.0
199506,62.7,1.0
199507,62.4,0.7
199508,62.3,0.5
199509,62.4,0.6
199510,62.8,1.0
199511,63.8,2.0
199512,64.3,2.5
199601,64.6,2.9
199602,64.3,2.6
199603,64.5,2.8
199604,64.9,3.2
199605,65.8,4.1
199606,66.6,4.9
199607,66.9,5.2
199608,67.0,5.2
199609,66.5,4.7
199610,66.2,4.4
199611,65.6,3.8
199612,65.3,3.5
199701,64.9,3.2
199702,64.2,2.5
199703,64.5,2.8
199704,64.0,2.3
199705,63.8,2.1
199706,63.5,1.8
199707,63.1,1.4
199708,62.7,0.9
199709,62.7,0.9
199710,62.8,1.0
199711,62.8,1.0
199712,62.6,0.8
199801,63.1,1.4
199802,63.1,1.4
199803,62.6,0.9
199804,62.7,1.0
199805,62.3,0.6
199806,62.0,0.3
199807,62.2,0.5
199808,62.6,0.8
199809,62.8,1.0
199810,62.6,0.8
199811,62.7,0.9
199812,62.8,1.0
199901,62.9,1.2
199902,63.5,1.8
199903,64.0,2.3
199904,63.8,2.1
199905,63.8,2.1
199906,64.0,2.3
199907,63.7,2.0
199908,63.2,1.4
199909,63.1,1.3
199910,63.8,2.0
199911,64.3,2.5
199912,64.6,2.8
200001,64.5,2.8
200002,64.5,2.8
200003,64.0,2.3
200004,65.1,3.4
200005,65.7,4.0
200006,66.0,4.3
200007,66.4,4.7
200008,66.9,5.1
200009,67.2,5.4
200010,66.6,4.8
200011,65.3,3.5
200012,65.3,3.5
200101,64.8,3.1
200102,64.3,2.6
200103,64.4,2.7
200104,63.9,2.2
200105,63.7,2.0
200106,63.8,2.1
200107,63.5,1.8
200108,63.4,1.6
200109,63.7,1.9
200110,64.2,2.4
200111,65.2,3.4
200112,64.8,3.0
200201,64.8,3.1
200202,65.0,3.3
200203,64.8,3.1
200204,65.3,3.6
200205,65.2,3.5
200206,65.5,3.8
200207,65.9,4.2
200208,66.0,4.2
200209,65.4,3.6
200210,64.8,3.0
200211,64.4,2.6
200212,64.7,2.9
200301,65.4,3.7
200302,65.4,3.7
200303,65.5,3.8
200304,64.9,3.2
200305,64.9,3.2
200306,64.5,2.8
200307,64.8,3.1
200308,64.7,2.9
200309,65.1,3.3
200310,65.9,4.1
200311,65.7,3.9
200312,65.8,4.0
200401,64.9,3.2
200402,64.6,2.9
200403,65.3,3.6
200404,65.3,3.6
200405,65.3,3.6
200406,65.2,3.5
200407,64.7,3.0
200408,64.5,2.7
200409,64.2,2.4
200410,63.4,1.6
200411,63.3,1.5
200412,63.3,1.5
200501,63.9,2.2
200502,64.4,2.7
200503,63.6,1.9
200504,63.7,2.0
200505,63.6,1.9
200506,63.2,1.5
200507,63.5,1.8
200508,63.4,1.6
200509,63.5,1.7
200510,63.8,2.0
200511,64.3,2.5
200512,64.4,2.6
200601,64.3,2.6
200602,64.4,2.7
200603,64.1,2.4
200604,64.4,2.7
200605,64.7,3.0
200606,65.4,3.7
200607,65.2,3.5
200608,65.3,3.5
200609,65.0,3.2
200610,64.5,2.7
