Wayne County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,38.7,1.3
199002,39.0,1.6
199003,39.0,1.6
199004,38.9,1.5
199005,38.7,1.3
199006,39.1,1.7
199007,39.0,1.6
199008,39.1,1.7
199009,39.5,2.1
199010,39.5,2.1
199011,39.5,2.1
199012,38.9,1.5
199101,38.4,1.0
199102,38.6,1.2
199103,38.1,0.7
199104,37.4,0.0
199105,37.3,-0.1
199106,37.0,-0.4
199107,37.0,-0.4
199108,37.1,-0.3
199109,36.8,-0.6
199110,37.0,-0.4
199111,36.9,-0.5
199112,37.3,-0.1
199201,37.4,0.0
199202,37.5,0.1
199203,38.0,0.6
199204,38.8,1.4
199205,39.2,1.8
199206,39.2,1.8
199207,39.0,1.6
199208,39.0,1.6
199209,39.1,1.7
199210,39.2,1.8
199211,38.9,1.5
199212,38.8,1.4
199301,39.5,2.1
199302,39.3,1.9
199303,39.1,1.7
199304,38.5,1.1
199305,38.3,0.9
199306,38.2,0.8
199307,38.2,0.8
199308,38.1,0.7
199309,37.8,0.4
199310,37.4,0.0
199311,37.4,0.0
199312,37.7,0.3
199401,37.6,0.2
199402,37.5,0.1
199403,37.6,0.2
199404,37.8,0.4
199405,37.8,0.4
199406,38.4,1.0
199407,38.7,1.3
199408,39.1,1.7
199409,39.4,2.0
199410,39.5,2.1
199411,39.5,2.1
199412,39.8,2.4
199501,40.0,2.6
199502,40.7,3.3
199503,40.7,3.3
199504,40.4,3.0
199505,40.1,2.7
199506,39.3,1.9
199507,39.0,1.6
199508,38.9,1.5
199509,38.9,1.5
199510,38.7,1.3
199511,39.2,1.8
199512,39.2,1.8
199601,39.0,1.6
199602,38.8,1.4
199603,38.6,1.2
199604,38.7,1.3
199605,39.1,1.7
199606,39.6,2.2
199607,40.1,2.7
199608,40.0,2.6
199609,39.7,2.3
199610,39.8,2.4
199611,39.6,2.2
199612,39.6,2.2
199701,39.5,2.1
199702,39.1,1.7
199703,39.3,1.9
199704,39.1,1.7
199705,39.1,1.7
199706,39.0,1.6
199707,38.6,1.2
199708,38.5,1.1
199709,38.8,1.4
199710,38.8,1.4
199711,38.9,1.5
199712,38.6,1.2
199801,38.8,1.4
199802,39.0,1.6
199803,38.7,1.3
199804,38.7,1.3
199805,38.5,1.1
199806,38.1,0.7
199807,38.4,1.0
199808,38.6,1.2
199809,38.7,1.3
199810,38.7,1.3
199811,38.8,1.4
199812,38.7,1.3
199901,38.8,1.4
199902,38.9,1.5
199903,39.3,1.9
199904,39.2,1.8
199905,39.0,1.6
199906,39.2,1.8
199907,39.1,1.7
199908,38.8,1.4
199909,38.4,1.0
199910,38.5,1.1
199911,38.7,1.3
199912,38.9,1.5
200001,38.9,1.5
200002,39.1,1.7
200003,38.8,1.4
200004,39.5,2.1
200005,40.0,2.6
200006,40.3,2.9
200007,40.4,3.0
200008,40.8,3.4
200009,41.0,3.6
200010,41.1,3.7
200011,40.3,2.9
200012,40.5,3.1
200101,40.0,2.6
200102,39.8,2.4
200103,40.0,2.6
200104,39.9,2.5
200105,39.8,2.4
200106,39.7,2.3
200107,39.6,2.2
200108,39.4,2.0
200109,39.5,2.1
200110,39.6,2.2
200111,40.2,2.8
200112,39.9,2.5
200201,39.9,2.5
200202,39.4,2.0
200203,38.8,1.4
200204,39.0,1.6
200205,38.7,1.3
200206,38.9,1.5
200207,39.1,1.7
200208,39.0,1.6
200209,38.9,1.5
200210,38.5,1.1
200211,38.2,0.8
200212,38.5,1.1
200301,39.1,1.7
200302,39.5,2.1
200303,40.0,2.6
200304,39.6,2.2
200305,39.8,2.4
200306,39.7,2.3
200307,39.8,2.4
200308,40.0,2.6
200309,40.0,2.6
200310,40.6,3.2
200311,40.7,3.3
200312,40.8,3.4
200401,40.1,2.7
200402,39.8,2.4
200403,40.1,2.7
200404,40.3,2.9
200405,40.4,3.0
200406,40.4,3.0
200407,39.9,2.5
200408,39.6,2.2
200409,39.5,2.1
200410,39.2,1.8
200411,39.2,1.8
200412,39.1,1.7
200501,39.9,2.5
200502,40.5,3.1
200503,40.0,2.6
200504,39.9,2.5
200505,39.7,2.3
200506,39.5,2.1
200507,39.6,2.2
200508,39.6,2.2
200509,39.7,2.3
200510,39.6,2.2
200511,39.8,2.4
200512,39.7,2.3
200601,39.2,1.8
200602,38.7,1.3
200603,38.6,1.2
200604,38.8,1.4
200605,38.9,1.5
200606,39.3,1.9
200607,39.5,2.1
200608,39.6,2.2
200609,39.3,1.9
200610,39.2,1.8
200611,39.1,1.7
200612,39.1,1.7
200701,38.7,1.3
200702,39.1,1.7
200703,39.4,2.0
200704,39.4,2.0
200705,39.3,1.9
200706,39.2,1.8
200707,39.1,1.7
200708,39.4,2.0
200709,39.8,2.4
200710,39.6,2.2
200711,39.8,2.4
200712,39.5,2.1
200801,39.5,2.1
200802,39.2,1.8
200803,38.9,1.5
200804,38.4,1.0
200805,38.0,0.6
200806,37.9,0.5
200807,37.8,0.4
200808,37.7,0.3
200809,37.6,0.2
200810,37.7,0.3
200811,37.6,0.2
200812,37.8,0.4
200901,38.3,0.9
200902,38.3,0.9
200903,38.4,1.0
200904,38.7,1.3
200905,39.3,1.9
200906,39.3,1.9
200907,39.2,1.8
200908,38.9,1.5
200909,39.1,1.7
200910,38.8,1.4
