Wayne County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.98,-4.19
199002,-3.37,-3.67
199003,-3.34,-3.65
199004,-3.51,-3.91
199005,-4.01,-4.44
199006,-4.48,-4.94
199007,-4.14,-4.41
199008,-4.08,-4.30
199009,-3.04,-3.50
199010,-3.18,-3.54
199011,-3.21,-3.52
199012,-3.17,-3.39
199101,-2.92,-3.13
199102,-3.20,-3.50
199103,-2.54,-2.85
199104,-2.26,-2.66
199105,-2.15,-2.58
199106,-2.45,-2.91
199107,-2.61,-2.88
199108,0.16,-0.06
199109,0.57,0.11
199110,0.22,-0.14
199111,0.68,0.37
199112,0.84,0.62
199201,0.84,0.63
199202,1.04,0.74
199203,1.54,1.23
199204,0.92,0.52
199205,1.78,1.35
199206,1.86,1.40
199207,0.03,-0.24
199208,-0.19,-0.41
199209,-0.97,-1.43
199210,-1.08,-1.44
199211,-1.10,-1.41
199212,0.17,-0.05
199301,1.46,1.25
199302,2.78,2.48
199303,2.53,2.22
199304,2.15,1.75
199305,2.93,2.50
199306,3.25,2.79
199307,-0.42,-0.69
199308,-0.48,-0.70
199309,-1.01,-1.47
199310,-0.32,-0.68
199311,-0.35,-0.66
199312,-0.70,-0.92
199401,-0.86,-1.07
199402,-0.78,-1.08
199403,-1.56,-1.87
199404,-1.63,-2.03
199405,-2.42,-2.85
199406,-3.21,-3.67
199407,-3.94,-4.21
199408,-3.74,-3.96
199409,0.24,-0.22
199410,0.12,-0.24
199411,0.60,0.29
199412,0.70,0.48
199501,0.96,0.75
199502,0.36,0.06
199503,1.05,0.74
199504,1.65,1.25
199505,2.76,2.33
199506,3.37,2.91
199507,-0.01,-0.28
199508,-0.25,-0.47
199509,-0.58,-1.04
199510,-1.27,-1.63
199511,-1.82,-2.13
199512,-1.88,-2.10
199601,-1.68,-1.89
199602,-1.76,-2.06
199603,-1.90,-2.21
199604,-2.21,-2.61
199605,-2.65,-3.08
199606,-2.99,-3.45
199607,-3.50,-3.77
199608,-3.91,-4.13
199609,0.64,0.18
199610,0.61,0.25
199611,0.72,0.41
199612,0.52,0.30
199701,1.56,1.35
199702,1.59,1.29
199703,0.66,0.35
199704,1.34,0.94
199705,1.21,0.78
199706,1.39,0.93
199707,1.63,1.36
199708,2.20,1.98
199709,4.00,3.54
199710,-0.14,-0.50
199711,-0.47,-0.78
199712,-0.77,-0.99
199801,-1.03,-1.24
199802,-0.35,-0.65
199803,-0.48,-0.79
199804,-0.15,-0.55
199805,-0.55,-0.98
199806,-0.54,-1.00
