Wayne County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.98,-4.45
199002,-3.37,-3.87
199003,-3.34,-3.81
199004,-3.51,-4.05
199005,-4.01,-4.52
199006,-4.48,-4.96
199007,-4.14,-4.65
199008,-4.08,-4.59
199009,-3.04,-3.57
199010,-3.18,-3.68
199011,-3.21,-3.67
199012,-3.17,-3.64
199101,-2.92,-3.39
199102,-3.20,-3.70
199103,-2.54,-3.01
199104,-2.26,-2.80
199105,-2.15,-2.66
199106,-2.45,-2.93
199107,-2.61,-3.12
199108,-2.18,-2.69
199109,-1.53,-2.06
199110,-1.67,-2.17
199111,-1.01,-1.47
199112,-0.68,-1.15
199201,0.84,0.37
199202,1.04,0.54
199203,1.54,1.07
199204,0.92,0.38
199205,1.78,1.27
199206,1.86,1.38
199207,1.70,1.19
199208,1.33,0.82
199209,-0.97,-1.50
199210,-1.08,-1.58
199211,-1.10,-1.56
199212,-0.81,-1.28
199301,1.46,0.99
199302,2.78,2.28
199303,2.53,2.06
199304,2.15,1.61
199305,2.93,2.42
199306,3.25,2.77
199307,2.49,1.98
199308,2.14,1.63
199309,1.33,0.80
199310,1.79,1.29
199311,1.54,1.08
199312,0.99,0.52
199401,0.65,0.18
199402,0.58,0.08
199403,-1.56,-2.03
199404,-1.63,-2.17
199405,-2.42,-2.93
199406,-3.21,-3.69
199407,-3.94,-4.45
199408,-3.74,-4.25
199409,-3.12,-3.65
199410,-2.89,-3.39
199411,-2.11,-2.57
199412,-1.73,-2.20
199501,-1.22,-1.69
199502,-1.59,-2.09
199503,-0.70,-1.17
199504,1.65,1.11
199505,2.76,2.25
199506,3.37,2.89
199507,3.01,2.50
199508,2.47,1.96
199509,1.85,1.32
199510,0.91,0.41
199511,-1.82,-2.28
199512,-1.88,-2.35
199601,-1.68,-2.15
199602,-1.76,-2.26
199603,-1.90,-2.37
199604,-2.21,-2.75
199605,-2.65,-3.16
199606,-2.99,-3.47
199607,-3.50,-4.01
199608,-3.91,-4.42
199609,-2.87,-3.40
199610,-2.54,-3.04
199611,-2.10,-2.56
199612,-2.01,-2.48
199701,-0.71,-1.18
199702,1.59,1.09
199703,0.66,0.19
199704,1.34,0.80
199705,1.21,0.70
199706,1.39,0.91
199707,1.63,1.12
199708,2.20,1.69
199709,4.00,3.47
199710,3.45,2.95
199711,2.75,2.29
199712,2.12,1.65
199801,1.56,1.09
199802,1.97,1.47
199803,1.60,1.13
199804,1.72,1.18
199805,1.12,0.61
199806,0.97,0.49
199807,0.73,0.22
199808,-1.48,-1.99
199809,1.40,0.87
199810,2.21,1.71
199811,1.86,1.40
199812,1.52,1.05
199901,0.98,0.51
199902,-0.95,-1.45
199903,-1.86,-2.33
199904,-1.03,-1.57
199905,-1.22,-1.73
199906,-1.24,-1.72
199907,-0.81,-1.32
199908,1.50,0.99
199909,1.29,0.76
199910,-0.93,-1.43
199911,-1.71,-2.17
199912,-1.71,-2.18
200001,-1.71,-2.18
200002,-1.76,-2.26
200003,-1.52,-1.99
200004,-2.31,-2.85
200005,-3.14,-3.65
200006,-3.52,-4.00
200007,-4.19,-4.70
200008,-3.96,-4.47
200009,-3.92,-4.45
200010,-1.83,-2.33
200011,-1.59,-2.05
200012,-1.60,-2.07
200101,-0.79,-1.26
200102,2.27,1.77
200103,2.29,1.82
200104,1.98,1.44
200105,2.40,1.89
200106,2.63,2.15
200107,2.24,1.73
