Wayne County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.90,-4.17
199002,-3.00,-3.42
199003,-3.27,-3.69
199004,-3.51,-3.96
199005,-4.01,-4.47
199006,-4.48,-4.91
199007,-4.14,-4.56
199008,-4.08,-4.49
199009,-2.27,-2.68
199010,-2.89,-3.26
199011,-3.21,-3.56
199012,-3.17,-3.43
199101,-2.92,-3.19
199102,-3.20,-3.62
199103,-2.08,-2.50
199104,-1.73,-2.18
199105,-1.71,-2.17
199106,-2.45,-2.88
199107,-2.61,-3.03
199108,-1.92,-2.33
199109,-0.67,-1.08
199110,-1.13,-1.50
199111,0.15,-0.20
199112,0.70,0.44
199201,0.84,0.57
199202,1.04,0.62
199203,1.54,1.12
199204,0.14,-0.31
199205,1.78,1.32
199206,1.86,1.43
199207,1.68,1.26
199208,0.96,0.55
199209,-0.97,-1.38
199210,-1.08,-1.45
199211,-1.10,-1.45
199212,-0.37,-0.63
199301,1.46,1.19
199302,2.78,2.36
199303,2.51,2.09
199304,1.92,1.47
199305,2.93,2.47
199306,3.25,2.82
199307,1.93,1.51
199308,1.41,1.00
199309,-0.11,-0.52
199310,1.02,0.65
199311,0.68,0.33
199312,-0.27,-0.53
199401,-0.77,-1.04
199402,-0.75,-1.17
199403,-1.56,-1.98
199404,-1.63,-2.08
199405,-2.42,-2.88
199406,-3.21,-3.64
199407,-3.94,-4.36
199408,-3.74,-4.15
199409,-2.77,-3.18
199410,-2.60,-2.97
199411,-1.20,-1.55
199412,-0.62,-0.88
199501,0.25,-0.02
199502,-0.68,-1.10
199503,0.91,0.49
199504,1.65,1.20
199505,2.76,2.30
199506,3.37,2.94
199507,2.94,2.52
199508,2.05,1.64
199509,0.96,0.55
199510,-0.85,-1.22
199511,-1.82,-2.17
199512,-1.88,-2.14
199601,-1.59,-1.86
199602,-1.76,-2.18
199603,-1.90,-2.32
199604,-2.21,-2.66
199605,-2.65,-3.11
199606,-2.99,-3.42
199607,-3.50,-3.92
199608,-3.91,-4.32
199609,-2.07,-2.48
199610,-1.65,-2.02
199611,-0.99,-1.34
199612,-1.03,-1.29
199701,1.40,1.13
199702,1.59,1.17
199703,-0.60,-1.02
199704,1.15,0.70
199705,0.96,0.50
199706,1.39,0.96
199707,1.63,1.21
199708,2.20,1.79
199709,4.00,3.59
199710,3.23,2.86
199711,2.08,1.73
199712,1.01,0.75
199801,0.07,-0.20
199802,1.10,0.68
199803,0.55,0.13
199804,0.95,0.50
199805,-0.04,-0.50
199806,-0.19,-0.62
199807,-0.48,-0.90
199808,-1.48,-1.89
199809,1.40,0.99
199810,2.21,1.84
199811,1.63,1.28
199812,1.04,0.78
199901,-0.05,-0.32
199902,-0.95,-1.37
199903,-1.86,-2.28
199904,-0.04,-0.49
199905,-0.63,-1.09
199906,-0.80,-1.23
199907,0.08,-0.34
199908,1.50,1.09
199909,1.12,0.71
199910,-0.93,-1.30
199911,-1.71,-2.06
199912,-1.71,-1.97
200001,-1.71,-1.98
200002,-1.76,-2.18
200003,-1.36,-1.78
200004,-2.31,-2.76
200005,-3.14,-3.60
200006,-3.52,-3.95
200007,-4.19,-4.61
200008,-3.96,-4.37
200009,-3.92,-4.33
200010,0.20,-0.17
200011,0.43,0.08
200012,0.15,-0.11
200101,1.51,1.24
200102,2.27,1.85
200103,2.29,1.87
200104,1.81,1.36
200105,2.40,1.94
200106,2.63,2.20
200107,2.03,1.61
200108,1.92,1.51
200109,0.14,-0.27
200110,-1.35,-1.72
200111,-0.98,-1.33
200112,-1.20,-1.46
200201,-1.41,-1.68
200202,-1.56,-1.98
200203,-1.89,-2.31
200204,-2.69,-3.14
200205,-3.59,-4.05
200206,-4.23,-4.66
200207,-4.59,-5.01
200208,-5.00,-5.41
200209,-1.68,-2.09
200210,-0.81,-1.18
200211,-0.74,-1.09
200212,-1.11,-1.37
200301,-1.97,-2.24
200302,-0.78,-1.20
200303,-0.43,-0.85
200304,-0.88,-1.33
200305,-1.87,-2.33
200306,-2.97,-3.40
200307,-3.84,-4.26
200308,-3.31,-3.72
200309,-3.36,-3.77
200310,-3.52,-3.89
200311,-2.93,-3.28
200312,-1.82,-2.08
200401,-2.25,-2.52
200402,-0.77,-1.19
200403,-2.54,-2.96
200404,-0.25,-0.70
200405,-0.69,-1.15
200406,-0.81,-1.24
200407,-1.56,-1.98
200408,-2.09,-2.50
200409,-2.04,-2.45
200410,-0.61,-0.98
200411,1.27,0.92
200412,1.41,1.15
200501,2.23,1.96
200502,2.64,2.22
200503,2.51,2.09
200504,2.60,2.15
200505,2.90,2.44
200506,4.24,3.81
200507,3.59,3.17
200508,3.62,3.21
200509,3.34,2.93
200510,3.22,2.85
200511,1.76,1.41
200512,0.85,0.59
200601,0.34,0.07
200602,-0.60,-1.02
200603,0.38,-0.04
200604,-0.62,-1.07
200605,-1.81,-2.27
200606,-2.42,-2.85
200607,-2.28,-2.70
200608,-2.07,-2.48
200609,-0.92,-1.33
200610,3.67,3.30
200611,2.69,2.34
200612,2.60,2.34
200701,2.22,1.95
200702,1.70,1.28
200703,1.29,0.87
200704,1.35,0.90
200705,1.06,0.60
200706,0.74,0.31
200707,0.14,-0.28
200708,0.42,0.01
200709,0.47,0.06
200710,-0.48,-0.85
200711,-1.16,-1.51
200712,0.77,0.51
200801,0.83,0.56
200802,1.05,0.63
200803,0.09,-0.33
200804,-0.55,-1.00
200805,-0.56,-1.02
200806,-0.62,-1.05
200807,-1.18,-1.60
200808,0.05,-0.36
200809,-1.39,-1.80
200810,-1.76,-2.13
200811,-1.63,-1.98
200812,-0.21,-0.47
200901,-0.80,-1.07
200902,-1.40,-1.82
200903,-1.76,-2.18
200904,-1.82,-2.27
200905,-1.78,-2.24
200906,-1.71,-2.14
200907,-2.51,-2.93
200908,-3.31,-3.72
200909,-3.31,-3.72
200910,-3.34,-3.71
200911,-3.56,-3.91
200912,-2.90,-3.16
201001,-1.04,-1.31
201002,1.23,0.81
201003,2.03,1.61
201004,1.44,0.99
201005,1.20,0.74
201006,1.85,1.42
201007,2.12,1.70
201008,2.45,2.04
201009,0.69,0.28
201010,3.18,2.81
201011,2.96,2.61
201012,2.99,2.73
201101,1.78,1.51
201102,2.08,1.66
201103,1.52,1.10
201104,2.39,1.94
201105,2.80,2.34
201106,2.67,2.24
201107,3.60,3.18
201108,3.02,2.61
201109,3.42,3.01
201110,2.74,2.37
201111,1.86,1.51
201112,1.14,0.88
201201,0.03,-0.24
201202,-0.02,-0.44
201203,-1.27,-1.69
201204,-2.17,-2.62
201205,-3.15,-3.61
201206,-3.96,-4.39
201207,-2.67,-3.09
201208,-2.02,-2.43
201209,-2.25,-2.66
201210,-2.27,-2.64
201211,-3.12,-3.47
201212,-2.58,-2.84
201301,-2.53,-2.80
201302,-1.94,-2.36
201303,-2.18,-2.60
201304,-2.16,-2.61
201305,-2.30,-2.76
201306,-2.94,-3.37
201307,-1.66,-2.08
201308,-1.05,-1.46
201309,3.06,2.65
201310,2.18,1.81
201311,2.51,2.16
201312,2.08,1.82
201401,1.04,0.77
201402,-0.47,-0.89
201403,-1.43,-1.85
201404,-1.93,-2.38
201405,-1.55,-2.01
201406,-2.43,-2.86
201407,-2.26,-2.68
201408,-1.74,-2.15
201409,1.14,0.73
201410,-0.95,-1.32
201411,-1.33,-1.68
201412,-0.82,-1.08
201501,0.46,0.19
201502,0.00,-0.42
201503,-0.73,-1.15
201504,-1.19,-1.64
201505,0.88,0.42
201506,1.43,1.00
201507,2.82,2.40
201508,2.64,2.23
201509,1.58,1.17
201510,2.89,2.52
201511,2.71,2.36
201512,2.59,2.33
201601,2.36,2.09
201602,2.20,1.78
201603,0.51,0.09
201604,0.17,-0.28
201605,-0.18,-0.64
201606,-1.02,-1.45
201607,-1.08,-1.50
201608,-1.32,-1.73
201609,0.67,0.26
201610,-0.36,-0.73
201611,-0.61,-0.96
201612,-0.53,-0.79
201701,0.43,0.16
201702,-0.57,-0.99
201703,-1.25,-1.67
201704,-1.61,-2.06
201705,-2.00,-2.46
201706,-2.73,-3.16
201707,-1.80,-2.22
201708,-2.63,-3.04
201709,-0.96,-1.37
201710,-2.18,-2.55
201711,-2.98,-3.33
201712,-3.22,-3.48
201801,-3.36,-3.63
