Wayne County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,5.40,-3.82
199002,5.54,-3.68
199003,5.83,-3.40
199004,6.30,-2.91
199005,5.94,-3.27
199006,5.88,-3.33
199007,6.30,-2.91
199008,5.86,-3.36
199009,7.22,-1.99
199010,7.43,-1.81
199011,7.68,-1.55
199012,8.03,-1.21
199101,7.89,-1.33
199102,7.25,-1.97
199103,7.62,-1.61
199104,7.39,-1.82
199105,8.02,-1.19
199106,8.16,-1.05
199107,7.80,-1.41
199108,8.33,-0.89
199109,8.05,-1.16
199110,8.37,-0.87
199111,9.21,-0.02
199112,9.68,0.44
199201,9.72,0.50
199202,10.40,1.18
199203,10.91,1.68
199204,10.89,1.68
199205,11.80,2.59
199206,11.90,2.69
199207,11.92,2.71
199208,11.46,2.24
199209,10.26,1.05
199210,10.42,1.18
199211,9.58,0.35
199212,9.58,0.34
199301,10.91,1.69
199302,11.87,2.65
199303,11.05,1.82
199304,10.97,1.76
199305,10.47,1.26
199306,10.35,1.14
199307,9.67,0.46
199308,9.70,0.48
199309,9.84,0.63
199310,10.50,1.26
199311,10.60,1.37
199312,9.98,0.74
199401,8.43,-0.79
199402,7.14,-2.08
199403,6.53,-2.70
199404,7.36,-1.85
199405,6.30,-2.91
199406,6.07,-3.14
199407,6.24,-2.97
199408,6.45,-2.77
199409,7.39,-1.82
199410,6.61,-2.63
199411,7.22,-2.01
199412,7.77,-1.47
199501,8.25,-0.97
199502,8.22,-1.00
199503,9.84,0.61
199504,9.95,0.74
199505,11.24,2.03
199506,12.00,2.79
199507,12.16,2.95
199508,11.90,2.68
199509,11.25,2.04
199510,10.54,1.30
199511,9.76,0.53
199512,9.45,0.21
199601,9.24,0.02
199602,9.36,0.14
199603,8.17,-1.06
199604,7.27,-1.94
199605,6.51,-2.70
199606,6.20,-3.01
199607,6.30,-2.91
199608,5.94,-3.28
199609,6.84,-2.37
199610,7.69,-1.55
199611,8.37,-0.86
199612,8.41,-0.83
199701,9.48,0.26
199702,9.44,0.22
199703,9.00,-0.23
199704,10.28,1.07
199705,9.99,0.78
199706,10.12,0.91
199707,10.82,1.61
199708,12.12,2.90
199709,13.54,4.33
199710,13.36,4.12
199711,12.78,3.55
199712,12.58,3.34
199801,11.20,1.98
199802,11.76,2.54
199803,12.24,3.01
199804,11.41,2.20
199805,11.28,2.07
199806,11.32,2.11
199807,11.12,1.91
199808,9.62,0.40
199809,9.08,-0.13
199810,10.35,1.11
199811,10.59,1.36
199812,10.76,1.52
199901,10.73,1.51
199902,9.96,0.74
199903,9.43,0.20
199904,10.30,1.09
199905,10.36,1.15
199906,10.50,1.29
199907,10.97,1.76
199908,12.93,3.71
199909,11.37,2.16
199910,9.42,0.18
199911,8.92,-0.31
199912,8.94,-0.30
200001,9.21,-0.01
200002,9.48,0.26
200003,10.35,1.12
200004,8.75,-0.46
200005,8.71,-0.50
200006,8.26,-0.95
200007,7.06,-2.15
200008,5.91,-3.31
200009,5.71,-3.50
200010,8.63,-0.61
200011,8.93,-0.30
200012,8.78,-0.46
200101,9.36,0.14
200102,9.86,0.64
200103,10.00,0.77
200104,10.38,1.17
200105,11.10,1.89
200106,11.22,2.01
200107,11.63,2.42
200108,11.75,2.53
200109,11.51,2.30
200110,8.77,-0.47
200111,9.34,0.11
200112,9.47,0.23
200201,8.56,-0.66
200202,7.65,-1.57
200203,6.71,-2.52
200204,6.50,-2.71
200205,5.48,-3.73
200206,5.13,-4.08
200207,5.03,-4.18
200208,4.15,-5.07
200209,5.99,-3.22
200210,6.90,-2.34
200211,6.53,-2.70
200212,6.40,-2.84
200301,6.41,-2.81
200302,7.28,-1.94
200303,8.14,-1.09
200304,8.16,-1.05
200305,8.55,-0.66
200306,8.49,-0.72
200307,8.15,-1.06
200308,9.14,-0.08
200309,7.61,-1.60
200310,7.13,-2.11
200311,7.29,-1.94
200312,7.96,-1.28
200401,7.89,-1.33
200402,7.80,-1.42
200403,6.96,-2.27
200404,8.93,-0.28
200405,8.87,-0.34
200406,9.23,0.02
200407,9.56,0.35
200408,8.87,-0.35
200409,8.92,-0.29
200410,9.76,0.52
200411,10.59,1.36
200412,10.43,1.19
200501,11.91,2.69
200502,12.09,2.87
200503,12.72,3.49
200504,11.35,2.14
200505,11.70,2.49
200506,12.79,3.58
200507,12.48,3.27
200508,13.13,3.91
200509,13.40,4.19
200510,13.15,3.91
200511,11.93,2.70
200512,11.45,2.21
200601,10.27,1.05
200602,9.36,0.14
200603,9.89,0.66
200604,9.35,0.14
200605,8.74,-0.47
200606,7.39,-1.82
200607,8.32,-0.89
200608,8.14,-1.08
200609,8.32,-0.89
200610,11.89,2.65
200611,11.88,2.65
200612,12.03,2.79
200701,11.85,2.63
200702,12.08,2.86
200703,11.57,2.34
200704,12.11,2.90
200705,12.33,3.12
200706,12.26,3.05
200707,11.92,2.71
200708,12.25,3.03
200709,12.11,2.90
200710,7.61,-1.63
200711,7.48,-1.75
200712,8.48,-0.76
200801,8.84,-0.38
200802,9.13,-0.09
200803,8.74,-0.49
200804,8.02,-1.19
200805,8.27,-0.94
200806,8.46,-0.75
200807,8.03,-1.18
200808,8.17,-1.05
200809,7.32,-1.89
200810,7.38,-1.86
200811,8.05,-1.18
200812,7.70,-1.54
200901,7.27,-1.95
200902,6.79,-2.43
200903,6.67,-2.56
200904,7.20,-2.01
200905,7.84,-1.37
200906,8.23,-0.98
200907,8.04,-1.17
200908,6.54,-2.68
200909,7.01,-2.20
200910,6.98,-2.26
200911,6.33,-2.90
200912,5.96,-3.28
201001,7.03,-2.19
201002,8.09,-1.13
201003,9.02,-0.21
201004,8.65,-0.56
201005,7.68,-1.53
201006,7.44,-1.77
201007,8.46,-0.75
201008,9.95,0.73
201009,9.64,0.43
201010,12.41,3.17
201011,12.84,3.61
201012,13.02,3.78
201101,11.76,2.54
201102,11.05,1.83
201103,10.45,1.22
201104,11.41,2.20
201105,12.11,2.90
201106,11.87,2.66
201107,12.62,3.41
201108,12.11,2.89
201109,13.30,4.09
201110,11.02,1.78
201111,10.79,1.56
201112,10.27,1.03
201201,10.45,1.23
201202,10.42,1.20
201203,10.20,0.97
201204,9.22,0.01
201205,8.40,-0.81
201206,8.21,-1.00
201207,7.84,-1.37
201208,8.20,-1.02
201209,7.42,-1.79
201210,7.44,-1.80
201211,7.15,-2.08
201212,7.45,-1.79
201301,7.69,-1.53
201302,7.67,-1.55
201303,7.94,-1.29
201304,8.20,-1.01
201305,8.81,-0.40
201306,8.83,-0.38
201307,8.86,-0.35
201308,8.76,-0.46
201309,11.54,2.33
201310,11.13,1.89
201311,12.06,2.83
201312,11.87,2.63
201401,11.66,2.44
201402,11.34,2.12
201403,10.97,1.74
201404,10.88,1.67
201405,11.43,2.22
201406,11.42,2.21
201407,10.97,1.76
201408,10.85,1.63
201409,9.50,0.29
201410,9.07,-0.17
201411,8.46,-0.77
201412,8.74,-0.50
201501,9.60,0.38
201502,9.98,0.76
201503,10.32,1.09
201504,10.47,1.26
201505,11.14,1.93
201506,12.50,3.29
201507,13.74,4.53
201508,13.76,4.54
201509,12.29,3.08
201510,14.68,5.44
201511,14.93,5.70
201512,14.87,5.63
201601,14.33,5.11
201602,14.30,5.08
201603,13.95,4.72
201604,14.33,5.12
201605,13.08,3.87
201606,11.89,2.68
201607,10.42,1.21
201608,9.97,0.75
201609,10.84,1.63
201610,9.13,-0.11
201611,9.07,-0.16
201612,8.98,-0.26
201701,9.44,0.22
201702,9.23,0.01
201703,9.50,0.27
201704,9.23,0.02
201705,9.03,-0.18
201706,8.87,-0.34
201707,9.42,0.21
201708,9.17,-0.05
201709,9.10,-0.11
201710,8.54,-0.70
201711,7.95,-1.28
201712,7.39,-1.85
201801,6.64,-2.58
201802,6.79,-2.43
201803,6.53,-2.70
201804,6.05,-3.16
201805,6.27,-2.94
201806,6.24,-2.97
201807,5.31,-3.90
201808,5.52,-3.70
201809,4.11,-5.10
201810,7.14,-2.10
201811,7.31,-1.92
201812,7.76,-1.48
201901,8.08,-1.14
201902,9.08,-0.14
201903,10.41,1.18
201904,10.66,1.45
201905,12.23,3.02
201906,12.55,3.34
201907,12.49,3.28
201908,11.99,2.77
201909,12.06,2.85
201910,8.87,-0.37
201911,10.40,1.17
201912,10.62,1.38
202001,10.29,1.07
202002,9.33,0.11
202003,8.40,-0.83
202004,8.32,-0.89
202005,6.05,-3.16
202006,6.01,-3.20
202007,6.24,-2.97
202008,5.99,-3.23
202009,5.95,-3.26
202010,6.17,-3.07
202011,4.65,-4.58
202012,4.35,-4.89
202101,4.46,-4.76
202102,4.27,-4.95
202103,4.27,-4.96
202104,4.48,-4.73
202105,4.49,-4.72
202106,4.44,-4.77
202107,5.62,-3.59
202108,7.47,-1.75
202109,8.97,-0.24
202110,9.95,0.71
202111,9.73,0.50
202112,10.12,0.88
202201,9.83,0.61
202202,9.82,0.60
202203,9.40,0.17
202204,8.99,-0.22
202205,8.98,-0.23
202206,9.12,-0.09
202207,8.20,-1.01
202208,7.54,-1.68
202209,7.01,-2.20
202210,6.86,-2.38
202211,7.34,-1.89
202212,7.23,-2.01
202301,8.42,-0.80
202302,8.71,-0.51
202303,10.13,0.90
202304,10.19,0.98
202305,10.95,1.74
202306,11.11,1.90
202307,10.64,1.43
202308,10.81,1.59
202309,10.76,1.55
202310,10.02,0.78
202311,10.10,0.87
202312,9.61,0.37
202401,8.84,-0.38
202402,9.16,-0.06
202403,9.35,0.12
