Weber County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,45.8,1.1
199002,46.2,1.5
199003,46.3,1.6
199004,46.3,1.6
199005,46.1,1.4
199006,46.3,1.6
199007,46.0,1.3
199008,46.2,1.5
199009,46.6,1.9
199010,46.5,1.8
199011,46.5,1.8
199012,45.7,1.0
199101,45.2,0.5
199102,45.7,1.0
199103,45.4,0.7
199104,44.8,0.1
199105,44.6,-0.1
199106,44.5,-0.2
199107,44.5,-0.2
199108,44.6,-0.1
199109,44.1,-0.6
199110,44.1,-0.6
199111,43.9,-0.8
199112,44.7,0.0
199201,44.9,0.2
199202,45.1,0.4
199203,45.7,1.0
199204,46.5,1.8
199205,47.2,2.5
199206,47.4,2.7
199207,47.0,2.3
199208,47.0,2.3
199209,47.0,2.3
199210,47.2,2.5
199211,46.9,2.2
199212,46.6,1.9
199301,46.4,1.7
199302,45.5,0.8
199303,45.1,0.4
199304,44.4,-0.3
199305,44.2,-0.5
199306,43.8,-0.9
199307,43.4,-1.3
199308,43.0,-1.7
199309,42.8,-1.9
199310,42.6,-2.1
199311,42.6,-2.1
199312,42.9,-1.8
199401,43.6,-1.1
199402,43.9,-0.8
199403,44.1,-0.6
199404,44.5,-0.2
199405,44.6,-0.1
199406,45.3,0.6
199407,46.1,1.4
199408,46.7,2.0
199409,47.2,2.5
199410,47.1,2.4
199411,46.9,2.2
199412,47.0,2.3
199501,46.8,2.1
199502,47.5,2.8
199503,47.3,2.6
199504,47.0,2.3
199505,46.3,1.6
199506,45.7,1.0
199507,45.3,0.6
199508,45.1,0.4
199509,44.9,0.2
199510,44.9,0.2
199511,46.0,1.3
199512,46.3,1.6
199601,46.2,1.5
199602,45.7,1.0
199603,45.7,1.0
199604,45.8,1.1
199605,46.0,1.3
199606,46.6,1.9
199607,46.9,2.2
199608,46.9,2.2
199609,46.6,1.9
199610,46.7,2.0
199611,46.4,1.7
199612,46.2,1.5
199701,46.0,1.3
199702,45.8,1.1
199703,45.8,1.1
199704,45.6,0.9
199705,45.9,1.2
199706,45.7,1.0
199707,45.4,0.7
199708,45.4,0.7
199709,45.7,1.0
199710,45.7,1.0
199711,45.6,0.9
199712,45.2,0.5
199801,45.5,0.8
199802,45.9,1.2
199803,45.6,0.9
199804,45.8,1.1
199805,45.4,0.7
199806,44.9,0.2
199807,45.3,0.6
199808,45.3,0.6
199809,45.5,0.8
199810,45.5,0.8
199811,45.6,0.9
199812,45.7,1.0
199901,45.8,1.1
199902,45.8,1.1
199903,46.2,1.5
199904,45.9,1.2
199905,45.8,1.1
199906,46.2,1.5
199907,46.0,1.3
199908,45.9,1.2
199909,45.5,0.8
199910,45.8,1.1
199911,46.3,1.6
199912,46.5,1.8
200001,46.5,1.8
200002,46.8,2.1
200003,46.7,2.0
200004,47.4,2.7
200005,47.8,3.1
200006,48.1,3.4
200007,48.3,3.6
200008,48.6,3.9
200009,48.7,4.0
200010,48.5,3.8
200011,47.3,2.6
200012,47.2,2.5
200101,46.7,2.0
200102,46.2,1.5
200103,46.4,1.7
200104,46.1,1.4
200105,46.2,1.5
200106,46.2,1.5
200107,46.1,1.4
200108,46.1,1.4
200109,46.5,1.8
200110,46.7,2.0
200111,47.6,2.9
200112,47.2,2.5
200201,47.2,2.5
200202,46.8,2.1
200203,46.3,1.6
200204,46.4,1.7
200205,46.2,1.5
200206,46.3,1.6
200207,46.5,1.8
200208,46.2,1.5
200209,45.8,1.1
200210,45.4,0.7
200211,45.0,0.3
200212,45.6,0.9
200301,46.5,1.8
200302,46.8,2.1
200303,47.3,2.6
200304,47.2,2.5
200305,47.3,2.6
200306,47.1,2.4
200307,47.2,2.5
200308,47.5,2.8
200309,47.5,2.8
200310,48.2,3.5
200311,47.9,3.2
200312,47.8,3.1
200401,46.8,2.1
200402,46.5,1.8
200403,46.8,2.1
200404,47.0,2.3
200405,46.8,2.1
200406,46.8,2.1
200407,46.4,1.7
200408,45.9,1.2
200409,45.8,1.1
200410,45.4,0.7
200411,45.7,1.0
200412,45.7,1.0
200501,46.4,1.7
200502,46.8,2.1
200503,46.4,1.7
200504,46.2,1.5
200505,46.1,1.4
200506,45.8,1.1
200507,45.9,1.2
200508,46.2,1.5
200509,46.2,1.5
200510,46.3,1.6
200511,46.5,1.8
200512,46.3,1.6
200601,46.1,1.4
200602,45.9,1.2
200603,45.8,1.1
200604,45.9,1.2
200605,46.2,1.5
200606,46.8,2.1
200607,46.9,2.2
200608,46.9,2.2
200609,46.7,2.0
200610,46.4,1.7
200611,46.4,1.7
200612,46.4,1.7
200701,45.9,1.2
200702,46.3,1.6
200703,46.8,2.1
200704,46.8,2.1
200705,46.8,2.1
200706,46.8,2.1
200707,46.8,2.1
200708,47.1,2.4
200709,47.4,2.7
200710,47.5,2.8
200711,47.7,3.0
200712,47.4,2.7
200801,47.3,2.6
200802,46.9,2.2
200803,46.3,1.6
200804,45.7,1.0
200805,45.3,0.6
200806,45.0,0.3
200807,44.7,0.0
200808,44.5,-0.2
200809,44.5,-0.2
200810,44.6,-0.1
200811,44.7,0.0
200812,44.9,0.2
200901,45.5,0.8
200902,45.7,1.0
200903,45.8,1.1
200904,46.2,1.5
200905,46.5,1.8
200906,46.4,1.7
200907,46.2,1.5
200908,46.0,1.3
200909,46.3,1.6
200910,45.9,1.2
200911,45.7,1.0
200912,45.2,0.5
201001,45.2,0.5
201002,45.1,0.4
201003,45.2,0.5
201004,45.2,0.5
201005,44.5,-0.2
201006,44.7,0.0
201007,44.7,0.0
201008,44.8,0.1
201009,44.6,-0.1
201010,45.2,0.5
201011,44.9,0.2
201012,45.7,1.0
201101,45.5,0.8
201102,45.3,0.6
201103,45.3,0.6
201104,45.0,0.3
201105,45.1,0.4
201106,44.9,0.2
201107,44.9,0.2
201108,45.1,0.4
201109,45.2,0.5
201110,45.1,0.4
201111,45.1,0.4
201112,44.8,0.1
201201,45.2,0.5
201202,45.5,0.8
201203,46.0,1.3
201204,46.7,2.0
201205,47.1,2.4
201206,47.6,2.9
201207,47.8,3.1
201208,48.0,3.3
201209,48.0,3.3
201210,47.9,3.2
201211,48.4,3.7
201212,48.6,3.9
201301,47.8,3.1
201302,47.4,2.7
201303,47.2,2.5
201304,46.7,2.0
201305,46.8,2.1
201306,46.8,2.1
201307,46.8,2.1
201308,46.7,2.0
201309,46.6,1.9
201310,46.3,1.6
201311,46.1,1.4
201312,45.7,1.0
201401,46.3,1.6
201402,46.9,2.2
201403,47.0,2.3
201404,47.2,2.5
201405,47.2,2.5
201406,46.9,2.2
201407,46.9,2.2
201408,46.4,1.7
201409,46.6,1.9
201410,47.1,2.4
201411,46.9,2.2
201412,47.7,3.0
201501,48.1,3.4
201502,48.5,3.8
201503,48.8,4.1
201504,49.0,4.3
201505,48.8,4.1
201506,49.4,4.7
201507,49.0,4.3
201508,49.2,4.5
201509,49.3,4.6
201510,49.5,4.8
201511,49.3,4.6
201512,48.9,4.2
201601,48.3,3.6
201602,47.9,3.2
201603,47.6,2.9
201604,47.7,3.0
201605,47.7,3.0
201606,47.6,2.9
201607,47.9,3.2
201608,48.0,3.3
201609,47.7,3.0
201610,47.4,2.7
201611,48.1,3.4
201612,47.9,3.2
201701,47.7,3.0
201702,47.8,3.1
201703,48.1,3.4
201704,47.7,3.0
201705,47.8,3.1
201706,47.6,2.9
201707,47.9,3.2
201708,48.0,3.3
201709,47.9,3.2
201710,47.5,2.8
201711,47.4,2.7
201712,47.8,3.1
201801,48.6,3.9
201802,48.3,3.6
201803,47.8,3.1
201804,48.1,3.4
201805,48.3,3.6
201806,48.2,3.5
201807,48.2,3.5
201808,48.2,3.5
201809,48.6,3.9
201810,48.7,4.0
201811,48.2,3.5
201812,47.9,3.2
201901,47.5,2.8
201902,47.2,2.5
201903,47.0,2.3
201904,47.0,2.3
201905,46.5,1.8
201906,46.2,1.5
201907,46.0,1.3
201908,46.0,1.3
201909,45.6,0.9
201910,45.0,0.3
201911,45.3,0.6
201912,45.4,0.7
202001,45.7,1.0
202002,45.8,1.1
202003,46.1,1.4
202004,46.0,1.3
202005,46.5,1.8
202006,46.4,1.7
202007,46.4,1.7
202008,46.7,2.0
202009,47.0,2.3
202010,47.8,3.1
202011,47.9,3.2
202012,47.8,3.1
202101,47.8,3.1
202102,47.9,3.2
202103,47.8,3.1
202104,47.7,3.0
202105,47.6,2.9
202106,48.4,3.7
202107,48.8,4.1
202108,48.3,3.6
202109,48.3,3.6
202110,48.1,3.4
202111,48.4,3.7
202112,48.6,3.9
202201,48.5,3.8
202202,48.3,3.6
202203,48.3,3.6
202204,48.2,3.5
202205,47.9,3.2
202206,47.3,2.6
202207,47.2,2.5
202208,47.5,2.8
202209,47.7,3.0
202210,47.9,3.2
202211,47.1,2.4
202212,46.9,2.2
202301,46.7,2.0
202302,46.6,1.9
202303,46.0,1.3
202304,45.9,1.2
202305,46.5,1.8
202306,46.2,1.5
202307,46.1,1.4
202308,45.9,1.2
202309,45.6,0.9
202310,45.5,0.8
202311,46.1,1.4
202312,46.6,1.9
202401,46.9,2.2
202402,47.4,2.7
202403,48.0,3.3
