Weber County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,360,69
199002,360,69
199003,360,69
199004,360,69
199005,360,69
199006,378,88
199007,309,18
199008,332,39
199009,380,87
199010,380,87
199011,380,87
199012,380,87
199101,380,89
199102,380,89
199103,380,89
199104,380,89
199105,380,89
199106,361,71
199107,368,77
199108,402,109
199109,348,55
199110,348,55
199111,348,55
199112,348,55
199201,348,57
199202,348,57
199203,348,57
199204,348,57
199205,364,73
199206,380,90
199207,294,3
199208,277,-16
199209,280,-13
199210,280,-13
199211,280,-13
199212,280,-13
199301,280,-11
199302,280,-11
199303,280,-11
199304,280,-11
199305,273,-18
199306,237,-53
199307,178,-113
199308,96,-197
199309,91,-202
199310,91,-202
199311,91,-202
199312,91,-202
199401,91,-200
199402,91,-200
199403,91,-200
199404,91,-200
199405,95,-196
199406,162,-128
199407,344,53
199408,493,200
199409,524,231
199410,524,231
199411,524,231
199412,524,231
199501,524,233
199502,524,233
199503,524,233
199504,524,233
199505,511,220
199506,448,158
199507,338,47
199508,274,-19
199509,255,-38
199510,255,-38
199511,255,-38
199512,255,-38
199601,255,-36
199602,255,-36
199603,255,-36
199604,255,-36
199605,255,-36
199606,316,26
199607,401,110
199608,397,104
199609,383,90
199610,383,90
199611,383,90
199612,383,90
199701,383,92
199702,383,92
199703,383,92
199704,383,92
199705,393,102
199706,364,74
199707,278,-13
199708,281,-12
199709,295,2
199710,295,2
199711,295,2
199712,295,2
199801,295,4
199802,295,4
199803,295,4
199804,295,4
199805,285,-6
199806,248,-42
199807,362,71
199808,374,81
199809,390,97
199810,390,97
199811,390,97
199812,390,97
199901,390,99
199902,390,99
199903,390,99
199904,390,99
199905,390,99
199906,412,122
199907,348,57
199908,334,41
199909,306,13
199910,306,13
199911,306,13
199912,306,13
200001,306,15
200002,306,15
200003,306,15
200004,306,15
200005,314,23
200006,350,60
200007,433,142
200008,510,217
200009,514,221
200010,514,221
200011,514,221
200012,514,221
200101,514,223
200102,514,223
200103,514,223
200104,514,223
200105,518,227
200106,507,217
200107,474,183
200108,475,182
200109,522,229
200110,522,229
200111,522,229
200112,522,229
200201,522,231
200202,522,231
200203,522,231
200204,522,231
200205,510,219
200206,528,238
200207,601,310
200208,501,208
200209,458,165
200210,458,165
200211,458,165
200212,458,165
200301,458,167
200302,458,167
200303,458,167
200304,458,167
200305,465,174
200306,443,153
200307,471,180
200308,562,269
200309,561,268
200310,561,268
200311,561,268
200312,561,268
200401,561,270
200402,561,270
200403,561,270
200404,561,270
200405,554,263
200406,550,260
200407,409,118
200408,284,-9
200409,278,-15
200410,278,-15
200411,278,-15
200412,278,-15
200501,278,-13
200502,278,-13
200503,278,-13
200504,278,-13
200505,278,-13
200506,246,-44
200507,298,7
200508,341,48
200509,343,50
200510,343,50
200511,343,50
200512,343,50
200601,343,52
200602,343,52
