Weber County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7317,-352
199002,7165,-502
199003,7148,-521
199004,7154,-514
199005,7218,-449
199006,7181,-487
199007,7195,-472
199008,7180,-487
199009,7080,-586
199010,7100,-566
199011,7108,-560
199012,7416,-253
199101,7573,-96
199102,7428,-239
199103,7542,-127
199104,7752,84
199105,7802,135
199106,7843,175
199107,7841,174
199108,7828,161
199109,7967,301
199110,7944,278
199111,8017,349
199112,7734,65
199201,7640,-29
199202,7575,-92
199203,7361,-308
199204,7083,-585
199205,6826,-841
199206,6790,-878
199207,6831,-836
199208,6836,-831
199209,6813,-853
199210,6739,-927
199211,6866,-802
199212,6971,-698
199301,7052,-617
199302,7340,-327
199303,7501,-168
199304,7751,83
199305,7804,137
199306,7938,270
199307,8025,358
199308,8090,423
199309,8131,465
199310,8237,571
199311,8212,544
199312,8103,434
199401,7840,171
199402,7739,72
199403,7664,-5
199404,7535,-133
199405,7505,-162
199406,7329,-339
199407,7196,-471
199408,7116,-551
199409,6994,-672
199410,7025,-641
199411,7080,-588
199412,7033,-636
199501,7117,-552
199502,6889,-778
199503,6976,-693
199504,7084,-584
199505,7309,-358
199506,7458,-210
199507,7493,-174
199508,7507,-160
199509,7555,-111
199510,7555,-111
199511,7187,-481
199512,7076,-593
199601,7089,-580
199602,7267,-400
199603,7250,-419
199604,7230,-438
199605,7145,-522
199606,6999,-669
199607,6967,-700
199608,6969,-698
199609,7071,-595
199610,7026,-640
199611,7137,-531
199612,7212,-457
199701,7269,-400
199702,7350,-317
199703,7343,-326
199704,7425,-243
199705,7312,-355
199706,7350,-318
199707,7383,-284
199708,7381,-286
199709,7281,-385
199710,7289,-377
199711,7328,-340
199712,7477,-192
199801,7356,-313
199802,7234,-433
199803,7345,-324
199804,7276,-392
199805,7401,-266
199806,7553,-115
199807,7517,-150
199808,7513,-154
199809,7467,-199
199810,7477,-189
199811,7422,-246
199812,7394,-275
199901,7375,-294
199902,7373,-294
199903,7234,-435
199904,7316,-352
199905,7368,-299
199906,7249,-419
199907,7260,-407
199908,7265,-402
199909,7386,-280
199910,7271,-395
199911,7107,-561
199912,7009,-660
200001,7006,-663
200002,6906,-761
200003,6965,-704
200004,6715,-953
200005,6554,-1113
200006,6492,-1176
200007,6479,-1188
200008,6463,-1204
200009,6428,-1238
200010,6511,-1155
200011,6953,-715
200012,6970,-699
200101,7158,-511
200102,7327,-340
200103,7249,-420
200104,7359,-309
200105,7321,-346
200106,7335,-333
200107,7338,-329
200108,7338,-329
200109,7219,-447
200110,7158,-508
200111,6835,-833
200112,6969,-700
200201,6989,-680
200202,7101,-566
200203,7287,-382
200204,7251,-417
200205,7344,-323
200206,7322,-346
200207,7314,-353
200208,7340,-327
200209,7438,-228
200210,7583,-83
200211,7718,50
200212,7500,-169
200301,7161,-508
200302,7055,-612
200303,6887,-782
200304,6925,-743
200305,6893,-774
200306,6920,-748
200307,6920,-747
200308,6895,-772
200309,6899,-767
200310,6657,-1009
200311,6756,-912
200312,6769,-900
200401,7170,-499
200402,7253,-414
200403,7145,-524
200404,7091,-577
200405,7133,-534
200406,7140,-528
200407,7155,-512
200408,7207,-460
200409,7247,-419
200410,7393,-273
200411,7262,-406
200412,7290,-379
200501,7010,-659
200502,6881,-786
200503,7050,-619
200504,7116,-552
200505,7124,-543
200506,7222,-446
200507,7214,-453
200508,7182,-485
200509,7167,-499
200510,7122,-544
200511,7062,-606
200512,7136,-533
200601,7200,-469
200602,7268,-399
200603,7330,-339
200604,7262,-406
200605,7170,-497
200606,7028,-640
200607,7021,-646
200608,7026,-641
200609,7078,-588
200610,7195,-471
200611,7223,-445
200612,7187,-482
200701,7396,-273
200702,7255,-412
200703,7058,-611
200704,7057,-611
200705,7071,-596
200706,7077,-591
200707,7077,-590
200708,7054,-613
200709,6976,-690
200710,6908,-758
200711,6848,-820
200712,6966,-703
200801,6993,-676
200802,7119,-548
200803,7361,-308
200804,7586,-82
200805,7726,59
200806,7794,126
200807,7802,135
200808,7812,145
200809,7814,148
200810,7793,127
200811,7750,82
200812,7669,0
200901,7448,-221
200902,7403,-264
200903,7334,-335
200904,7204,-464
200905,7089,-578
200906,7127,-541
200907,7139,-528
200908,7174,-493
200909,7084,-582
200910,7246,-420
200911,7304,-364
200912,7488,-181
201001,7507,-162
201002,7527,-140
201003,7479,-190
201004,7505,-163
201005,7729,62
201006,7696,28
201007,7692,25
201008,7672,5
201009,7726,60
201010,7506,-160
201011,7625,-43
201012,7320,-349
201101,7399,-270
201102,7450,-217
201103,7477,-192
201104,7564,-104
201105,7544,-123
201106,7582,-86
201107,7583,-84
201108,7563,-104
201109,7532,-134
201110,7572,-94
201111,7560,-108
201112,7682,13
201201,7535,-134
201202,7434,-233
201203,7259,-410
201204,7012,-656
201205,6835,-832
201206,6735,-933
201207,6723,-944
201208,6715,-952
201209,6709,-957
201210,6738,-928
201211,6545,-1123
201212,6502,-1167
201301,6786,-883
201302,6908,-759
201303,7016,-653
201304,7196,-472
201305,7162,-505
201306,7151,-517
201307,7146,-521
201308,7150,-517
201309,7193,-473
201310,7274,-392
201311,7348,-320
201312,7524,-145
201401,7292,-377
201402,7098,-569
201403,7054,-615
201404,6987,-681
201405,6974,-693
201406,7037,-631
201407,7044,-623
201408,7097,-570
201409,7062,-604
201410,6860,-806
201411,6924,-744
201412,6625,-1044
201501,6482,-1187
201502,6355,-1312
201503,6232,-1437
201504,6183,-1485
201505,6249,-1418
201506,6133,-1535
201507,6165,-1502
201508,6130,-1537
201509,6107,-1559
201510,6049,-1617
201511,6116,-1552
201512,6274,-1395
201601,6475,-1194
201602,6626,-1041
201603,6731,-938
201604,6674,-994
201605,6682,-985
201606,6702,-966
201607,6673,-994
201608,6665,-1002
201609,6747,-919
201610,6824,-842
201611,6587,-1081
201612,6649,-1020
201701,6731,-938
201702,6693,-974
201703,6600,-1069
201704,6732,-936
201705,6706,-961
201706,6728,-940
201707,6718,-949
201708,6710,-957
201709,6722,-944
201710,6895,-771
201711,6910,-758
201712,6770,-899
201801,6485,-1184
201802,6580,-1087
201803,6750,-919
201804,6663,-1005
201805,6583,-1084
201806,6599,-1069
201807,6599,-1068
201808,6600,-1067
201809,6500,-1166
201810,6458,-1208
201811,6659,-1009
201812,6740,-929
201901,6918,-751
201902,7010,-657
201903,7065,-604
201904,7077,-591
201905,7250,-417
201906,7306,-362
201907,7316,-351
201908,7318,-349
201909,7407,-259
201910,7627,-39
201911,7538,-130
201912,7478,-191
202001,7392,-277
202002,7366,-301
202003,7259,-410
202004,7272,-396
202005,7121,-546
202006,7131,-537
202007,7132,-535
202008,7116,-551
202009,7047,-619
202010,6735,-931
202011,6722,-946
202012,6737,-932
202101,6761,-908
202102,6708,-959
202103,6753,-916
202104,6788,-880
202105,6819,-848
202106,6678,-990
202107,6667,-1000
202108,6699,-968
202109,6692,-974
202110,6763,-903
202111,6660,-1008
202112,6583,-1086
202201,6621,-1048
202202,6702,-965
202203,6678,-991
202204,6732,-936
202205,6845,-822
202206,6935,-733
202207,6935,-732
202208,6913,-754
202209,6871,-795
202210,6766,-900
202211,7057,-611
202212,7156,-513
202301,7199,-470
202302,7227,-440
202303,7475,-194
202304,7490,-178
202305,7306,-361
202306,7360,-308
202307,7360,-307
202308,7374,-293
202309,7455,-211
202310,7493,-173
202311,7273,-395
202312,7082,-587
202401,6970,-699
202402,6792,-875
202403,6571,-1098
