Weber County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,57.0,1.7
199002,57.5,2.2
199003,57.6,2.3
199004,57.6,2.3
199005,57.4,2.1
199006,57.7,2.4
199007,57.4,2.1
199008,57.5,2.2
199009,57.9,2.6
199010,57.9,2.6
199011,57.8,2.5
199012,57.1,1.8
199101,56.6,1.3
199102,57.1,1.8
199103,56.8,1.5
199104,56.1,0.8
199105,55.9,0.6
199106,55.6,0.3
199107,55.6,0.3
199108,55.7,0.4
199109,55.1,-0.2
199110,55.2,-0.1
199111,54.8,-0.5
199112,55.5,0.2
199201,55.8,0.5
199202,55.9,0.6
199203,56.5,1.2
199204,57.5,2.2
199205,58.4,3.1
199206,58.6,3.3
199207,58.2,2.9
199208,58.2,2.9
199209,58.4,3.1
199210,58.5,3.2
199211,58.3,3.0
199212,57.9,2.6
199301,57.6,2.3
199302,56.7,1.4
199303,56.1,0.8
199304,55.3,0.0
199305,55.1,-0.2
199306,54.5,-0.8
199307,54.1,-1.2
199308,53.6,-1.7
199309,53.5,-1.8
199310,53.0,-2.3
199311,53.3,-2.0
199312,53.7,-1.6
199401,54.4,-0.9
199402,54.8,-0.5
199403,55.2,-0.1
199404,55.6,0.3
199405,55.8,0.5
199406,56.7,1.4
199407,57.7,2.4
199408,58.4,3.1
199409,58.9,3.6
199410,58.7,3.4
199411,58.4,3.1
199412,58.4,3.1
199501,58.1,2.8
199502,58.7,3.4
199503,58.3,3.0
199504,58.0,2.7
199505,57.1,1.8
199506,56.3,1.0
199507,55.8,0.5
199508,55.6,0.3
199509,55.4,0.1
199510,55.6,0.3
199511,56.8,1.5
199512,57.1,1.8
199601,57.2,1.9
199602,56.6,1.3
199603,56.8,1.5
199604,56.9,1.6
199605,57.2,1.9
199606,58.0,2.7
199607,58.3,3.0
199608,58.3,3.0
199609,57.9,2.6
199610,57.9,2.6
199611,57.6,2.3
199612,57.3,2.0
199701,57.1,1.8
199702,56.8,1.5
199703,57.0,1.7
199704,56.7,1.4
199705,57.2,1.9
199706,56.8,1.5
199707,56.5,1.2
199708,56.3,1.0
199709,56.4,1.1
199710,56.4,1.1
199711,56.3,1.0
199712,56.1,0.8
199801,56.4,1.1
199802,56.6,1.3
199803,56.3,1.0
199804,56.4,1.1
199805,55.9,0.6
199806,55.3,0.0
199807,55.7,0.4
199808,55.8,0.5
199809,56.1,0.8
199810,55.9,0.6
199811,56.1,0.8
199812,56.1,0.8
199901,56.2,0.9
199902,56.5,1.2
199903,56.9,1.6
199904,56.6,1.3
199905,56.5,1.2
199906,57.1,1.8
199907,56.9,1.6
199908,56.9,1.6
199909,56.7,1.4
199910,57.3,2.0
199911,58.1,2.8
199912,58.3,3.0
200001,58.3,3.0
200002,58.5,3.2
200003,58.2,2.9
200004,59.1,3.8
200005,59.6,4.3
200006,60.0,4.7
200007,60.3,5.0
200008,60.5,5.2
200009,60.5,5.2
200010,59.9,4.6
200011,58.4,3.1
200012,58.3,3.0
200101,57.9,2.6
200102,57.4,2.1
200103,57.6,2.3
200104,57.2,1.9
200105,57.4,2.1
200106,57.3,2.0
200107,57.1,1.8
200108,57.2,1.9
200109,57.8,2.5
200110,58.2,2.9
200111,59.1,3.8
200112,58.6,3.3
200201,58.5,3.2
200202,58.4,3.1
200203,57.9,2.6
200204,58.1,2.8
200205,57.8,2.5
200206,57.9,2.6
200207,58.1,2.8
200208,57.8,2.5
200209,57.1,1.8
200210,56.6,1.3
200211,56.3,1.0
200212,56.9,1.6
200301,57.8,2.5
200302,58.0,2.7
200303,58.3,3.0
200304,58.2,2.9
200305,58.2,2.9
200306,58.0,2.7
200307,58.2,2.9
200308,58.4,3.1
200309,58.6,3.3
200310,59.4,4.1
200311,58.9,3.6
200312,58.9,3.6
200401,57.8,2.5
200402,57.5,2.2
200403,57.9,2.6
200404,58.1,2.8
200405,57.9,2.6
200406,57.9,2.6
200407,57.3,2.0
200408,56.8,1.5
200409,56.6,1.3
200410,55.9,0.6
200411,56.4,1.1
200412,56.4,1.1
200501,57.1,1.8
200502,57.6,2.3
200503,57.0,1.7
200504,56.9,1.6
200505,56.9,1.6
200506,56.5,1.2
200507,56.7,1.4
200508,56.9,1.6
200509,57.0,1.7
200510,57.3,2.0
200511,57.5,2.2
200512,57.4,2.1
200601,57.3,2.0
200602,57.2,1.9
200603,57.0,1.7
200604,57.2,1.9
200605,57.5,2.2
200606,58.2,2.9
200607,58.3,3.0
200608,58.4,3.1
200609,58.1,2.8
200610,57.8,2.5
200611,57.7,2.4
200612,57.8,2.5
200701,57.4,2.1
200702,57.7,2.4
200703,58.4,3.1
200704,58.4,3.1
200705,58.5,3.2
200706,58.5,3.2
200707,58.6,3.3
200708,58.8,3.5
200709,59.1,3.8
200710,59.4,4.1
200711,59.7,4.4
200712,59.3,4.0
200801,59.2,3.9
200802,58.9,3.6
200803,58.1,2.8
200804,57.5,2.2
200805,56.9,1.6
200806,56.5,1.2
200807,56.2,0.9
200808,56.2,0.9
200809,56.2,0.9
200810,56.3,1.0
200811,56.2,0.9
200812,56.5,1.2
200901,57.0,1.7
200902,57.2,1.9
200903,57.4,2.1
200904,57.6,2.3
200905,58.0,2.7
200906,57.7,2.4
200907,57.5,2.2
200908,57.2,1.9
200909,57.6,2.3
200910,57.0,1.7
200911,57.0,1.7
200912,56.5,1.2
201001,56.4,1.1
201002,56.3,1.0
201003,56.4,1.1
201004,56.4,1.1
201005,55.6,0.3
201006,55.8,0.5
201007,55.9,0.6
201008,56.0,0.7
201009,55.9,0.6
201010,56.6,1.3
201011,56.0,0.7
201012,56.7,1.4
201101,56.5,1.2
201102,56.4,1.1
201103,56.2,0.9
201104,55.9,0.6
201105,55.9,0.6
201106,55.8,0.5
201107,55.7,0.4
201108,55.9,0.6
201109,55.9,0.6
201110,55.8,0.5
201111,55.9,0.6
201112,55.8,0.5
201201,56.3,1.0
201202,56.5,1.2
201203,57.1,1.8
201204,58.0,2.7
201205,58.6,3.3
201206,59.2,3.9
201207,59.5,4.2
201208,59.7,4.4
201209,59.7,4.4
201210,59.6,4.3
201211,60.2,4.9
201212,60.2,4.9
201301,59.3,4.0
201302,59.1,3.8
201303,58.8,3.5
201304,58.1,2.8
201305,58.2,2.9
201306,58.2,2.9
201307,58.2,2.9
201308,58.1,2.8
201309,57.7,2.4
201310,57.5,2.2
201311,57.2,1.9
201312,56.9,1.6
201401,57.5,2.2
201402,58.0,2.7
201403,58.1,2.8
201404,58.3,3.0
201405,58.3,3.0
201406,57.9,2.6
201407,57.8,2.5
201408,57.3,2.0
201409,57.5,2.2
201410,58.2,2.9
201411,58.0,2.7
201412,58.7,3.4
201501,59.0,3.7
201502,59.6,4.3
201503,60.1,4.8
201504,60.2,4.9
201505,59.9,4.6
201506,60.6,5.3
201507,60.1,4.8
201508,60.5,5.2
201509,60.6,5.3
201510,60.6,5.3
201511,60.4,5.1
201512,60.0,4.7
201601,59.4,4.1
201602,58.9,3.6
201603,58.5,3.2
201604,58.5,3.2
201605,58.6,3.3
201606,58.5,3.2
201607,58.9,3.6
201608,59.1,3.8
201609,58.8,3.5
201610,58.6,3.3
201611,59.3,4.0
201612,59.2,3.9
201701,59.0,3.7
201702,59.0,3.7
201703,59.3,4.0
201704,59.0,3.7
201705,59.2,3.9
201706,59.1,3.8
201707,59.3,4.0
201708,59.3,4.0
201709,59.2,3.9
201710,58.9,3.6
201711,58.8,3.5
201712,59.3,4.0
201801,60.1,4.8
201802,59.8,4.5
201803,59.3,4.0
201804,59.6,4.3
201805,59.8,4.5
201806,59.7,4.4
201807,59.7,4.4
201808,59.7,4.4
201809,60.3,5.0
201810,60.2,4.9
201811,59.6,4.3
201812,59.2,3.9
201901,58.7,3.4
201902,58.4,3.1
201903,58.3,3.0
201904,58.1,2.8
201905,57.4,2.1
201906,57.1,1.8
201907,56.8,1.5
201908,56.8,1.5
201909,56.2,0.9
201910,55.8,0.5
201911,56.1,0.8
201912,56.2,0.9
202001,56.3,1.0
202002,56.6,1.3
202003,56.9,1.6
202004,56.9,1.6
202005,57.6,2.3
202006,57.6,2.3
202007,57.6,2.3
202008,58.0,2.7
202009,58.4,3.1
202010,59.3,4.0
202011,59.3,4.0
202012,59.5,4.2
202101,59.5,4.2
202102,59.5,4.2
202103,59.5,4.2
202104,59.5,4.2
202105,59.4,4.1
202106,60.2,4.9
202107,60.6,5.3
202108,60.0,4.7
202109,60.0,4.7
202110,59.6,4.3
202111,59.8,4.5
202112,60.0,4.7
202201,60.0,4.7
202202,60.0,4.7
202203,60.1,4.8
202204,59.9,4.6
202205,59.5,4.2
202206,59.0,3.7
202207,58.9,3.6
202208,59.2,3.9
202209,59.4,4.1
202210,59.9,4.6
202211,59.1,3.8
202212,58.8,3.5
202301,58.5,3.2
202302,58.3,3.0
202303,57.5,2.2
202304,57.5,2.2
202305,58.0,2.7
202306,57.6,2.3
202307,57.4,2.1
202308,57.1,1.8
202309,56.5,1.2
202310,56.3,1.0
202311,57.0,1.7
202312,57.5,2.2
202401,57.9,2.6
202402,58.3,3.0
202403,58.9,3.6
