Weber County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.5,0.4
199002,35.0,0.9
199003,34.9,0.8
199004,34.9,0.8
199005,34.7,0.6
199006,34.8,0.7
199007,34.7,0.6
199008,34.7,0.6
199009,35.2,1.1
199010,35.1,1.0
199011,35.1,1.0
199012,34.2,0.1
199101,33.8,-0.3
199102,34.2,0.1
199103,33.9,-0.2
199104,33.4,-0.7
199105,33.4,-0.7
199106,33.4,-0.7
199107,33.4,-0.7
199108,33.5,-0.6
199109,33.1,-1.0
199110,33.1,-1.0
199111,33.0,-1.1
199112,33.9,-0.2
199201,34.1,0.0
199202,34.4,0.3
199203,34.9,0.8
199204,35.5,1.4
199205,36.1,2.0
199206,36.1,2.0
199207,35.8,1.7
199208,35.7,1.6
199209,35.7,1.6
199210,35.9,1.8
199211,35.5,1.4
199212,35.2,1.1
199301,35.1,1.0
199302,34.3,0.2
199303,34.0,-0.1
199304,33.5,-0.6
199305,33.4,-0.7
199306,33.0,-1.1
199307,32.6,-1.5
199308,32.3,-1.8
199309,32.2,-1.9
199310,32.1,-2.0
199311,32.0,-2.1
199312,32.2,-1.9
199401,32.9,-1.2
199402,33.1,-1.0
199403,33.1,-1.0
199404,33.3,-0.8
199405,33.4,-0.7
199406,33.8,-0.3
199407,34.5,0.4
199408,35.0,0.9
199409,35.4,1.3
199410,35.4,1.3
199411,35.5,1.4
199412,35.7,1.6
199501,35.6,1.5
199502,36.2,2.1
199503,36.2,2.1
199504,35.9,1.8
199505,35.5,1.4
199506,35.1,1.0
199507,34.8,0.7
199508,34.6,0.5
199509,34.5,0.4
199510,34.2,0.1
199511,35.1,1.0
199512,35.4,1.3
199601,35.3,1.2
199602,34.7,0.6
199603,34.7,0.6
199604,34.7,0.6
199605,34.8,0.7
199606,35.2,1.1
199607,35.5,1.4
199608,35.5,1.4
199609,35.2,1.1
199610,35.4,1.3
199611,35.2,1.1
199612,35.1,1.0
199701,35.0,0.9
199702,34.8,0.7
199703,34.7,0.6
199704,34.5,0.4
199705,34.7,0.6
199706,34.6,0.5
199707,34.3,0.2
199708,34.6,0.5
199709,35.0,0.9
199710,35.0,0.9
199711,34.9,0.8
199712,34.3,0.2
199801,34.6,0.5
199802,35.2,1.1
199803,34.9,0.8
199804,35.1,1.0
199805,34.9,0.8
199806,34.5,0.4
199807,34.9,0.8
199808,34.8,0.7
199809,35.0,0.9
199810,35.1,1.0
199811,35.2,1.1
199812,35.3,1.2
199901,35.3,1.2
199902,35.1,1.0
199903,35.4,1.3
199904,35.2,1.1
