Weber County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.24,-3.48
199002,-3.50,-3.76
199003,-3.75,-3.95
199004,-3.59,-3.73
199005,-3.09,-3.28
199006,-2.69,-2.76
199007,-2.30,-2.41
199008,-2.19,-2.25
199009,-2.27,-2.45
199010,-2.28,-2.55
199011,-2.16,-2.31
199012,-2.33,-2.38
199101,-2.56,-2.80
199102,-2.50,-2.76
199103,0.11,-0.09
199104,0.36,0.22
199105,1.27,1.08
199106,1.32,1.25
199107,1.26,1.15
199108,0.97,0.91
199109,1.54,1.36
199110,1.79,1.52
199111,2.02,1.87
199112,-0.55,-0.60
199201,-1.04,-1.28
199202,-1.01,-1.27
199203,-1.93,-2.13
199204,-2.83,-2.97
199205,-3.46,-3.65
199206,-3.46,-3.53
199207,-2.99,-3.10
199208,-3.08,-3.14
199209,-3.15,-3.33
199210,0.54,0.27
199211,0.71,0.56
199212,0.85,0.80
199301,1.39,1.15
199302,1.45,1.19
199303,1.56,1.36
199304,1.49,1.35
199305,1.84,1.65
199306,2.80,2.73
199307,3.98,3.87
199308,4.62,4.56
199309,3.97,3.79
199310,4.20,3.93
199311,-0.23,-0.38
199312,-0.78,-0.83
199401,-1.13,-1.37
199402,-0.26,-0.52
199403,-0.22,-0.42
199404,-0.22,-0.36
199405,-0.64,-0.83
199406,-1.39,-1.46
199407,-2.37,-2.48
199408,-2.84,-2.90
199409,-2.86,-3.04
199410,0.74,0.47
199411,1.67,1.52
199412,1.52,1.47
199501,2.25,2.01
199502,1.73,1.47
199503,2.66,2.46
199504,2.20,2.06
199505,3.12,2.93
199506,3.58,3.51
199507,3.89,3.78
199508,3.63,3.57
199509,3.01,2.83
199510,2.29,2.02
199511,1.52,1.37
199512,1.29,1.24
199601,2.45,2.21
199602,2.25,1.99
199603,2.05,1.85
199604,1.87,1.73
199605,2.08,1.89
199606,-0.62,-0.69
199607,-0.72,-0.83
199608,-1.32,-1.38
199609,-0.03,-0.21
199610,0.25,-0.02
199611,0.56,0.41
199612,2.40,2.35
199701,3.53,3.29
199702,2.77,2.51
199703,1.81,1.61
199704,1.83,1.69
199705,1.61,1.42
199706,1.84,1.77
199707,2.19,2.08
199708,2.86,2.80
199709,3.25,3.07
199710,2.91,2.64
199711,2.19,2.04
199712,1.55,1.50
199801,2.71,2.47
199802,3.54,3.28
199803,3.36,3.16
199804,2.99,2.85
199805,3.59,3.40
199806,4.88,4.81
