Weber County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.24,-3.43
199002,-3.50,-3.79
199003,-3.75,-4.14
199004,-3.59,-3.92
199005,-3.09,-3.44
199006,-2.69,-2.95
199007,-2.30,-2.54
199008,-2.19,-2.42
199009,-2.27,-2.47
199010,-2.28,-2.49
199011,-2.16,-2.24
199012,-2.33,-2.38
199101,-2.56,-2.75
199102,-2.50,-2.79
199103,-2.13,-2.52
199104,-1.65,-1.98
199105,1.27,0.92
199106,1.32,1.06
199107,1.26,1.02
199108,0.97,0.74
199109,1.54,1.34
199110,1.79,1.58
199111,2.02,1.94
199112,1.26,1.21
199201,0.58,0.39
199202,-1.01,-1.30
199203,-1.93,-2.32
199204,-2.83,-3.16
199205,-3.46,-3.81
199206,-3.46,-3.72
199207,-2.99,-3.23
199208,-3.08,-3.31
199209,-3.15,-3.35
199210,-2.29,-2.50
199211,-1.82,-1.90
199212,-1.42,-1.47
199301,-0.64,-0.83
199302,1.45,1.16
199303,1.56,1.17
199304,1.49,1.16
199305,1.84,1.49
199306,2.80,2.54
199307,3.98,3.74
199308,4.62,4.39
199309,3.97,3.77
199310,4.20,3.99
199311,3.54,3.46
199312,2.61,2.56
199401,1.91,1.72
199402,2.46,2.17
199403,2.22,1.83
199404,1.97,1.64
199405,1.33,0.98
199406,-1.39,-1.65
199407,-2.37,-2.61
199408,-2.84,-3.07
199409,-2.86,-3.06
199410,-1.83,-2.04
199411,-0.63,-0.71
199412,1.52,1.47
199501,2.25,2.06
199502,1.73,1.44
199503,2.66,2.27
199504,2.20,1.87
199505,3.12,2.77
199506,3.58,3.32
199507,3.89,3.65
199508,3.63,3.40
199509,3.01,2.81
199510,2.29,2.08
199511,1.52,1.44
199512,1.29,1.24
199601,2.45,2.26
199602,2.25,1.96
199603,2.05,1.66
199604,1.87,1.54
199605,2.08,1.73
199606,1.24,0.98
199607,0.95,0.71
199608,-1.32,-1.55
199609,-1.21,-1.41
199610,-0.84,-1.05
199611,0.56,0.48
199612,2.40,2.35
199701,3.53,3.34
199702,2.77,2.48
199703,1.81,1.42
199704,1.83,1.50
199705,1.61,1.26
199706,1.84,1.58
199707,2.19,1.95
199708,2.86,2.63
199709,3.25,3.05
199710,2.91,2.70
199711,2.19,2.11
199712,1.55,1.50
199801,2.71,2.52
199802,3.54,3.25
199803,3.36,2.97
199804,2.99,2.66
199805,3.59,3.24
199806,4.88,4.62
199807,5.47,5.23
199808,5.49,5.26
199809,4.96,4.76
199810,4.64,4.43
199811,3.86,3.78
199812,2.90,2.85
199901,2.97,2.78
199902,3.02,2.73
199903,2.04,1.65
199904,2.73,2.40
199905,3.25,2.90
199906,3.30,3.04
199907,3.31,3.07
199908,2.97,2.74
199909,2.35,2.15
199910,1.19,0.98
199911,-2.22,-2.30
199912,-2.87,-2.92
200001,-2.73,-2.92
200002,-1.89,-2.18
200003,-1.78,-2.17
200004,-2.41,-2.74
200005,-2.54,-2.89
200006,-2.99,-3.25
200007,-3.60,-3.84
200008,-2.58,-2.81
200009,-2.41,-2.61
200010,-1.81,-2.02
200011,-1.97,-2.05
200012,-2.06,-2.11
200101,-2.54,-2.73
200102,-1.96,-2.25
200103,-2.41,-2.80
200104,-1.99,-2.32
200105,-2.67,-3.02
200106,-2.85,-3.11
200107,-2.78,-3.02
200108,-3.02,-3.25
200109,-3.46,-3.66
200110,-3.33,-3.54
200111,-2.76,-2.84
200112,-2.28,-2.33
200201,-2.17,-2.36
200202,-2.64,-2.93
200203,-2.35,-2.74
200204,-1.97,-2.30
200205,-2.01,-2.36
200206,-2.44,-2.70
200207,-3.07,-3.31
200208,-3.58,-3.81
200209,-2.79,-2.99
200210,-2.57,-2.78
200211,-2.54,-2.62
200212,-2.67,-2.72
200301,-3.07,-3.26
200302,-2.94,-3.23
200303,-2.99,-3.38
200304,-3.12,-3.45
200305,-2.83,-3.18
200306,-2.78,-3.04
200307,-2.96,-3.20
200308,-3.02,-3.25
200309,-3.07,-3.27
200310,-3.51,-3.72
200311,-2.80,-2.88
200312,-1.71,-1.76
200401,-1.78,-1.97
200402,-1.15,-1.44
200403,-1.97,-2.36
200404,-2.08,-2.41
200405,-1.87,-2.22
200406,-1.58,-1.84
200407,-1.33,-1.57
200408,-1.01,-1.24
200409,-0.92,-1.12
200410,2.38,2.17
200411,2.40,2.32
200412,2.54,2.49
200501,2.93,2.74
200502,2.71,2.42
200503,2.95,2.56
200504,3.03,2.70
200505,3.73,3.38
200506,4.11,3.85
200507,3.99,3.75
200508,3.65,3.42
200509,2.87,2.67
200510,2.43,2.22
200511,2.04,1.96
200512,2.38,2.33
200601,3.08,2.89
200602,2.48,2.19
200603,3.09,2.70
200604,2.90,2.57
200605,2.15,1.80
200606,1.62,1.36
200607,0.82,0.58
200608,0.65,0.42
200609,1.45,1.25
200610,1.66,1.45
200611,1.61,1.53
200612,0.97,0.92
200701,-1.08,-1.27
200702,-0.75,-1.04
200703,-1.27,-1.66
200704,-1.76,-2.09
200705,-2.13,-2.48
200706,-2.21,-2.47
200707,-2.58,-2.82
200708,-2.70,-2.93
200709,-2.27,-2.47
200710,-1.89,-2.10
200711,-2.59,-2.67
200712,-1.99,-2.04
200801,-1.08,-1.27
200802,1.37,1.08
200803,0.88,0.49
200804,-0.81,-1.14
200805,-0.74,-1.09
200806,-0.91,-1.17
200807,-1.26,-1.50
200808,-1.40,-1.63
200809,-1.36,-1.56
200810,-1.36,-1.57
200811,-1.65,-1.73
200812,-1.59,-1.64
200901,-1.05,-1.24
200902,-0.60,-0.89
200903,0.67,0.28
200904,1.02,0.69
200905,0.66,0.31
200906,1.94,1.68
200907,2.15,1.91
200908,2.08,1.85
200909,1.60,1.40
200910,1.85,1.64
200911,0.81,0.73
200912,-1.10,-1.15
201001,-1.37,-1.56
201002,-1.76,-2.05
201003,-2.29,-2.68
201004,-1.71,-2.04
201005,-0.70,-1.05
201006,1.23,0.97
201007,1.12,0.88
201008,1.02,0.79
201009,-0.51,-0.71
201010,0.62,0.41
201011,0.95,0.87
201012,2.46,2.41
201101,2.09,1.90
201102,2.01,1.72
201103,2.76,2.37
201104,3.75,3.42
201105,4.93,4.58
201106,4.38,4.12
201107,4.11,3.87
201108,4.34,4.11
201109,3.73,3.53
201110,3.31,3.10
201111,3.05,2.97
201112,1.80,1.75
201201,1.71,1.52
201202,0.96,0.67
201203,-2.03,-2.42
201204,-2.14,-2.47
201205,-2.23,-2.58
201206,-2.72,-2.98
201207,-3.12,-3.36
201208,-3.61,-3.84
201209,-3.44,-3.64
201210,-2.69,-2.90
201211,-2.98,-3.06
201212,-2.63,-2.68
201301,-2.63,-2.82
201302,-3.03,-3.32
201303,-3.58,-3.97
201304,-3.34,-3.67
201305,-3.11,-3.46
201306,-3.51,-3.77
201307,-3.84,-4.08
201308,-4.15,-4.38
201309,-3.59,-3.79
201310,-3.43,-3.64
201311,-3.90,-3.98
201312,-3.74,-3.79
201401,-3.92,-4.11
201402,-2.74,-3.03
201403,-2.39,-2.78
201404,-2.43,-2.76
201405,-2.51,-2.86
201406,-2.32,-2.58
201407,-1.90,-2.14
201408,-0.75,-0.98
201409,1.69,1.49
201410,0.64,0.43
201411,-1.14,-1.22
201412,-1.11,-1.16
201501,-1.61,-1.80
201502,-2.28,-2.57
201503,-3.02,-3.41
201504,-3.04,-3.37
201505,-1.13,-1.48
201506,-1.53,-1.79
201507,-0.94,-1.18
201508,1.45,1.22
201509,1.41,1.21
201510,0.75,0.54
201511,-0.96,-1.04
201512,-0.71,-0.76
201601,-0.24,-0.43
201602,-0.64,-0.93
201603,-0.45,-0.84
201604,-0.37,-0.70
201605,-0.01,-0.36
201606,-0.49,-0.75
201607,-1.14,-1.38
201608,-1.66,-1.89
201609,0.95,0.75
201610,0.94,0.73
201611,0.53,0.45
201612,1.20,1.15
201701,3.15,2.96
201702,3.99,3.70
