Weber County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.24,-3.49
199002,-3.50,-3.84
199003,-3.75,-4.07
199004,-3.59,-3.79
199005,-2.86,-3.12
199006,-2.32,-2.44
199007,-1.74,-1.88
199008,-1.73,-1.87
199009,-2.09,-2.22
199010,-2.28,-2.52
199011,-2.16,-2.30
199012,-2.33,-2.38
199101,-2.56,-2.81
199102,-2.50,-2.84
199103,-1.92,-2.24
199104,-1.04,-1.24
199105,1.27,1.01
199106,1.32,1.20
199107,1.26,1.12
199108,0.59,0.45
199109,1.54,1.41
199110,1.79,1.55
199111,2.02,1.88
199112,0.43,0.38
199201,-1.00,-1.25
199202,-1.01,-1.35
199203,-1.93,-2.25
199204,-2.83,-3.03
199205,-3.46,-3.72
199206,-3.46,-3.58
199207,-2.79,-2.93
199208,-3.08,-3.22
199209,-3.15,-3.28
199210,-1.58,-1.82
199211,-0.80,-0.94
199212,-0.14,-0.19
199301,1.30,1.05
199302,1.45,1.11
199303,1.56,1.24
199304,1.49,1.29
199305,1.84,1.58
199306,2.80,2.68
199307,3.98,3.84
199308,4.62,4.48
199309,3.71,3.58
199310,4.20,3.96
199311,3.22,3.08
199312,1.58,1.53
199401,0.38,0.13
199402,1.75,1.41
199403,1.48,1.16
199404,1.19,0.99
199405,0.10,-0.16
199406,-1.39,-1.51
199407,-2.37,-2.51
199408,-2.84,-2.98
199409,-2.86,-2.99
199410,-0.84,-1.08
199411,1.57,1.43
199412,1.52,1.47
199501,2.25,2.00
199502,1.29,0.95
199503,2.66,2.34
199504,1.90,1.70
199505,3.12,2.86
199506,3.58,3.46
199507,3.89,3.75
199508,3.63,3.49
199509,2.65,2.52
199510,1.41,1.17
199511,0.00,-0.14
199512,-0.27,-0.32
199601,2.19,1.94
199602,1.99,1.65
199603,1.76,1.44
199604,1.57,1.37
199605,2.08,1.82
199606,0.32,0.20
199607,-0.20,-0.34
199608,-1.32,-1.46
199609,-1.17,-1.30
199610,-0.27,-0.51
199611,0.56,0.42
199612,2.40,2.35
199701,3.53,3.28
199702,2.25,1.91
199703,0.44,0.12
199704,0.70,0.50
199705,0.44,0.18
199706,1.08,0.96
199707,1.89,1.75
199708,2.86,2.72
199709,3.25,3.12
199710,2.83,2.59
199711,1.56,1.42
199712,0.39,0.34
199801,2.71,2.46
199802,3.54,3.20
199803,3.36,3.04
199804,2.91,2.71
199805,3.59,3.33
199806,4.88,4.76
199807,5.47,5.33
199808,5.49,5.35
199809,4.94,4.81
199810,4.64,4.40
199811,3.46,3.32
199812,1.83,1.78
199901,2.27,2.02
199902,2.65,2.31
199903,0.91,0.59
199904,2.49,2.29
199905,3.25,2.99
199906,3.30,3.18
199907,3.31,3.17
199908,2.91,2.77
199909,1.85,1.72
199910,-0.45,-0.69
199911,-2.22,-2.36
199912,-2.87,-2.92
200001,-2.73,-2.98
200002,-1.12,-1.46
200003,-1.08,-1.40
200004,-2.41,-2.61
200005,-2.54,-2.80
200006,-2.99,-3.11
200007,-3.60,-3.74
200008,-1.76,-1.90
200009,-1.66,-1.79
200010,-0.62,-0.86
200011,-1.16,-1.30
200012,-1.53,-1.58
200101,-2.54,-2.79
200102,-1.48,-1.82
200103,-2.41,-2.73
200104,-1.71,-1.91
200105,-2.67,-2.93
200106,-2.85,-2.97
200107,-2.78,-2.92
200108,-3.02,-3.16
200109,-3.46,-3.59
200110,-3.33,-3.57
200111,-2.42,-2.56
200112,-1.65,-1.70
200201,-1.65,-1.90
200202,-2.64,-2.98
200203,-2.27,-2.59
200204,-1.64,-1.84
200205,-1.93,-2.19
200206,-2.44,-2.56
200207,-3.07,-3.21
200208,-3.58,-3.72
200209,-2.24,-2.37
200210,-2.05,-2.29
200211,-2.23,-2.37
200212,-2.67,-2.72
200301,-3.07,-3.32
200302,-2.94,-3.28
200303,-2.99,-3.31
200304,-3.12,-3.32
200305,-2.81,-3.07
200306,-2.78,-2.90
200307,-2.96,-3.10
200308,-3.02,-3.16
200309,-3.07,-3.20
200310,-3.51,-3.75
200311,-2.33,-2.47
200312,-0.25,-0.30
200401,-0.61,-0.86
200402,0.48,0.14
200403,-1.31,-1.63
200404,-1.66,-1.86
200405,-1.40,-1.66
200406,-0.98,-1.10
200407,-0.60,-0.74
200408,-0.10,-0.24
200409,-0.03,-0.16
200410,2.38,2.14
200411,2.40,2.26
200412,2.54,2.49
200501,2.93,2.68
200502,2.71,2.37
200503,2.95,2.63
200504,3.03,2.83
200505,3.73,3.47
200506,4.11,3.99
200507,3.99,3.85
200508,3.65,3.51
200509,2.34,2.21
200510,1.68,1.44
200511,1.09,0.95
200512,2.01,1.96
200601,3.08,2.83
200602,2.06,1.72
200603,3.09,2.77
200604,2.90,2.70
200605,1.52,1.26
200606,0.57,0.45
200607,-0.97,-1.11
200608,-1.13,-1.27
200609,0.63,0.50
200610,1.11,0.87
200611,1.11,0.97
200612,-0.04,-0.09
200701,-1.08,-1.33
200702,-0.20,-0.54
200703,-1.27,-1.59
200704,-1.76,-1.96
200705,-2.13,-2.39
200706,-2.21,-2.33
200707,-2.58,-2.72
200708,-2.70,-2.84
200709,-2.01,-2.14
200710,-1.39,-1.63
200711,-2.59,-2.73
200712,-1.50,-1.55
200801,0.34,0.09
200802,1.37,1.03
200803,0.21,-0.11
200804,-0.81,-1.01
200805,-0.74,-1.00
200806,-0.91,-1.03
200807,-1.26,-1.40
200808,-1.40,-1.54
200809,-1.36,-1.49
200810,-1.36,-1.60
200811,-1.65,-1.79
200812,-1.59,-1.64
200901,-0.40,-0.65
200902,0.60,0.26
200903,0.67,0.35
200904,1.02,0.82
200905,-0.02,-0.28
200906,1.94,1.82
200907,2.15,2.01
200908,2.08,1.94
200909,1.17,1.04
200910,1.85,1.61
200911,-0.47,-0.61
200912,-1.10,-1.15
201001,-1.37,-1.62
201002,-1.76,-2.10
201003,-2.29,-2.61
201004,-1.21,-1.41
201005,0.95,0.69
201006,1.23,1.11
