Weber County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.08,-1.39
199002,-1.78,-2.00
199003,-1.82,-1.98
199004,-0.70,-0.60
199005,0.41,0.24
199006,0.23,0.30
199007,0.34,0.29
199008,-0.38,-0.50
199009,-0.91,-0.99
199010,-0.73,-0.94
199011,-0.34,-0.20
199012,-1.18,-1.04
199101,-1.41,-1.72
199102,-0.61,-0.83
199103,0.33,0.17
199104,0.79,0.89
199105,2.83,2.66
199106,0.55,0.62
199107,0.24,0.19
199108,-0.48,-0.60
199109,2.01,1.93
199110,1.23,1.02
199111,1.24,1.38
199112,-1.66,-1.52
199201,-1.64,-1.95
199202,-0.24,-0.46
199203,-3.06,-3.22
199204,-3.31,-3.21
199205,-2.74,-2.91
199206,-1.06,-0.99
199207,0.34,0.29
199208,-1.21,-1.33
199209,-1.14,-1.22
199210,1.61,1.40
199211,0.69,0.83
199212,0.64,0.78
199301,1.90,1.59
199302,0.59,0.37
199303,0.79,0.63
199304,0.29,0.39
199305,1.51,1.34
199306,3.43,3.50
199307,4.42,4.37
199308,3.15,3.03
199309,-0.53,-0.61
199310,1.93,1.72
199311,-0.68,-0.54
199312,-1.72,-1.58
199401,-1.29,-1.60
199402,2.26,2.04
199403,0.02,-0.14
199404,-0.05,0.05
199405,-1.33,-1.50
199406,-2.46,-2.39
199407,-3.35,-3.40
199408,-2.14,-2.26
199409,-0.96,-1.04
199410,2.23,2.02
199411,3.01,3.15
199412,0.06,0.20
199501,2.66,2.35
199502,-0.85,-1.07
199503,3.33,3.17
199504,-0.56,-0.46
199505,3.44,3.27
199506,2.33,2.40
199507,2.05,2.00
199508,0.41,0.29
199509,-0.75,-0.83
199510,-1.22,-1.43
199511,-1.61,-1.47
199512,-0.22,-0.08
199601,3.87,3.56
199602,0.16,-0.06
199603,0.09,-0.07
199604,0.10,0.20
199605,1.19,1.02
199606,-1.87,-1.80
199607,-0.48,-0.53
199608,-2.03,-2.15
199609,-0.08,-0.16
199610,0.74,0.53
199611,1.02,1.16
199612,5.68,5.82
199701,4.15,3.84
199702,-1.18,-1.40
199703,-2.04,-2.20
199704,0.62,0.72
199705,-0.10,-0.27
199706,1.19,1.26
199707,1.63,1.58
199708,2.68,2.56
199709,2.07,1.99
199710,-0.04,-0.25
199711,-1.24,-1.10
199712,-1.24,-1.10
199801,3.96,3.65
199802,3.33,3.11
199803,0.55,0.39
199804,-0.07,0.03
199805,2.73,2.56
199806,4.96,5.03
199807,3.27,3.22
199808,1.76,1.64
199809,0.11,0.03
199810,0.56,0.35
199811,-0.90,-0.76
199812,-1.67,-1.53
199901,1.10,0.79
199902,1.05,0.83
199903,-2.01,-2.17
199904,2.70,2.80
199905,2.40,2.23
199906,1.17,1.24
199907,1.05,1.00
199908,-0.01,-0.13
199909,-0.94,-1.02
199910,-2.76,-2.97
199911,-3.43,-3.29
199912,-2.63,-2.49
200001,-0.46,-0.77
200002,1.68,1.46
200003,-0.27,-0.43
200004,-2.45,-2.35
200005,-1.14,-1.31
200006,-2.13,-2.06
200007,-2.76,-2.81
200008,1.94,1.82
200009,-0.28,-0.36
200010,1.06,0.85
200011,-1.05,-0.91
200012,-0.88,-0.74
200101,-2.06,-2.37
200102,0.97,0.75
200103,-1.97,-2.13
200104,0.51,0.61
200105,-2.65,-2.82
200106,-1.37,-1.30
200107,-0.65,-0.70
200108,-1.58,-1.70
200109,-2.25,-2.33
200110,-0.69,-0.90
200111,0.70,0.84
200112,0.59,0.73
200201,-0.40,-0.71
200202,-2.06,-2.28
200203,0.04,-0.12
200204,0.43,0.53
200205,-0.74,-0.91
200206,-1.92,-1.85
200207,-2.65,-2.70
200208,-2.47,-2.59
200209,1.26,1.18
200210,-0.20,-0.41
200211,-0.70,-0.56
200212,-1.16,-1.02
200301,-2.04,-2.35
200302,-0.56,-0.78
200303,-1.07,-1.23
200304,-1.29,-1.19
200305,-0.11,-0.28
200306,-0.72,-0.65
200307,-1.39,-1.44
200308,-1.10,-1.22
200309,-1.09,-1.17
200310,-2.26,-2.47
200311,1.04,1.18
200312,2.41,2.55
200401,-0.73,-1.04
200402,1.32,1.10
200403,-2.79,-2.95
200404,-0.96,-0.86
200405,-0.01,-0.18
200406,0.28,0.35
200407,0.28,0.23
200408,0.53,0.41
200409,-0.02,-0.10
200410,6.34,6.13
200411,0.81,0.95
200412,1.15,1.29
200501,1.98,1.67
200502,0.22,0.00
200503,1.56,1.40
200504,1.17,1.27
200505,3.03,2.86
200506,2.30,2.37
200507,0.89,0.84
200508,0.23,0.11
200509,-1.21,-1.29
200510,-0.43,-0.64
200511,-0.43,-0.29
200512,1.65,1.79
200601,2.84,2.53
200602,-0.87,-1.09
200603,2.61,2.45
200604,0.40,0.50
200605,-1.37,-1.54
200606,-0.93,-0.86
200607,-1.89,-1.94
200608,-0.26,-0.38
200609,2.62,2.54
200610,1.08,0.87
200611,0.35,0.49
200612,-1.41,-1.27
200701,-1.98,-2.29
200702,0.65,0.43
200703,-1.77,-1.93
200704,-1.87,-1.77
200705,-1.65,-1.82
200706,-0.92,-0.85
200707,-1.79,-1.84
200708,-1.14,-1.26
200709,0.46,0.38
200710,0.43,0.22
200711,-2.68,-2.54
200712,0.99,1.13
200801,2.12,1.81
200802,1.42,1.20
200803,-1.05,-1.21
200804,-1.48,-1.38
200805,-0.05,-0.22
200806,-0.72,-0.65
200807,-1.33,-1.38
200808,-0.81,-0.93
200809,-0.33,-0.41
200810,-0.41,-0.62
200811,-1.31,-1.17
200812,-0.33,-0.19
200901,1.12,0.81
200902,1.03,0.81
200903,0.18,0.02
200904,1.27,1.37
200905,-0.77,-0.94
200906,4.04,4.11
200907,1.23,1.18
200908,0.47,0.35
200909,-0.80,-0.88
200910,1.23,1.02
200911,-2.54,-2.40
200912,-1.02,-0.88
201001,-1.16,-1.47
201002,-1.59,-1.81
201003,-2.12,-2.28
201004,1.01,1.11
201005,2.52,2.35
201006,0.63,0.70
201007,0.06,0.01
201008,0.03,-0.09
201009,-1.53,-1.61
201010,1.85,1.64
201011,1.19,1.33
201012,4.84,4.98
201101,-0.35,-0.66
201102,0.39,0.17
201103,2.88,2.72
201104,3.82,3.92
201105,4.69,4.52
201106,-0.13,-0.06
201107,0.55,0.50
201108,1.96,1.84
201109,-0.50,-0.58
201110,-0.10,-0.31
201111,0.24,0.38
201112,-2.80,-2.66
201201,0.26,-0.05
201202,-1.70,-1.92
201203,-2.60,-2.76
201204,-0.96,-0.86
201205,-0.91,-1.08
201206,-2.18,-2.11
201207,-2.04,-2.09
201208,-2.42,-2.54
201209,-0.61,-0.69
201210,1.19,0.98
201211,-1.70,-1.56
201212,0.12,0.26
201301,-0.81,-1.12
201302,-2.01,-2.23
201303,-2.58,-2.74
201304,-0.40,-0.30
201305,-0.33,-0.50
201306,-2.15,-2.08
201307,-2.08,-2.13
201308,-2.12,-2.24
201309,0.40,0.32
201310,-0.63,-0.84
201311,-2.46,-2.32
201312,-0.72,-0.58
201401,-1.70,-2.01
201402,2.32,2.10
201403,0.20,0.04
201404,-0.85,-0.75
201405,-1.00,-1.17
201406,-0.19,-0.12
201407,0.52,0.47
201408,2.88,2.76
201409,2.05,1.97
201410,-2.62,-2.83
201411,-1.08,-0.94
201412,-0.26,-0.12
201501,-1.84,-2.15
201502,-2.51,-2.73
201503,-2.93,-3.09
201504,-1.01,-0.91
201505,4.79,4.62
201506,-1.54,-1.47
201507,1.31,1.26
201508,0.97,0.85
201509,0.33,0.25
201510,-1.55,-1.76
201511,-1.49,-1.35
201512,0.45,0.59
201601,1.19,0.88
201602,-1.29,-1.51
201603,0.39,0.23
201604,0.11,0.21
201605,0.97,0.80
201606,-1.47,-1.40
201607,-2.08,-2.13
201608,-1.92,-2.04
201609,2.86,2.78
201610,0.26,0.05
201611,-0.95,-0.81
201612,2.17,2.31
201701,6.24,5.93
201702,3.50,3.28
201703,-0.63,-0.79
201704,1.29,1.39
201705,-1.10,-1.27
201706,-0.94,-0.87
201707,-1.88,-1.93
201708,-2.10,-2.22
201709,1.59,1.51
201710,-2.03,-2.24
201711,-0.83,-0.69
201712,-1.90,-1.76
201801,-1.90,-2.21
201802,-1.79,-2.01
201803,0.62,0.46
201804,-0.91,-0.81
201805,-1.37,-1.54
201806,-2.25,-2.18
201807,-3.33,-3.38
201808,-2.59,-2.71
201809,-2.62,-2.70
201810,1.79,1.58
201811,1.09,1.23
201812,-0.91,-0.77
201901,1.08,0.77
201902,2.09,1.87
201903,3.25,3.09
201904,1.32,1.42
201905,3.91,3.74
201906,-0.90,-0.83
201907,-0.66,-0.71
201908,-1.11,-1.23
201909,1.52,1.44
201910,-0.60,-0.81
201911,-0.96,-0.82
201912,-0.16,-0.02
202001,0.20,-0.11
202002,-0.93,-1.15
202003,-0.50,-0.66
202004,-2.44,-2.34
202005,-2.39,-2.56
202006,0.96,1.03
202007,-1.27,-1.32
202008,-2.49,-2.61
202009,-2.04,-2.12
202010,-2.38,-2.59
202011,-1.49,-1.35
202012,-2.82,-2.68
202101,-2.38,-2.69
202102,0.15,-0.07
202103,-2.44,-2.60
202104,-1.68,-1.58
202105,-1.47,-1.64
202106,-2.66,-2.59
202107,-3.51,-3.56
202108,1.51,1.39
202109,-1.86,-1.94
202110,2.94,2.73
202111,-1.89,-1.75
202112,0.70,0.84
202201,-0.68,-0.99
202202,-2.75,-2.97
202203,-1.63,-1.79
202204,-0.44,-0.34
202205,1.13,0.96
202206,-1.10,-1.03
202207,-1.50,-1.55
202208,0.03,-0.09
202209,0.15,0.07
202210,-1.85,-2.06
202211,0.94,1.08
202212,1.31,1.45
202301,4.07,3.76
202302,0.44,0.22
202303,6.81,6.65
202304,-0.06,0.04
202305,-1.59,-1.76
202306,-0.75,-0.68
202307,-1.56,-1.61
202308,0.85,0.73
202309,0.74,0.66
202310,-0.14,-0.35
202311,-1.85,-1.71
202312,-0.85,-0.71
202401,0.56,0.25
202402,3.46,3.24
202403,1.38,1.22
