Weber County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,20.75,-6.08
199002,19.66,-7.19
199003,17.42,-9.46
199004,18.79,-8.04
199005,19.55,-7.29
199006,20.22,-6.62
199007,20.43,-6.41
199008,20.27,-6.60
199009,20.30,-6.57
199010,19.82,-7.05
199011,20.47,-6.36
199012,22.32,-4.53
199101,21.16,-5.67
199102,21.87,-4.98
199103,23.12,-3.76
199104,23.59,-3.24
199105,25.40,-1.44
199106,25.54,-1.30
199107,25.22,-1.62
199108,25.27,-1.60
199109,27.10,0.23
199110,28.69,1.82
199111,29.31,2.48
199112,28.14,1.29
199201,27.39,0.56
199202,27.84,0.99
199203,25.99,-0.89
199204,23.52,-3.31
199205,20.56,-6.28
199206,20.35,-6.49
199207,21.89,-4.95
199208,21.41,-5.46
199209,19.17,-7.70
199210,19.74,-7.13
199211,19.22,-7.61
199212,21.49,-5.36
199301,24.49,-2.34
199302,25.02,-1.83
199303,27.40,0.52
199304,29.54,2.71
199305,32.09,5.25
199306,34.33,7.49
199307,34.86,8.02
199308,35.56,8.69
199309,35.28,8.41
199310,34.96,8.09
199311,33.24,6.41
199312,31.06,4.21
199401,28.52,1.69
199402,29.89,3.04
199403,29.56,2.68
199404,29.77,2.94
199405,27.57,0.73
199406,23.81,-3.03
199407,21.52,-5.32
199408,20.92,-5.95
199409,21.64,-5.23
199410,22.13,-4.74
199411,25.75,-1.08
199412,26.91,0.06
199501,30.11,3.28
199502,27.82,0.97
199503,30.06,3.18
199504,29.21,2.38
199505,32.35,5.51
199506,35.31,8.47
199507,36.07,9.23
199508,36.13,9.26
199509,35.86,8.99
199510,32.95,6.08
199511,30.17,3.34
199512,31.25,4.40
199601,32.84,6.01
199602,33.41,6.56
199603,30.99,4.11
199604,31.63,4.80
199605,30.06,3.22
199606,27.16,0.32
199607,27.43,0.59
199608,26.91,0.04
199609,27.42,0.55
199610,29.22,2.35
199611,30.88,4.05
199612,35.56,8.71
199701,35.27,8.44
199702,34.17,7.32
199703,32.56,5.68
199704,32.70,5.87
199705,32.03,5.19
199706,34.37,7.53
199707,34.57,7.73
199708,36.77,9.90
199709,38.22,11.35
199710,37.36,10.49
199711,35.20,8.37
199712,29.26,2.41
199801,29.69,2.86
199802,33.38,6.53
199803,34.98,8.10
199804,34.65,7.82
199805,36.53,9.69
199806,39.04,12.20
199807,39.24,12.40
199808,38.19,11.32
199809,36.82,9.95
199810,37.33,10.46
199811,37.69,10.86
199812,37.17,10.32
199901,34.71,7.88
199902,32.85,6.00
199903,31.37,4.49
199904,33.44,6.61
199905,33.02,6.18
199906,30.33,3.49
199907,29.39,2.55
199908,29.12,2.25
199909,28.35,1.48
199910,26.09,-0.78
199911,24.96,-1.87
199912,25.00,-1.85
200001,24.92,-1.91
200002,25.87,-0.98
200003,27.00,0.12
200004,23.52,-3.31
200005,21.47,-5.37
200006,19.48,-7.36
200007,19.25,-7.59
200008,21.22,-5.65
200009,21.89,-4.98
200010,24.80,-2.07
200011,25.59,-1.24
200012,26.37,-0.48
200101,23.51,-3.32
200102,22.49,-4.36
200103,21.45,-5.43
200104,23.57,-3.26
200105,22.17,-4.67
200106,23.07,-3.77
200107,24.17,-2.67
200108,21.78,-5.09
200109,20.64,-6.23
200110,19.42,-7.45
200111,21.89,-4.94
200112,23.13,-3.72
200201,24.15,-2.68
200202,21.67,-5.18
200203,22.58,-4.30
200204,22.65,-4.18
200205,23.89,-2.95
200206,22.94,-3.90
200207,21.89,-4.95
200208,21.48,-5.39
200209,23.84,-3.03
200210,23.83,-3.04
200211,22.09,-4.74
200212,20.71,-6.14
200301,20.06,-6.77
200302,21.38,-5.47
200303,21.10,-5.78
200304,19.48,-7.35
200305,20.09,-6.75
200306,20.85,-5.99
200307,20.83,-6.01
200308,21.72,-5.15
200309,19.97,-6.90
200310,18.98,-7.89
200311,20.59,-6.24
200312,23.60,-3.25
200401,23.96,-2.87
200402,25.41,-1.44
200403,24.47,-2.41
200404,24.96,-1.87
200405,24.91,-1.93
200406,25.65,-1.19
200407,26.05,-0.79
200408,26.36,-0.51
200409,26.90,0.03
200410,33.34,6.47
200411,31.34,4.51
200412,29.36,2.51
200501,31.71,4.88
200502,30.81,3.96
200503,33.56,6.68
200504,35.14,8.31
200505,37.58,10.74
200506,38.86,12.02
200507,38.13,11.29
200508,37.96,11.09
200509,37.13,10.26
200510,31.82,4.95
200511,32.67,5.84
200512,34.19,7.34
200601,34.94,8.11
200602,34.05,7.20
200603,34.64,7.76
200604,34.23,7.40
200605,30.96,4.12
200606,29.21,2.37
200607,29.67,2.83
200608,29.87,3.00
200609,32.69,5.82
200610,33.36,6.49
200611,33.47,6.64
200612,30.13,3.28
200701,26.13,-0.70
200702,27.37,0.52
200703,24.69,-2.19
200704,22.75,-4.08
200705,22.51,-4.33
200706,22.58,-4.26
200707,22.70,-4.14
200708,22.32,-4.55
200709,20.92,-5.95
200710,20.87,-6.00
200711,18.74,-8.09
200712,21.93,-4.92
200801,25.57,-1.26
200802,26.20,-0.65
200803,25.92,-0.96
200804,25.41,-1.42
200805,26.21,-0.63
200806,25.75,-1.09
200807,25.22,-1.62
200808,25.23,-1.64
200809,24.62,-2.25
200810,23.99,-2.88
200811,25.52,-1.31
200812,24.08,-2.77
200901,23.48,-3.35
200902,23.16,-3.69
200903,24.33,-2.55
200904,27.18,0.35
200905,26.97,0.13
200906,30.70,3.86
200907,30.93,4.09
200908,30.78,3.91
200909,30.39,3.52
200910,31.18,4.31
200911,29.36,2.53
200912,28.66,1.81
201001,26.88,0.05
201002,24.74,-2.11
201003,23.15,-3.73
201004,22.83,-4.00
201005,24.80,-2.04
201006,22.05,-4.79
201007,21.89,-4.95
201008,22.23,-4.64
201009,21.74,-5.13
201010,22.91,-3.96
201011,25.82,-1.01
201012,30.34,3.49
201101,30.31,3.48
201102,31.93,5.08
201103,35.67,8.79
201104,37.76,10.93
201105,39.58,12.74
201106,38.91,12.07
201107,39.46,12.62
201108,40.53,13.66
201109,41.25,14.38
201110,39.51,12.64
201111,39.13,12.30
201112,32.52,5.67
201201,33.98,7.15
201202,32.27,5.42
201203,28.67,1.79
201204,25.49,-1.34
201205,21.50,-5.34
201206,20.38,-6.46
201207,20.47,-6.37
201208,18.48,-8.39
201209,18.66,-8.21
201210,19.72,-7.15
201211,18.35,-8.48
201212,21.44,-5.41
201301,19.83,-7.00
201302,19.57,-7.28
201303,19.22,-7.66
201304,19.01,-7.82
201305,19.60,-7.24
201306,19.54,-7.30
201307,19.46,-7.38
201308,19.59,-7.28
201309,20.22,-6.65
201310,18.52,-8.35
201311,18.12,-8.71
201312,17.77,-9.08
201401,17.74,-9.09
201402,21.50,-5.35
201403,23.78,-3.10
201404,23.65,-3.18
201405,23.14,-3.70
201406,24.64,-2.20
201407,25.36,-1.48
201408,27.72,0.85
201409,28.73,1.86
201410,27.51,0.64
201411,28.43,1.60
201412,28.44,1.59
201501,27.73,0.90
201502,24.01,-2.84
201503,22.05,-4.83
201504,22.10,-4.73
201505,26.60,-0.24
201506,25.67,-1.17
201507,26.40,-0.44
201508,25.16,-1.71
201509,24.00,-2.87
201510,25.10,-1.77
201511,24.60,-2.23
201512,25.39,-1.46
201601,27.89,1.06
201602,28.44,1.59
201603,30.61,3.73
201604,31.79,4.96
201605,28.65,1.81
201606,28.63,1.79
201607,26.49,-0.35
201608,25.38,-1.49
201609,27.26,0.39
201610,28.34,1.47
201611,29.13,2.30
201612,30.45,3.60
201701,34.56,7.73
201702,38.57,11.72
201703,38.12,11.24
201704,38.63,11.80
201705,37.04,10.20
201706,37.64,10.80
201707,38.10,11.26
201708,38.08,11.21
201709,37.13,10.26
201710,35.06,8.19
201711,35.63,8.80
201712,32.06,5.21
201801,26.06,-0.77
201802,21.90,-4.95
201803,22.26,-4.62
201804,20.70,-6.13
201805,20.75,-6.09
201806,19.81,-7.03
201807,19.44,-7.40
201808,19.29,-7.58
201809,16.50,-10.37
201810,19.73,-7.14
201811,20.16,-6.67
201812,20.22,-6.63
201901,21.74,-5.09
201902,24.66,-2.19
201903,26.48,-0.40
201904,28.35,1.52
201905,32.06,5.22
201906,32.54,5.70
201907,32.82,5.98
201908,33.29,6.42
201909,36.00,9.13
201910,33.40,6.53
201911,32.32,5.49
201912,33.81,6.96
202001,33.41,6.58
202002,30.94,4.09
202003,28.44,1.56
202004,25.16,-1.67
202005,20.83,-6.01
202006,22.96,-3.88
202007,22.75,-4.09
202008,22.18,-4.69
202009,19.80,-7.07
202010,19.29,-7.58
202011,19.12,-7.71
202012,16.89,-9.96
202101,15.86,-10.97
202102,17.39,-9.46
202103,15.74,-11.14
202104,16.26,-10.57
202105,16.61,-10.23
202106,14.02,-12.82
202107,14.37,-12.47
202108,16.84,-10.03
202109,17.00,-9.87
202110,21.09,-5.78
202111,19.98,-6.85
202112,22.77,-4.08
202201,22.67,-4.16
202202,19.65,-7.20
202203,20.36,-6.52
202204,21.22,-5.61
202205,22.96,-3.88
202206,23.38,-3.46
202207,22.99,-3.85
202208,22.07,-4.80
202209,23.63,-3.24
202210,20.03,-6.84
202211,22.77,-4.06
202212,23.20,-3.65
202301,27.33,0.50
202302,29.94,3.09
202303,35.75,8.87
202304,36.02,9.19
202305,34.43,7.59
202306,34.99,8.15
202307,35.29,8.45
202308,35.61,8.74
202309,35.77,8.90
202310,37.01,10.14
202311,34.84,8.01
202312,33.46,6.61
202401,31.21,4.38
202402,33.68,6.83
202403,30.08,3.20
