year,county,countyansi,wheatprod,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,countycode,logwheatprod,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,county27,year1,year2,year3,year4,year5
2012,beaver,1,53666,6500,9.5900002,8.2600002,7.4299998,11.54,65.400002,-1.73,51,.68000001,36.599998,-2.0799999,-2.0799999,5739,655,16.450001,6.4499998,294477,252353,41378,39658,36558,7339,10526,1186,9341,2001,13745,25913,561,31169,4782,35707,16021,972,14245,603,4192,155,4037,15405,3595,30456,6897,42123,1,10.890535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,box elder,3,1921384,44038,4.6500001,3.3,3.25,9.29,60.099998,-1.78,47.400002,-.86000001,34.599998,-2.23,-2.23,7094,708,7.0700002,17.459999,1462261,1339432,50550,2465,2527,47829,800410,782434,17976,28688,67265,49353,13457,145604,30380,115223,41072,12217,22094,6760,34490,1008,33481,21113,1602,19511,34609,122828,2,14.468556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,box elder,3,2879583,47193,8.3000002,4.8499999,3.8,8.8299999,62.599998,-3.8199999,49.400002,.58999997,36.200001,-4.0999999,-4.0999999,6540,880,15.59,9.4200001,2083837,1924961,76304,3560,3364,92741,1184430,1152299,32131,47291,88006,77503,10157,190940,26504,164437,36135,16028,9957,10149,48164,2129,46034,27427,1861,25567,38937,158876,2,14.873156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,box elder,3,2798821,50205,9.5900002,8.2600002,7.4299998,9.25,63.400002,-3.4400001,50.200001,1.0700001,37.099998,-3.9000001,-3.9000001,6144,789,10.47,13.01,1798877,1649794,83926,2970,4250,63414,833825,671358,162467,56084,77513,83412,8025,228048,26408,201640,59201,22794,12664,18398,68503,4714,63789,32747,4919,27829,47879,149083,2,14.844708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,box elder,3,2713277,53999,5.1999998,4.3000002,5.1799998,13.17,61.099998,-1.55,49.200001,-1.92,37.200001,-1.55,-1.55,6552,806,14.02,22.309999,2251685,2057539,95235,7270,11331,128272,981169,825972,155197,78834,104769,105576,25219,247894,29605,218290,84316,34332,13088,36896,89430,4468,84963,43365,5919,37446,54858,194146,2,14.813667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,box elder,3,1857151,61498,9.1499996,7.0999999,5.4299998,9.8699999,60.799999,-2.2,48.200001,.58999997,35.5,-3.03,.56,6944,858,14.91,7.8499999,3368460,3197173,79505,8985,15530,161702,1616802,1448957,141762,84290,135227,126083,23488,336908,40627,305368,125941,46275,13942,36472,124292,10132,121893,56948,6318,50721,68274,234472,2,14.434554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,cache,5,587516,95493,4.6500001,3.3,3.25,21.67,53.700001,-2.3099999,42.799999,-1.3,31.799999,-2.5599999,-2.5599999,8367,300,12.46,16.15,2214922,1751129,42725,1070,4514,100934,449601,247452,323901,33806,152754,44870,54713,335625,80589,255036,265534,105308,112412,47813,119902,7334,112568,58110,13122,44988,86973,463793,3,13.283659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,cache,5,954876,103624,8.3000002,4.8499999,3.8,20.99,56.900002,-2.9100001,45.299999,-.38,33.599998,-2.9100001,-2.9100001,7558,389,14.07,18.5,3049650,2452366,36301,1021,6013,170775,749588,376038,373551,67575,215974,52866,66391,457375,87612,369764,250043,127142,40711,82191,200463,12881,187582,75492,13979,61514,102487,597284,3,13.769337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,cache,5,1107613,115925,9.5900002,8.2600002,7.4299998,23.24,57.900002,-1.92,46.5,1.45,35,-2.5599999,-2.5599999,7088,356,17.75,8.1499996,3989160,3301180,63625,2113,9053,142016,1001969,407369,594599,115238,226853,73073,120634,740624,131449,609175,300217,193732,35760,70725,270276,22896,247380,103573,24549,79024,112284,687980,3,13.917718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,cache,5,1054211,124448,5.1999998,4.3000002,5.1799998,38.189999,55.799999,-1.87,44.900002,-1.61,34,-1.9,-1.9,7630,323,13.78,7.7399998,5182082,4373385,99666,2923,11567,262631,1153443,437930,715514,191618,354042,89699,75013,1015304,160680,854624,454456,321106,39207,94143,375585,26727,348858,146030,41039,104991,141408,808697,3,13.868303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
